|6.6.6
Archiving\03_Data\eqfracLP/QFM/TIS/TIS_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1373.24        500.000        99.0197       0.202843       0.327871       0.135742                 NaN  0.313855                 NaN            NaN            NaN
  1372.18        500.000        99.0295       0.325163       0.198013       0.136374                 NaN  0.310989                 NaN            NaN            NaN
  1371.12        500.000        99.0377       0.193347       0.322880       0.137322                 NaN  0.308784                 NaN            NaN            NaN
  1370.06        500.000        99.0488       0.187731       0.320131       0.137954                 NaN  0.305357                 NaN            NaN            NaN
  1369.00        500.000        99.0533       0.304477       0.196918       0.133977       0.678018E-002  0.304583                 NaN            NaN            NaN
  1367.94        500.000        99.0718       0.181076       0.312744       0.136730                 NaN  0.297671                 NaN            NaN            NaN
  1366.88        500.000        99.0727       0.314344       0.174509       0.139946                 NaN  0.298498                 NaN            NaN            NaN
  1365.82        500.000        99.0803       0.312594       0.170038       0.140782                 NaN  0.296313                 NaN            NaN            NaN
  1364.76        500.000        99.0888       0.310443       0.165199       0.141591                 NaN  0.293969                 NaN            NaN            NaN
  1363.70        500.000        99.0986       0.160924       0.307694       0.141800                 NaN  0.291007                 NaN            NaN            NaN
  1362.64        500.000        99.3675       0.111732       0.216228       0.100156                 NaN  0.204405                 NaN            NaN            NaN
  1361.58        500.000        98.8471       0.199789       0.395325       0.185650                 NaN  0.372156                 NaN            NaN            NaN
  1360.52        500.000        99.1200       0.302436       0.148831       0.143994                 NaN  0.284697                 NaN            NaN            NaN
  1359.46        500.000        99.1275       0.144739       0.300561       0.144679                 NaN  0.282533                 NaN            NaN            NaN
  1358.40        500.000        99.1271       0.151976       0.296557       0.137845       0.494031E-002  0.281580                 NaN            NaN            NaN
  1357.34        500.000        99.1233       0.294673       0.159884       0.130211       0.105196E-001  0.281449                 NaN            NaN            NaN
  1356.28        500.000        99.1223       0.162936       0.294743       0.125374       0.140096E-001  0.280593                 NaN            NaN            NaN
  1355.22        500.000        99.1171       0.296005       0.168205       0.119554       0.181366E-001  0.281040                 NaN            NaN            NaN
  1354.16        500.000        99.1137       0.174937       0.297388       0.110156       0.243922E-001  0.279470                 NaN            NaN            NaN
  1353.10        500.000        99.0981       0.302852       0.187042       0.982930E-001  0.324772E-001  0.281225                 NaN            NaN            NaN
  1352.04        500.000        99.0794       0.309898       0.202092       0.830866E-001  0.425726E-001  0.282971                 NaN            NaN            NaN
  1350.98        500.000        99.0544       0.221728       0.319567       0.637232E-001  0.551300E-001  0.285419                 NaN            NaN            NaN
  1349.92        500.000        99.0198       0.333541       0.246892       0.392190E-001  0.711813E-001  0.289329                 NaN            NaN            NaN
  1348.86        500.000        98.9848       0.348295       0.273147       0.132603E-001  0.875906E-001  0.292923                 NaN            NaN            NaN
  1347.80        500.000        98.9558       0.364963       0.273559       0.544702E-002  0.101342       0.298842                 NaN            NaN            NaN
  1346.73        500.000        98.9345       0.378807       0.270798                 NaN  0.112664       0.303256                 NaN            NaN            NaN
  1345.67        500.000        98.9219       0.389500       0.261308                 NaN  0.120755       0.306489                 NaN            NaN            NaN
  1344.61        500.000        98.9192       0.253186       0.394806                 NaN  0.125631       0.307178                 NaN            NaN            NaN
  1343.55        500.000        98.9185       0.398895       0.245601                 NaN  0.129646       0.307379                 NaN            NaN            NaN
  1342.49        500.000        98.9212       0.238550       0.401224                 NaN  0.132355       0.306643                 NaN            NaN            NaN
  1341.43        500.000        98.9316       0.232530       0.399063                 NaN  0.132869       0.303917                 NaN            NaN            NaN
  1340.37        500.000        98.9415       0.396727       0.227352                 NaN  0.132997       0.301420                 NaN            NaN            NaN
  1339.31        500.000        98.9531       0.222290       0.393442                 NaN  0.132732       0.298424                 NaN            NaN            NaN
  1338.25        500.000        98.9653       0.218312       0.389210                 NaN  0.131782       0.295381                 NaN            NaN            NaN
  1337.19        500.000        98.9777       0.212658       0.386089       0.749487E-005  0.131507       0.292081                 NaN            NaN            NaN
  1336.13        500.000        98.9908       0.209124       0.381131                 NaN  0.130144       0.288757                 NaN            NaN            NaN
  1335.07        500.000        99.0031       0.204834       0.377167                 NaN  0.129226       0.285651                 NaN            NaN            NaN
  1334.01        500.000        99.0186       0.201144       0.371199                 NaN  0.127452       0.281577                 NaN            NaN            NaN
  1332.95        500.000        99.0315       0.366423       0.197561       0.112587E-005  0.126165       0.278339                 NaN            NaN            NaN
  1331.89        500.000        99.0454       0.361411       0.193839                 NaN  0.124649       0.274710                 NaN            NaN            NaN
  1330.83        500.000        99.0589       0.190747       0.356055                 NaN  0.123054       0.271270                 NaN            NaN            NaN
  1329.77        500.000        99.0727       0.187319       0.350761                 NaN  0.121520       0.267702                 NaN            NaN            NaN
  1328.71        500.000        99.0851       0.345991       0.184369                 NaN  0.120004       0.264533                 NaN            NaN            NaN
  1327.65        500.000        99.0989       0.340494       0.181208                 NaN  0.118406       0.260947                 NaN            NaN            NaN
  1326.59        500.000        99.1113       0.335905       0.178173                 NaN  0.116907       0.257674                 NaN            NaN            NaN
  1325.53        500.000        99.1242       0.330475       0.175496                 NaN  0.115369       0.254415                 NaN            NaN            NaN
  1324.47        500.000        99.1364       0.172498       0.326052                 NaN  0.113873       0.251176                 NaN            NaN            NaN
  1323.41        500.000        99.1490       0.321023       0.169706                 NaN  0.112354       0.247929                 NaN            NaN            NaN
  1322.35        500.000        99.1606       0.316425       0.167213                 NaN  0.110861       0.244937                 NaN            NaN            NaN
  1321.29        500.000        99.1725       0.311809       0.164494                 NaN  0.109398       0.241802                 NaN            NaN            NaN
  1320.23        500.000        99.1843       0.307138       0.161960                 NaN  0.107922       0.238707                 NaN            NaN            NaN
  1319.17        500.000        99.1957       0.302640       0.159539                 NaN  0.106415       0.235751                 NaN            NaN            NaN
  1318.11        500.000        99.2069       0.298008       0.157324                 NaN  0.104961       0.232808                 NaN            NaN            NaN
  1317.04        500.000        99.2175       0.154668       0.294105                 NaN  0.103732       0.229985                 NaN            NaN            NaN
  1315.98        500.000        99.2284       0.289441       0.152664                 NaN  0.102241       0.227230                 NaN            NaN            NaN
  1314.92        500.000        99.2392       0.285627       0.150086                 NaN  0.100842       0.224223                 NaN            NaN            NaN
  1313.86        500.000        99.2502       0.148023       0.280977                 NaN  0.994153E-001  0.221335                 NaN            NaN            NaN
  1312.80        500.000        99.2601       0.277134       0.145806                 NaN  0.982113E-001  0.218787                 NaN            NaN            NaN
  1311.74        500.000        99.2702       0.273030       0.143871                 NaN  0.968077E-001  0.216065                 NaN            NaN            NaN
  1310.68        500.000        99.2801       0.269066       0.141893                 NaN  0.954950E-001  0.213474                 NaN            NaN            NaN
  1309.62        500.000        99.2902       0.264857       0.140093                 NaN  0.941195E-001  0.210722                 NaN            NaN            NaN
  1308.56        500.000        99.2994       0.137809       0.261440                 NaN  0.929953E-001  0.208381                 NaN            NaN            NaN
  1307.50        500.000        99.3089       0.135967       0.257590                 NaN  0.917391E-001  0.205778                 NaN            NaN            NaN
  1306.44        500.000        99.3184       0.253760       0.134180                 NaN  0.904087E-001  0.203212                 NaN            NaN            NaN
  1305.38        500.000        99.3275       0.132238       0.250277                 NaN  0.892061E-001  0.200801                 NaN            NaN            NaN
  1304.32        500.000        99.3364       0.130635       0.246608                 NaN  0.879979E-001  0.198379                 NaN            NaN            NaN
  1303.26        500.000        99.3452       0.243023       0.128926                 NaN  0.867888E-001  0.196082                 NaN            NaN            NaN
  1302.20        500.000        99.3539       0.126984       0.239761                 NaN  0.856549E-001  0.193652                 NaN            NaN            NaN
  1301.14        500.000        99.3624       0.236002       0.125859                 NaN  0.843133E-001  0.191389                 NaN            NaN            NaN
  1300.08        500.000        99.3709       0.232733       0.123918                 NaN  0.833062E-001  0.189103                 NaN            NaN            NaN
  1299.02        500.000        99.3791       0.229460       0.122487                 NaN  0.821012E-001  0.186858                 NaN            NaN            NaN
  1297.96        500.000        99.3868       0.226317       0.120974                 NaN  0.810561E-001  0.184840                 NaN            NaN            NaN
  1296.90        500.000        99.3956       0.222880       0.119331                 NaN  0.798309E-001  0.182332                 NaN            NaN            NaN
  1295.84        500.000        99.4029       0.118027       0.219805                 NaN  0.788095E-001  0.180425                 NaN            NaN            NaN
  1294.78        500.000        99.4107       0.216708       0.116653                 NaN  0.776975E-001  0.178254                 NaN            NaN            NaN
  1293.72        500.000        99.4184       0.115411       0.213465                 NaN  0.765156E-001  0.176190                 NaN            NaN            NaN
  1292.66        500.000        99.4258       0.210790       0.113685                 NaN  0.756022E-001  0.174130                 NaN            NaN            NaN
  1291.60        500.000        99.4332       0.207779       0.112470                 NaN  0.745026E-001  0.172051                 NaN            NaN            NaN
  1290.54        500.000        99.4402       0.204770       0.111371                 NaN  0.734342E-001  0.170233                 NaN            NaN            NaN
  1289.48        500.000        99.4472       0.201988       0.110048                 NaN  0.724449E-001  0.168271                 NaN            NaN            NaN
  1288.42        500.000        99.4546       0.198958       0.108853                 NaN  0.713847E-001  0.166187                 NaN            NaN            NaN
  1287.36        500.000        99.4612       0.107535       0.196431                 NaN  0.704307E-001  0.164370                 NaN            NaN            NaN
  1286.29        500.000        99.4674       0.106785       0.193697                 NaN  0.694626E-001  0.162693                 NaN            NaN            NaN
  1285.23        500.000        99.4752       0.190679       0.105295                 NaN  0.683417E-001  0.160502                 NaN            NaN            NaN
  1284.17        500.000        99.4780       0.188208       0.106029                 NaN  0.675941E-001  0.160150                 NaN            NaN            NaN
  1283.11        500.000        99.4907       0.185333       0.101998                 NaN  0.662044E-001  0.155785                 NaN            NaN            NaN
  1282.05        500.000        99.4904       0.102938       0.183980                 NaN  0.660589E-001  0.156607                 NaN            NaN            NaN
  1280.99        500.000        99.5036       0.100561       0.179371                 NaN  0.641636E-001  0.152335                 NaN            NaN            NaN
  1279.93        500.000        99.5065       0.100075       0.177980                 NaN  0.636870E-001  0.151771                 NaN            NaN            NaN
  1278.87        500.000        99.5123       0.175473       0.992581E-001            NaN  0.627497E-001  0.150193                 NaN            NaN            NaN
  1277.81        500.000        99.5185       0.983545E-001  0.172916                 NaN  0.618403E-001  0.148385                 NaN            NaN            NaN
  1276.75        500.000        99.5245       0.972144E-001  0.170615                 NaN  0.610040E-001  0.146714                 NaN            NaN            NaN
  1275.69        500.000        99.5291       0.967290E-001  0.168507                 NaN  0.601205E-001  0.145560                 NaN            NaN            NaN
  1274.63        500.000        99.5352       0.165820       0.961913E-001            NaN  0.590207E-001  0.143778                 NaN            NaN            NaN
  1273.57        500.000        99.5419       0.945700E-001  0.163505                 NaN  0.583013E-001  0.141704                 NaN            NaN            NaN
  1272.51        500.000        99.5469       0.937763E-001  0.161413                 NaN  0.575095E-001  0.140360                 NaN            NaN            NaN
  1271.45        500.000        99.5522       0.159218       0.929047E-001            NaN  0.567024E-001  0.138976                 NaN            NaN            NaN
  1270.39        500.000        94.4704       0.633826       0.688162                 NaN  0.235107       0.718757        3.25372                 NaN            NaN
  1269.33        500.000        93.1007       0.840598       0.754544                 NaN  0.281241       0.870888        4.15202                 NaN            NaN
  1268.27        500.000        93.7110       0.758557       0.692062                 NaN  0.259179       0.797381        3.78178                 NaN            NaN
  1267.21        500.000        94.2218       0.688378       0.640573                 NaN  0.241293       0.735782        3.47222                 NaN            NaN
  1266.15        500.000        94.6558       0.628185       0.596748                 NaN  0.226118       0.683057        3.21009                 NaN            NaN
  1265.09        500.000        95.0214       0.559944       0.577487                 NaN  0.213353       0.638695        2.98909                 NaN            NaN
  1264.03        500.000        95.3546       0.527478       0.529100                 NaN  0.202306       0.597690        2.78880                 NaN            NaN
  1262.97        500.000        95.6315       0.489221       0.500003                 NaN  0.193055       0.563924        2.62228                 NaN            NaN
  1261.91        500.000        95.8839       0.452967       0.474993                 NaN  0.184539       0.532770        2.47081                 NaN            NaN
  1260.85        500.000        96.1034       0.453946       0.419625                 NaN  0.177582       0.505609        2.33981                 NaN            NaN
  1259.79        500.000        96.3068       0.390347       0.433885                 NaN  0.170651       0.480326        2.21796                 NaN            NaN
  1258.73        500.000        96.4833       0.416744       0.364378                 NaN  0.164804       0.458399        2.11241                 NaN            NaN
  1257.67        500.000        96.6486       0.400823       0.339117                 NaN  0.159457       0.437481        2.01451                 NaN            NaN
  1256.60        500.000        96.7952       0.317207       0.386519                 NaN  0.154538       0.419058        1.92745                 NaN            NaN
  1255.54        500.000        96.9320       0.372976       0.296775                 NaN  0.150062       0.401710        1.84643                 NaN            NaN
  1254.48        500.000        97.0583       0.276886       0.361187                 NaN  0.145915       0.385650        1.77208                 NaN            NaN
  1253.42        500.000        97.1715       0.259463       0.350048                 NaN  0.142309       0.371006        1.70565                 NaN            NaN
  1252.36        500.000        97.2790       0.243973       0.339244                 NaN  0.138323       0.357368        1.64210                 NaN            NaN
  1251.30        500.000        97.3772       0.329824       0.228626                 NaN  0.135035       0.344596        1.58467                 NaN            NaN
  1250.24        500.000        97.4718       0.214934       0.320048                 NaN  0.131734       0.332041        1.52939                 NaN            NaN
  1249.18        500.000        97.5578       0.201384       0.311709                 NaN  0.128764       0.320876        1.47951                 NaN            NaN
  1248.12        500.000        97.6398       0.303295       0.189153                 NaN  0.125821       0.310065        1.43189                 NaN            NaN
  1247.06        500.000        97.7150       0.295794       0.178034                 NaN  0.123088       0.300357        1.38769                 NaN            NaN
  1246.00        500.000        94.2831       0.320622       0.780586                 NaN  0.328529       0.775757        3.51139                 NaN            NaN
  1244.94        500.000        97.5706       0.141300       0.351295                 NaN  0.125696       0.313747        1.49734                 NaN            NaN
  1243.88        500.000        99.8496       0.949670E-002  0.378107E-001            NaN  0.126576E-002            NaN  0.101793                 NaN            NaN
  1242.82        500.000        98.3464       0.162478       0.204174                 NaN            NaN  0.198049        1.01478       0.741301E-001            NaN
  1241.76        500.000        98.5200       0.118376       0.235606                 NaN  0.485789E-001  0.200788       0.876667                 NaN            NaN
  1240.70        500.000        98.7975       0.756832E-001  0.175266                 NaN  0.703638E-001  0.152366       0.728813                 NaN            NaN
  1239.64        500.000        98.2176       0.115112       0.239571                 NaN  0.101118       0.232053        1.09452                 NaN            NaN
  1238.58        500.000        97.7087       0.115553       0.317776                 NaN  0.135465       0.301031        1.42147                 NaN            NaN
  1237.52        500.000        98.2420       0.228925       0.125268                 NaN  0.818385E-001  0.227832        1.08282       0.113294E-001            NaN
  1236.46        500.000        98.4950       0.183549       0.137535                 NaN  0.440814E-001  0.190463       0.925415       0.239667E-001            NaN
  1235.40        500.000        98.4307       0.133274       0.192632                 NaN  0.475827E-001  0.197176       0.974028       0.245681E-001            NaN
  1234.34        500.000        98.3426       0.207621       0.130844                 NaN  0.523960E-001  0.209338        1.03165       0.255900E-001            NaN
  1233.28        500.000        98.2233       0.222814       0.137345                 NaN  0.571610E-001  0.227273        1.10483       0.273210E-001            NaN
  1232.22        500.000        96.0288       0.592709       0.107614                 NaN  0.263192       0.514408        2.49324                 NaN            NaN
  1231.16        500.000        99.8585       0.162649E-001            NaN            NaN  0.300287E-002  0.200964E-001  0.734187E-001  0.287168E-001            NaN
  1230.10        500.000        98.2935       0.840296E-001  0.233449                 NaN  0.955720E-001  0.216828        1.07658                 NaN            NaN
  1229.04        500.000        99.0899       0.112525       0.729481E-001            NaN            NaN  0.874721E-001  0.615613       0.215486E-001            NaN
  1227.98        500.000        97.5049       0.290346       0.256458                 NaN            NaN  0.320731        1.55781       0.697285E-001            NaN
  1226.92        500.000        99.9294       0.696156E-002  0.851621E-002            NaN            NaN  0.843578E-002  0.449413E-001  0.173674E-002            NaN
  1225.85        500.000        99.9343       0.672208E-002  0.700223E-002            NaN            NaN  0.787938E-002  0.424714E-001  0.166207E-002            NaN
  1224.79        500.000        99.9896       0.932187E-003  0.213367E-002            NaN            NaN  0.127544E-002  0.580912E-002  0.228560E-003            NaN
  1223.73        500.000        96.7561       0.398298       0.253715                 NaN  0.947998E-001  0.401948        2.04730       0.478252E-001            NaN
  1222.67        500.000        98.5779       0.180882       0.916028E-001            NaN  0.509495E-001  0.176767       0.903961       0.179566E-001            NaN
  1221.61        500.000        99.4747       0.335617E-001  0.612777E-001            NaN  0.186457E-001  0.668636E-001  0.338108       0.684193E-002            NaN
  1220.55        500.000        99.9999       0.553115E-005  0.113314E-004            NaN  0.294109E-005  0.100831E-004  0.523908E-004  0.996453E-006            NaN
  1219.49        500.000        96.8743       0.316611       0.242676                 NaN  0.977060E-001  0.373309        2.05540       0.399827E-001            NaN
  1218.43        500.000        98.5315       0.719618E-001  0.268918                 NaN            NaN  0.164556       0.898328       0.647090E-001            NaN
  1217.37        500.000        99.2667       0.911890E-001  0.270215E-001            NaN  0.405043E-001  0.108834       0.465799                 NaN            NaN
  1216.31        500.000        98.7470       0.188475       0.218168E-001            NaN  0.969960E-001  0.159655       0.786042                 NaN            NaN
  1215.25        500.000        94.6862       0.443308                 NaN            NaN  0.151400       0.446785        2.36315                 NaN   1.90913     
  1214.19        500.000        75.0554       0.548874        1.20220                 NaN  0.657226        2.07361        10.3269                 NaN   10.1357     
  1213.13        500.000       100.0000       0.316113E-005            NaN            NaN  0.156890E-005  0.393157E-005  0.200308E-004            NaN  0.195374E-004
  1212.07        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1211.01        500.000        66.6572        2.16855                 NaN            NaN  0.986794        2.69682        13.7819                 NaN   13.7088     
  1209.95        500.000        80.6124        1.14676                 NaN            NaN  0.558763        1.55107        7.98610       0.597198E-002   8.13891     
  1208.89        500.000        95.1343       0.467273                 NaN            NaN  0.145704       0.400186        1.98755                 NaN   1.86496     
  1207.83        500.000        86.8586       0.747911                 NaN            NaN  0.377978        1.05344        5.42959                 NaN   5.53244     
  1206.77        500.000        87.4771       0.870762                 NaN            NaN  0.358767        1.01050        5.16861                 NaN   5.11422     
  1205.71        500.000        96.1955       0.309540                 NaN            NaN  0.117244       0.311555        1.56484                 NaN   1.50131     
  1204.65        500.000        90.6799       0.566757                 NaN            NaN  0.266953       0.745907        3.83248                 NaN   3.90798     
  1203.59        500.000        91.8441       0.534298                 NaN            NaN  0.233533       0.654550        3.35607                 NaN   3.37746     
  1202.53        500.000        90.8066       0.621467                 NaN            NaN  0.132976       0.726268        3.85564       0.961973E-001   3.76090     
  1201.47        500.000        93.5195       0.403513                 NaN            NaN  0.192542       0.515852        2.69468                 NaN   2.67393     
  1200.41        500.000        93.1644       0.416409                 NaN            NaN  0.196924       0.544707        2.81475                 NaN   2.86278     
  1199.35        500.000        93.6352       0.470364                 NaN            NaN  0.180729       0.507724        2.61109                 NaN   2.59494     
  1198.29        500.000        93.2874       0.316005                 NaN            NaN  0.191377       0.530238        2.78384                 NaN   2.89117     
  1197.23        500.000        93.5519       0.510092                 NaN            NaN  0.166177       0.507279        2.64637                 NaN   2.61822     
  1196.16        500.000        93.7523       0.367804                 NaN            NaN  0.185143       0.494089        2.58463                 NaN   2.61600     
  1195.10        500.000        93.5869       0.402124                 NaN            NaN  0.176833       0.502610        2.66986                 NaN   2.66168     
  1194.04        500.000        86.4789       0.766172                 NaN            NaN  0.364035        1.04894        5.62344                 NaN   5.71854     
  1192.98        500.000        99.9639       0.265079E-001            NaN            NaN            NaN  0.382853E-002  0.574042E-002            NaN            NaN
  1191.92        500.000        95.3420       0.287186                 NaN            NaN  0.131184       0.360221        1.97847                 NaN   1.90093     
  1190.86        500.000        93.1737       0.388084                 NaN            NaN  0.177725       0.519143        2.88347                 NaN   2.85791     
  1189.80        500.000        92.6530       0.411065                 NaN            NaN  0.187909       0.552491        3.12402                 NaN   3.07147     
  1188.74        500.000        91.2461       0.470119                 NaN            NaN  0.217406       0.647550        3.75783                 NaN   3.66098     
  1187.68        500.000        86.3188       0.685861                 NaN            NaN  0.325141       0.986975        5.94276                 NaN   5.74042     
  1186.62        500.000        72.5008        1.30174                 NaN            NaN  0.626749        1.92315        12.1352                 NaN   11.5124     
  1185.56        500.000                 NaN   4.52900                 NaN            NaN   2.12258        6.82463        44.4885       0.449351E-001   41.9904     
  1184.50        500.000                 NaN   4.52459                 NaN            NaN   2.11997        6.82661        44.4880       0.488160E-001   41.9920     
  1183.44        500.000                 NaN   4.52876                 NaN            NaN   2.11593        6.82618        44.4846       0.515949E-001   41.9930     
  1182.38        500.000                 NaN   4.52657                 NaN            NaN   2.12348        6.84638        44.4399       0.505093E-001   42.0132     
  1181.32        500.000                 NaN   4.52861                 NaN            NaN   2.10985        6.82781        44.4799       0.581025E-001   41.9957     
  1180.26        500.000                 NaN   4.52923                 NaN            NaN   2.10717        6.82840        44.4769       0.607374E-001   41.9975     
  1179.20        500.000                 NaN   4.52944                 NaN            NaN   2.10169        6.82939        44.4763       0.654450E-001   41.9977     
  1178.14        500.000                 NaN   4.51362                 NaN            NaN   2.10639        6.82819        44.4794       0.668133E-001   42.0056     
  1177.08        500.000                 NaN   4.53834                 NaN            NaN   2.09835        6.84020        44.4458       0.703039E-001   42.0070     
  1176.02        500.000                 NaN   4.52894                 NaN            NaN   2.09260        6.83181        44.4699       0.746886E-001   42.0020     
  1174.96        500.000                 NaN   4.52800                 NaN            NaN   2.08954        6.83234        44.4681       0.781289E-001   42.0038     
  1173.90        500.000                 NaN   4.52838                 NaN            NaN   2.08587        6.83342        44.4663       0.814271E-001   42.0046     
  1172.84        500.000                 NaN   4.52803                 NaN            NaN   2.08265        6.83407        44.4640       0.848843E-001   42.0063     
  1171.78        500.000                 NaN   4.52787                 NaN            NaN   2.07963        6.83494        44.4621       0.878845E-001   42.0076     
  1170.72        500.000                 NaN   4.52657                 NaN            NaN   2.07723        6.83538        44.4596       0.912608E-001   42.0099     
  1169.66        500.000                 NaN   4.52666                 NaN            NaN   2.07412        6.83623        44.4576       0.942668E-001   42.0111     
  1168.60        500.000                 NaN   4.52857                 NaN            NaN   2.06973        6.83738        44.4555       0.975278E-001   42.0113     
  1167.54        500.000                 NaN   4.52450                 NaN            NaN   2.06709        6.83883        44.4548       0.101458        42.0133     
  1166.48        500.000                 NaN   4.52845                 NaN            NaN   2.06539        6.84594        44.4362       0.103581        42.0205     
  1165.41        500.000                 NaN   4.52848                 NaN            NaN   2.05947        6.83986        44.4492       0.107787        42.0152     
  1164.35        500.000                 NaN   4.52784                 NaN            NaN   2.05659        6.84080        44.4474       0.110703        42.0166     
  1163.29        500.000                 NaN   4.52937                 NaN            NaN   2.05186        6.84275        44.4447       0.114641        42.0167     
  1162.23        500.000                 NaN   4.52533                 NaN            NaN   2.05058        6.84310        44.4433       0.117723        42.0200     
