|6.6.6
Archiving\03_Data\eq/QFM_m4.75/YM20/YM20_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.3941       0.371033       0.195423       0.393995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3613       0.371068       0.228271       0.394033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3284       0.371103       0.261126       0.394070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2955       0.371138       0.293987       0.394107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2626       0.371173       0.326854       0.394144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2296       0.371208       0.359727       0.394181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1967       0.371243       0.392606       0.394218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1638       0.371278       0.425492       0.394256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1309       0.371313       0.458384       0.394293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.0987       0.371347       0.490530       0.394329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.0665       0.371382       0.522682       0.394365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.0343       0.371416       0.554840       0.394402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.0021       0.371450       0.587004       0.394438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.9699       0.371484       0.619174       0.394475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.9377       0.371519       0.651350       0.394511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.9055       0.371553       0.683531       0.394547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.8732       0.371587       0.715719       0.394584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.8418       0.371621       0.747152       0.394619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.8103       0.371654       0.778591       0.394655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.7788       0.371688       0.810035       0.394690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.7473       0.371721       0.841485       0.394726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.7158       0.371755       0.872941       0.394761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.6843       0.371788       0.904403       0.394797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.6528       0.371822       0.935870       0.394833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.6213       0.371855       0.967342       0.394868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.5904       0.371888       0.998252       0.394903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.5594       0.371921        1.02917       0.394938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        98.5285       0.371954        1.06009       0.394973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.4975       0.371987        1.09101       0.395008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        98.4668       0.372019        1.12167       0.395042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.4361       0.372052        1.15233       0.395077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.4056       0.372084        1.18284       0.395112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        96.7992       0.566572E-001   1.28426       0.382813E-001   1.23883       0.582794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.8357                 NaN   1.29385       0.373627E-001   2.14558       0.687458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        95.1118                 NaN   1.28686       0.366079E-001   2.87729       0.687444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.3975                 NaN   1.27801       0.358485E-001   3.60122       0.687426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.6832                 NaN   1.26916       0.350891E-001   4.32510       0.687407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        92.9846                 NaN   1.25769       0.343234E-001   5.03596       0.687384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.2861                 NaN   1.24622       0.335578E-001   5.74678       0.687361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        91.5970                 NaN   1.23298       0.327895E-001   6.44989       0.687334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        90.9146                 NaN   1.21845       0.320209E-001   7.14641       0.687305       0.125427E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        90.2394                 NaN   1.19533       0.312290E-001   7.82722       0.687258       0.195330E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        89.5644                 NaN   1.17222       0.304373E-001   8.50793       0.687212       0.378093E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        88.8894                 NaN   1.14910       0.296457E-001   9.18856       0.687166       0.560832E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        88.2146                 NaN   1.12599       0.288542E-001   9.86909       0.687119       0.743546E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        87.5398                 NaN   1.10288       0.280628E-001   10.5495       0.687073       0.926235E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        86.8651                 NaN   1.07978       0.272715E-001   11.2299       0.687027       0.110890                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        86.1906                 NaN   1.05668       0.264803E-001   11.9101       0.686981       0.129154                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        85.5161                 NaN   1.03358       0.256892E-001   12.5903       0.686934       0.147415                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        84.8718                 NaN  0.998983       0.248541E-001   13.2522       0.686865       0.165302                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        84.2276                 NaN  0.964391       0.240192E-001   13.9140       0.686796       0.183186                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        83.5835                 NaN  0.929806       0.231844E-001   14.5757       0.686727       0.201065                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        82.9396                 NaN  0.895228       0.223498E-001   15.2372       0.686659       0.218941                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        82.2958                 NaN  0.860657       0.215154E-001   15.8986       0.686590       0.236814                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        81.6522                 NaN  0.826093       0.206811E-001   16.5599       0.686521       0.254683                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        81.0086                 NaN  0.791536       0.198470E-001   17.2210       0.686452       0.272548                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        80.3652                 NaN  0.756985       0.190131E-001   17.8820       0.686383       0.290410                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        79.7377                 NaN  0.709874       0.181212E-001   18.5406       0.686289       0.307439                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        79.1102                 NaN  0.662775       0.172294E-001   19.1991       0.686196       0.324463                 NaN            NaN            NaN            NaN            NaN            NaN
