|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1576.92        2500.00        99.6033       0.362541       0.341187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00        99.3385       0.603067       0.584384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00        99.3419       0.586645       0.714220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00        99.1303       0.779041       0.906201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00        99.5677       0.386807       0.454758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.3577       0.573332       0.690062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00        99.3626       0.559730       0.776454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00        99.3709       0.572081       0.570565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00        99.3678       0.567650       0.645066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.3827       0.552343       0.649381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00        99.3837       0.551287       0.650621E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00        99.3896       0.546793       0.635911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00        99.3923       0.546122       0.615651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00        99.3995       0.553036       0.475100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.4012       0.523152       0.756050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.4080       0.531182       0.608675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00        99.3731       0.564827       0.620750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00        99.4518       0.494486       0.537071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00        99.4214       0.521201       0.573843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00        99.4246       0.518959       0.564671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00        99.4282       0.516285       0.555239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00        99.4324       0.513147       0.544163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00        99.4368       0.509327       0.539005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00        99.4405       0.506533       0.529735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00        99.3964       0.546095       0.574767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00        99.4968       0.456438       0.468004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00        99.4531       0.495300       0.515669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        99.4561       0.494346       0.495494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00        99.3896       0.554526       0.558270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00        99.5351       0.422276       0.425864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        98.9420       0.962198       0.958352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00        99.4755       0.479241       0.452634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00        99.4771       0.477699       0.452129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        2500.00        99.4809       0.475488       0.436136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00        99.4843       0.472066       0.436200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00        99.4242       0.531350       0.444464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        2500.00        99.5504       0.412830       0.367628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
