|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1576.92        2500.00        99.6542       0.316614       0.291402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00        99.4235       0.526639       0.499030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00        99.4268       0.512209       0.609694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00        99.2429       0.679755       0.773686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00        99.6238       0.337447       0.387781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.4411       0.500089       0.588082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00        99.4457       0.488108       0.661654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00        99.4526       0.498774       0.486010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00        99.4503       0.494757       0.549102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.4635       0.481261       0.552716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00        99.4645       0.480173       0.553548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00        99.4698       0.476148       0.540745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00        99.4722       0.475493       0.523327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00        99.4783       0.481287       0.403695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.4806       0.455165       0.642181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.4863       0.462010       0.516773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00        99.4561       0.491201       0.526797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00        99.5246       0.429806       0.455455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00        99.4984       0.452950       0.486622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00        99.5012       0.450899       0.478569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00        99.5045       0.448412       0.470400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00        99.5083       0.445570       0.460850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00        99.5122       0.442128       0.456275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00        99.5156       0.439564       0.448143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00        99.4775       0.473847       0.486211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00        99.5646       0.395841       0.395604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00        99.5270       0.429401       0.435686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        99.5297       0.428495       0.418535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00        99.4722       0.480638       0.471515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00        99.5983       0.365785       0.359324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.0853       0.833850       0.808941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00        99.5470       0.414847       0.381517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00        99.5486       0.413353       0.380960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        2500.00        99.5519       0.411372       0.367325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00        99.5550       0.408267       0.367221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00        99.5030       0.459583       0.374002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        2500.00        99.6123       0.356814       0.309197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        2500.00        99.5352       0.421423       0.433676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        2500.00        99.5919       0.382360       0.257026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00        99.5706       0.398719       0.306653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00        99.5712       0.394522       0.342630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00        99.5750       0.394105       0.308524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        2500.00        99.5755       0.393329       0.311511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        2500.00        99.5738       0.396335       0.298201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        2500.00        99.5878       0.382842       0.293261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.41        2500.00        99.5841       0.387507       0.284149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00        99.5864       0.386154       0.274720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00        99.5882       0.385095       0.267225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        2500.00        99.5913       0.381588       0.271556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.62        2500.00        99.5940       0.380244       0.257919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        2500.00        99.5947       0.380844       0.244466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.73        2500.00        99.5973       0.378650       0.240867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        2500.00        99.6003       0.376278       0.234136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.84        2500.00        99.0196       0.936269       0.441332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.39        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.95        2500.00        99.6970       0.287242       0.157097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
