|6.6.6
Archiving\03_Data\eqLP/QFM_m2.75/Y98/Y98_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.0125       0.963820       0.236568E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0125       0.963819       0.236568E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0125       0.963819       0.236568E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0125       0.963818       0.236567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0125       0.963817       0.236567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0125       0.963817       0.236567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0125       0.963816       0.236567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0125       0.963815       0.236567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0125       0.963815       0.236567E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0125       0.963814       0.236566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0125       0.963813       0.236566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0125       0.963813       0.236566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0125       0.963812       0.236566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0125       0.963811       0.236566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0125       0.963810       0.236566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0125       0.963810       0.236565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0125       0.963809       0.236565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0125       0.963808       0.236565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0125       0.963807       0.236565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0125       0.963807       0.236565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0125       0.963806       0.236564E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0125       0.963805       0.236564E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0125       0.963804       0.236564E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0125       0.963803       0.236564E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0125       0.963803       0.236564E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.0125       0.963802       0.236563E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.0125       0.963801       0.236563E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.0125       0.963800       0.236563E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0125       0.963799       0.236563E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.0125       0.963798       0.236563E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.0125       0.963797       0.236562E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.0125       0.963796       0.236562E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.0125       0.963795       0.236562E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.0125       0.963794       0.236562E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.0126       0.963794       0.236561E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.0126       0.963793       0.236561E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.0126       0.963792       0.236561E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.0126       0.963791       0.236561E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.0126       0.963790       0.236560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.0126       0.963789       0.236560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.0126       0.963788       0.236560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.0126       0.963787       0.236560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.0126       0.963786       0.236559E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.0126       0.963785       0.236559E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.0126       0.963783       0.236559E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.0126       0.963782       0.236559E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.0126       0.963781       0.236558E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.0126       0.963780       0.236558E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.0126       0.963779       0.236558E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.0126       0.963778       0.236558E-001            NaN            NaN            NaN            NaN            NaN            NaN
