|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/ALH/ALH_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1576.92        2500.00       0.937096E-002   99.5963       0.149115       0.237673       0.755322E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00       0.216847E-002   99.2997       0.661041       0.179748E-001  0.190902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN   99.3164       0.629631       0.539429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN   99.3200       0.626962       0.530507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN   99.3240       0.624064       0.519715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.3277       0.621963       0.503090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN   99.3361       0.613061       0.508355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN   99.3394       0.610953       0.496943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN   99.3459       0.604433       0.496331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   99.6638       0.310888       0.252726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN   99.0435       0.884082       0.724288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN   99.3598       0.592321       0.478623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN   99.3448       0.608483       0.467268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN   99.3888       0.567560       0.436208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN   99.3744       0.579657       0.459033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN   98.8054        1.12188       0.681951E-001  0.456539E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
