|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1576.92        2500.00       0.601353E-002   99.6570       0.130901       0.203201       0.287405E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00       0.139175E-002   99.3957       0.580305       0.153663E-001  0.726453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN   99.4013       0.552583       0.461015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN   99.4045       0.550127       0.453251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN   99.4082       0.547442       0.443816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.4115       0.545548       0.429366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN   99.4191       0.537533       0.433829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN   99.4221       0.535553       0.423792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN   99.4280       0.529631       0.423228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   99.7060       0.272421       0.215590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN   99.1636       0.774662       0.617360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN   99.4406       0.518657       0.407672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN   99.4274       0.532786       0.397816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN   99.4661       0.496750       0.371142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN   99.4537       0.507221       0.390558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN   98.9585       0.981829       0.579868E-001  0.173328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00                 NaN   99.9195       0.737847E-001  0.675683E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN   99.5029       0.463660       0.333997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00                 NaN   99.4704       0.493756       0.358777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN   99.4729       0.491691       0.354036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00                 NaN   99.4777       0.486900       0.353685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.4814       0.483853       0.347412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN   99.4844       0.481752       0.338758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.4422       0.348789       0.128270E-001            NaN  0.196196                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00                 NaN   99.3529       0.303214E-001  0.170114E-001            NaN  0.599745                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00                 NaN   99.3478       0.285714E-001            NaN            NaN  0.623613                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00                 NaN   99.3474       0.261966E-001            NaN            NaN  0.626355                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN   99.3522       0.236840E-001            NaN            NaN  0.624069                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00                 NaN   99.3422       0.219931E-001            NaN            NaN  0.635852                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.3612       0.197935E-001            NaN            NaN  0.619010                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00                 NaN   99.3543       0.151658E-001            NaN            NaN  0.630558                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.3520       0.156590E-001            NaN            NaN  0.632389                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00                 NaN   99.2856       0.104531E-001            NaN            NaN  0.703972                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00                 NaN   99.7797       0.308288E-002            NaN            NaN  0.217231                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        2500.00                 NaN   98.9981       0.920902E-002            NaN            NaN  0.992668                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00                 NaN   99.3531       0.276289E-002            NaN            NaN  0.644110                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00                 NaN   99.1971       0.201609E-004  0.588682E-002            NaN  0.797006                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        2500.00                 NaN   99.5102       0.142053E-001            NaN            NaN  0.475622                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        2500.00                 NaN   99.3525       0.876921E-002            NaN            NaN  0.638739                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        2500.00                 NaN   99.3483                 NaN            NaN            NaN  0.651686                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00                 NaN   99.2459       0.490041E-002            NaN            NaN  0.749230                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00       0.173058E-002   99.4397                 NaN            NaN            NaN  0.558560                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00       0.212760E-002   99.3352                 NaN            NaN            NaN  0.662648                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        2500.00       0.500634E-002   99.3235                 NaN            NaN            NaN  0.671533                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        2500.00       0.504358E-002   99.3039                 NaN            NaN            NaN  0.691093                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        2500.00       0.467957E-002   99.2905                 NaN            NaN            NaN  0.652046       0.527883E-001            NaN            NaN            NaN            NaN            NaN
  1510.41        2500.00       0.326468E-002   98.9452                 NaN            NaN            NaN  0.622969       0.428521                 NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00       0.321161E-002   98.9478                 NaN            NaN            NaN  0.621233       0.427776                 NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00       0.305529E-002   98.9763                 NaN            NaN            NaN  0.603857       0.416784                 NaN            NaN            NaN            NaN            NaN
  1506.07        2500.00       0.234436E-002   98.9359                 NaN            NaN  0.113590E-001  0.665091       0.385271                 NaN            NaN            NaN            NaN            NaN
  1504.62        2500.00       0.220080E-002   98.9438                 NaN            NaN  0.122556E-001  0.378933       0.662854                 NaN            NaN            NaN            NaN            NaN
  1503.18        2500.00       0.212857E-002   98.9558                 NaN            NaN  0.120525E-001  0.375807       0.654216                 NaN            NaN            NaN            NaN            NaN
  1501.73        2500.00       0.272756E-002   98.6159                 NaN            NaN  0.155925E-001  0.866100       0.499700                 NaN            NaN            NaN            NaN            NaN
  1500.29        2500.00       0.226346E-003   99.8832                 NaN            NaN  0.131529E-002  0.732797E-001  0.419483E-001            NaN            NaN            NaN            NaN            NaN
  1498.84        2500.00       0.296299E-002   98.4420                 NaN            NaN  0.176077E-001  0.971825       0.565630                 NaN            NaN            NaN            NaN            NaN
  1497.39        2500.00       0.184102E-002   99.0015                 NaN            NaN  0.112390E-001  0.621996       0.363434                 NaN            NaN            NaN            NaN            NaN
  1495.95        2500.00       0.177016E-002   99.0121                 NaN            NaN  0.110371E-001  0.360081       0.614970                 NaN            NaN            NaN            NaN            NaN
  1494.50        2500.00       0.170851E-002   99.0226                 NaN            NaN  0.108790E-001  0.607592       0.357269                 NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00       0.164509E-002   99.0286                 NaN            NaN  0.107827E-001  0.355233       0.603717                 NaN            NaN            NaN            NaN            NaN
  1491.61        2500.00       0.157277E-002   99.0453                 NaN            NaN  0.104269E-001  0.591844       0.350842                 NaN            NaN            NaN            NaN            NaN
  1490.17        2500.00       0.151446E-002   99.0540                 NaN            NaN  0.103010E-001  0.586086       0.348101                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00       0.145384E-002   99.0634                 NaN            NaN  0.101355E-001  0.345140       0.579861                 NaN            NaN            NaN            NaN            NaN
  1487.27        2500.00       0.139457E-002   99.0728                 NaN            NaN  0.995320E-002  0.342348       0.573532                 NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00       0.133214E-002   99.0780                 NaN            NaN  0.975489E-002  0.570947       0.339933                 NaN            NaN            NaN            NaN            NaN
  1484.38        2500.00       0.176788E-002   98.7282                 NaN            NaN  0.135244E-001  0.784640       0.471911                 NaN            NaN            NaN            NaN            NaN
  1482.94        2500.00       0.719733E-003   99.4684                 NaN            NaN  0.558337E-002  0.327976       0.197349                 NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00       0.116912E-002   99.1099                 NaN            NaN  0.926079E-002  0.549153       0.330483                 NaN            NaN            NaN            NaN            NaN
  1480.04        2500.00       0.111348E-002   99.1192                 NaN            NaN  0.910218E-002  0.542862       0.327767                 NaN            NaN            NaN            NaN            NaN
  1478.60        2500.00       0.106443E-002   99.1276                 NaN            NaN  0.895329E-002  0.325055       0.537377                 NaN            NaN            NaN            NaN            NaN
  1477.15        2500.00       0.101246E-002   99.1362                 NaN            NaN  0.879402E-002  0.322199       0.531785                 NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00       0.962288E-003   99.1444                 NaN            NaN  0.863351E-002  0.319479       0.526478                 NaN            NaN            NaN            NaN            NaN
