|6.6.6
Archiving\03_Data\eq/QFM_m5/EETA/EETA_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ab            
  2000.00        2500.00        97.8498       0.788832        1.35002       0.113382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        97.8395       0.788967        1.36018       0.113390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        97.8292       0.789101        1.37035       0.113399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        97.8189       0.789236        1.38052       0.113408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        97.8086       0.789370        1.39069       0.113417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        97.7983       0.789504        1.40086       0.113426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        97.7880       0.789638        1.41103       0.113434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        97.7777       0.789773        1.42121       0.113443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        97.7674       0.789907        1.43139       0.113452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        97.7575       0.790038        1.44115       0.113461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        97.7476       0.790169        1.45091       0.113469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        97.7377       0.790300        1.46068       0.113478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.7278       0.790431        1.47045       0.113486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.7179       0.790562        1.48022       0.113495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.7080       0.790693        1.48999       0.113503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.6981       0.790824        1.49976       0.113512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.6882       0.790955        1.50954       0.113520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.6787       0.791083        1.51890       0.113528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        97.6692       0.791211        1.52827       0.113536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.6597       0.791339        1.53763       0.113544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        97.6502       0.791467        1.54700       0.113553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        97.6407       0.791595        1.55637       0.113561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        97.6312       0.791722        1.56575       0.113569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        97.6217       0.791850        1.57512       0.113577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.6122       0.791978        1.58450       0.113585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.6031       0.792103        1.59347       0.113593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.5940       0.792228        1.60244       0.113601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.5849       0.792353        1.61142       0.113609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        97.5758       0.792477        1.62039       0.113616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        97.5667       0.792602        1.62937       0.113624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        97.5576       0.792727        1.63835       0.113632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        97.5484       0.792852        1.64734       0.113640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        97.5393       0.792976        1.65632       0.113648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        97.5306       0.793098        1.66491       0.113655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        97.5219       0.793220        1.67349       0.113663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        97.5132       0.793342        1.68208       0.113670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        97.5045       0.793464        1.69067       0.113678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        97.4958       0.793586        1.69926       0.113685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        97.4871       0.793707        1.70785       0.113693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        97.4784       0.793829        1.71645       0.113700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        97.4696       0.793951        1.72505       0.113708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        97.4613       0.794070        1.73325       0.113715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        97.4530       0.794189        1.74145       0.113722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        97.4447       0.794308        1.74965       0.113730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        97.4363       0.794426        1.75785       0.113737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        97.4280       0.794545        1.76606       0.113744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        97.4197       0.794664        1.77427       0.113751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        97.4114       0.794783        1.78248       0.113758E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        97.4030       0.794902        1.79069       0.113766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        97.3951       0.795018        1.79851       0.113773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        97.3872       0.795134        1.80633       0.113779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        97.3792       0.795250        1.81415       0.113786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        97.3713       0.795366        1.82197       0.113793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        97.3633       0.795482        1.82980       0.113800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        97.3554       0.795598        1.83763       0.113807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        97.3474       0.795714        1.84546       0.113814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        97.3395       0.795830        1.85329       0.113821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        97.3319       0.795943        1.86073       0.113828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        97.3244       0.796057        1.86817       0.113834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        97.3168       0.796170        1.87562       0.113841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        97.3093       0.796283        1.88306       0.113847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        97.3017       0.796396        1.89051       0.113854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        97.2941       0.796509        1.89796       0.113861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        97.2866       0.796623        1.90541       0.113867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        97.2790       0.796736        1.91286       0.113874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        97.2718       0.796846        1.91993       0.113880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        97.2647       0.796957        1.92700       0.113887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        97.2575       0.797068        1.93407       0.113893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        97.2503       0.797178        1.94114       0.113899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        97.2431       0.797289        1.94821       0.113906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        97.2359       0.797399        1.95528       0.113912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        97.2287       0.797510        1.96236       0.113918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        97.2216       0.797620        1.96943       0.113925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        97.2148       0.797728        1.97613       0.113931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        97.2079       0.797836        1.98282       0.113937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        97.2011       0.797944        1.98952       0.113943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        97.1943       0.798052        1.99622       0.113949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        97.1875       0.798160        2.00292       0.113955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        97.1807       0.798267        2.00962       0.113961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        97.1739       0.798375        2.01632       0.113967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        97.1671       0.798483        2.02302       0.113973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        97.1607       0.798588        2.02934       0.113979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        97.1542       0.798694        2.03566       0.113985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        97.1478       0.798799        2.04199       0.113991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        97.1414       0.798904        2.04831       0.113997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        97.1350       0.799009        2.05463       0.114002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        97.1285       0.799115        2.06096       0.114008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        97.1221       0.799220        2.06729       0.114014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        97.1157       0.799325        2.07361       0.114020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        97.1096       0.799428        2.07956       0.114025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        97.1036       0.799531        2.08551       0.114031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        97.0975       0.799633        2.09146       0.114036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        97.0915       0.799736        2.09741       0.114042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        97.0854       0.799839        2.10336       0.114047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        97.0793       0.799941        2.10931       0.114053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        97.0733       0.800044        2.11527       0.114059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        97.0672       0.800147        2.12122       0.114064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        97.0616       0.800247        2.12679       0.114069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        97.0559       0.800347        2.13237       0.114075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        97.0502       0.800447        2.13795       0.114080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        97.0445       0.800547        2.14352       0.114085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        97.0388       0.800648        2.14910       0.114091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        97.0332       0.800748        2.15468       0.114096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        97.0275       0.800848        2.16026       0.114101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.0218       0.800948        2.16584       0.114106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        97.0163       0.801047        2.17125       0.114112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        97.0108       0.801147        2.17667       0.114117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        97.0053       0.801246        2.18208       0.114122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        96.9997       0.801345        2.18750       0.114127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        96.9942       0.801444        2.19292       0.114133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
