|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             San(TH)        ilm            q             
  1541.67        500.000        99.8024       0.187023       0.105762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.31        500.000        99.3770       0.621584       0.141871E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.95        500.000        99.3845       0.610956       0.455384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        500.000        99.3848       0.611701                 NaN  0.346483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.24        500.000        99.3902       0.604683       0.123990E-005  0.515605E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        500.000        99.3967       0.603300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.52        500.000        99.3967       0.603270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        500.000        99.4122       0.558128       0.296221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.81        500.000        99.4094       0.590606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        500.000        99.4124       0.587575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000        99.4168       0.583243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.74        500.000        99.4207       0.579049       0.250631E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        500.000        99.4244       0.575558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        500.000        99.4286       0.571414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
