|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             San(TH)        ilm            q             
  1541.67        500.000        99.8296       0.161561       0.888840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.31        500.000        99.4618       0.537018       0.119250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.95        500.000        99.4685       0.527702       0.382488E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        500.000        99.4706       0.528077                 NaN  0.129685E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.24        500.000        99.4760       0.522028       0.104094E-005  0.192943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        500.000        99.4793       0.520720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.52        500.000        99.4795       0.520507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        500.000        99.4936       0.481534       0.248389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.81        500.000        99.4906       0.509411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        500.000        99.4933       0.506661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000        99.4972       0.502788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.74        500.000        99.5008       0.499033       0.209808E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        500.000        99.5041       0.495937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        500.000        99.5077       0.492290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.66        500.000        99.5116       0.488440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.31        500.000        99.5154       0.484616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.5188       0.481180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        500.000        99.7835       0.216546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.23        500.000        99.2655       0.698095       0.345915E-001  0.180020E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.88        500.000        99.5337       0.465362       0.894504E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.52        500.000        99.5311       0.468920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        500.000        99.5306       0.469348       0.729109E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.80        500.000        99.5106       0.360868                 NaN            NaN  0.128551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.45        500.000        99.4820       0.254597                 NaN            NaN  0.263425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.09        500.000        99.4241       0.462573E-001            NaN            NaN  0.529614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.4257       0.443787E-001            NaN            NaN  0.529889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.37        500.000        99.4275       0.422084E-001            NaN            NaN  0.530301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.02        500.000        99.4288       0.401321E-001            NaN            NaN  0.531067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.66        500.000        99.4302       0.380534E-001            NaN            NaN  0.531762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000        99.4314       0.356092E-001            NaN            NaN  0.532966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.94        500.000        99.4317       0.338879E-001            NaN            NaN  0.534445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.59        500.000        99.4343       0.312404E-001            NaN            NaN  0.534494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.23        500.000        99.4343       0.283028E-001            NaN            NaN  0.537375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        500.000        99.4349       0.259274E-001            NaN            NaN  0.539133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.51        500.000        99.4344       0.234607E-001            NaN            NaN  0.542174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.16        500.000        99.4354       0.206244E-001            NaN            NaN  0.543985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.80        500.000        99.4328       0.185120E-001            NaN            NaN  0.548709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        500.000        99.4362       0.139535E-001            NaN            NaN  0.549832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.08        500.000        99.4328       0.112564E-001            NaN            NaN  0.555968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.4332       0.784277E-002            NaN            NaN  0.558937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        500.000        99.3389       0.400651E-002            NaN            NaN  0.657095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.01        500.000        99.8736                 NaN            NaN            NaN  0.126442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.65        500.000        99.0674       0.248507E-002            NaN            NaN  0.930132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.29        500.000        99.4214                 NaN            NaN            NaN  0.578575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.94        500.000        99.0551       0.713132E-001  0.210128E-001  0.893096E-002  0.843611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.0628       0.105160E-001            NaN            NaN  0.316808       0.609868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.22        500.000        99.0651       0.228228E-002            NaN            NaN  0.544867       0.387735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000        98.0594       0.861859E-001            NaN            NaN  0.720305        1.13285                 NaN            NaN  0.125519E-002            NaN            NaN            NaN            NaN
  1476.51        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        500.000        99.2052                 NaN            NaN            NaN  0.461458       0.332358                 NaN            NaN  0.101823E-002            NaN            NaN            NaN            NaN
  1473.79        500.000        99.1019                 NaN            NaN            NaN  0.373859       0.523845                 NaN            NaN  0.346680E-003            NaN            NaN            NaN            NaN
  1472.43        500.000        99.1121                 NaN            NaN            NaN  0.516546       0.370261                 NaN            NaN  0.108286E-002            NaN            NaN            NaN            NaN
  1471.08        500.000        99.1206                 NaN            NaN            NaN  0.367725       0.509214                 NaN            NaN  0.243363E-002            NaN            NaN            NaN            NaN
  1469.72        500.000        99.1301                 NaN            NaN            NaN  0.503947       0.363549                 NaN            NaN  0.236583E-002            NaN            NaN            NaN            NaN
  1468.36        500.000        99.1390                 NaN            NaN            NaN  0.499077       0.359600                 NaN            NaN  0.229862E-002            NaN            NaN            NaN            NaN
  1467.00        500.000        99.1481                 NaN            NaN            NaN  0.494275       0.355370                 NaN            NaN  0.222847E-002            NaN            NaN            NaN            NaN
  1465.65        500.000        99.1579                 NaN            NaN            NaN  0.488927       0.350984                 NaN            NaN  0.216634E-002            NaN            NaN            NaN            NaN
  1464.29        500.000        99.1669                 NaN            NaN            NaN  0.346972       0.484012                 NaN            NaN  0.209730E-002            NaN            NaN            NaN            NaN
  1462.93        500.000        99.1751                 NaN            NaN            NaN  0.343176       0.479667                 NaN            NaN  0.203105E-002            NaN            NaN            NaN            NaN
  1461.57        500.000        99.1842                 NaN            NaN            NaN  0.339197       0.474617                 NaN            NaN  0.197424E-002            NaN            NaN            NaN            NaN
  1460.22        500.000        99.1924                 NaN            NaN            NaN  0.335517       0.470141                 NaN            NaN  0.190844E-002            NaN            NaN            NaN            NaN
