|6.6.6
Archiving\03_Data\DfracLP/QFM/K22/K22_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.5512       0.448828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000       100.0000       0.104630E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000       100.0000       0.500951E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.6715       0.328496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.4060       0.594009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.4113       0.588661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.4161       0.583865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.4168       0.576353       0.687532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.4191       0.570248       0.106788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.4239       0.565517       0.106127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.4283       0.561136       0.105898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.4136       0.575483       0.109041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.6020       0.390545       0.744731E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.2975       0.689352       0.131438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4483       0.541326       0.103540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.4513       0.538339       0.103618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4549       0.534755       0.103094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4591       0.530685       0.102615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4617       0.527978       0.102809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4170       0.571883       0.111577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.7580       0.237352       0.465365E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2368       0.748633       0.146130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4774       0.512524       0.100787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3620       0.625585       0.123886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.6034       0.388953       0.764265E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4870       0.502993       0.995969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4885       0.501526       0.996463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3325       0.654436       0.130787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.7585       0.236793       0.470052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3951       0.593057       0.118265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4995       0.490688       0.982490E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4599       0.529423       0.106536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5497       0.441454       0.884278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5068       0.483517       0.970426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5093       0.480990       0.966150E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4081       0.580206       0.116853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6741       0.319506       0.643231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4551       0.534127       0.107974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
