|6.6.6
Archiving\03_Data\fracLP/QFM_m1.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  2000.00        500.000        99.5449                 NaN            NaN            NaN  0.455081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.5449                 NaN            NaN            NaN  0.455080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.5449                 NaN            NaN            NaN  0.455079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.5449                 NaN            NaN            NaN  0.455078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.5449                 NaN            NaN            NaN  0.455077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.5449                 NaN            NaN            NaN  0.455076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.5449                 NaN            NaN            NaN  0.455075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.5449                 NaN            NaN            NaN  0.455073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.5449                 NaN            NaN            NaN  0.455072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.5449                 NaN            NaN            NaN  0.455071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.5449                 NaN            NaN            NaN  0.455070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.5449                 NaN            NaN            NaN  0.455069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.5449                 NaN            NaN            NaN  0.455068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.5449                 NaN            NaN            NaN  0.455067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.5449                 NaN            NaN            NaN  0.455065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.5449                 NaN            NaN            NaN  0.455064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.5449                 NaN            NaN            NaN  0.455063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.5449                 NaN            NaN            NaN  0.455062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.5449                 NaN            NaN            NaN  0.455060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.5449                 NaN            NaN            NaN  0.455059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.5449                 NaN            NaN            NaN  0.455058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.5449                 NaN            NaN            NaN  0.455057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.5449                 NaN            NaN            NaN  0.455055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.5449                 NaN            NaN            NaN  0.455054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.5449                 NaN            NaN            NaN  0.455053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.5449                 NaN            NaN            NaN  0.455052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.5449                 NaN            NaN            NaN  0.455050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.5450                 NaN            NaN            NaN  0.455049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.5450                 NaN            NaN            NaN  0.455048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.5450                 NaN            NaN            NaN  0.455046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.5450                 NaN            NaN            NaN  0.455045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.5450                 NaN            NaN            NaN  0.455044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.5450                 NaN            NaN            NaN  0.455042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.5450                 NaN            NaN            NaN  0.455041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.5450                 NaN            NaN            NaN  0.455039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.5450                 NaN            NaN            NaN  0.455038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.5450                 NaN            NaN            NaN  0.455037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.5450                 NaN            NaN            NaN  0.455035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.5450                 NaN            NaN            NaN  0.455034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.5450                 NaN            NaN            NaN  0.455032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.5450                 NaN            NaN            NaN  0.455031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.5450                 NaN            NaN            NaN  0.455029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.5450                 NaN            NaN            NaN  0.455028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.5450                 NaN            NaN            NaN  0.455026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.5450                 NaN            NaN            NaN  0.455025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5450                 NaN            NaN            NaN  0.455023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5450                 NaN            NaN            NaN  0.455023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.5450                 NaN            NaN            NaN  0.455020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1634                 NaN            NaN            NaN  0.455022       0.381609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3617                 NaN            NaN            NaN            NaN  0.638323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3655                 NaN            NaN            NaN            NaN  0.634451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3678                 NaN            NaN            NaN            NaN  0.632180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3722                 NaN            NaN            NaN            NaN  0.627818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3734                 NaN            NaN            NaN            NaN  0.626629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3730                 NaN            NaN            NaN            NaN  0.626991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3827                 NaN            NaN            NaN            NaN  0.617302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3804                 NaN            NaN            NaN            NaN  0.619563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3852                 NaN            NaN            NaN            NaN  0.614769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.3844                 NaN            NaN            NaN            NaN  0.615623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3889                 NaN            NaN            NaN            NaN  0.611055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3906                 NaN            NaN            NaN            NaN  0.609445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.3940                 NaN            NaN            NaN            NaN  0.606008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3933                 NaN            NaN            NaN            NaN  0.606685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3881                 NaN            NaN            NaN            NaN  0.611851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4051                 NaN            NaN            NaN            NaN  0.594850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3994                 NaN            NaN            NaN            NaN  0.600560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
