|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00       0.904501E-003   99.2341       0.757256       0.778600E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00       0.467602E-003   99.1614       0.827064       0.110981E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00                 NaN   99.1667       0.833337       0.125985E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00       0.390205E-003   99.1693       0.825980       0.437119E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00                 NaN   99.1679       0.800863       0.312571E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.1955       0.775906       0.285856E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00                 NaN   99.1898       0.782220       0.279374E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00                 NaN   99.1963       0.776231       0.274803E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00                 NaN   99.1981       0.775682       0.262145E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00                 NaN   99.2029       0.772040       0.250995E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00                 NaN   99.2066       0.769856       0.235486E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00                 NaN   99.2115       0.765897       0.226191E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00                 NaN   99.2125       0.765953       0.215670E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.2222       0.757033       0.208050E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00                 NaN   99.2237       0.757037       0.192971E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00                 NaN   99.2263       0.755274       0.183906E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00                 NaN   99.2313       0.751536       0.171669E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00                 NaN   99.1613       0.424390       0.469808E-002  0.409629                 NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00                 NaN   99.0539                 NaN  0.128487E-005  0.946127                 NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00       0.324681E-002   99.0262                 NaN            NaN  0.970552                 NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00       0.737301E-002   99.0113                 NaN            NaN  0.981357                 NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00       0.739081E-002   98.9925                 NaN  0.311559E-005   1.00007                 NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00       0.736146E-002   98.9789                 NaN  0.179312E-005   1.01378                 NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00       0.734703E-002   98.9568                 NaN            NaN   1.03584                 NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00       0.732054E-002   98.9304                 NaN            NaN   1.06228                 NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00       0.733163E-002   98.8942                 NaN            NaN   1.09845                 NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00       0.733348E-002   98.8387                 NaN            NaN   1.15394                 NaN            NaN            NaN            NaN            NaN
