|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.75/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1502.80        500.000                 NaN   99.4800       0.328799E-002            NaN  0.516708                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.49        500.000                 NaN   99.4833       0.251395E-002            NaN  0.514194                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        500.000                 NaN   99.4839       0.676725E-003            NaN  0.515443                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.87        500.000                 NaN   99.4898       0.629180E-002            NaN  0.503949                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.56        500.000                 NaN   99.4914       0.344686E-003            NaN  0.508286                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.25        500.000                 NaN   99.4948                 NaN            NaN  0.505176                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        500.000                 NaN   99.5009       0.281194E-001            NaN  0.470950                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.63        500.000                 NaN   99.5075       0.565716E-001            NaN  0.435900                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000                 NaN   99.5006                 NaN            NaN  0.499430                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.02        500.000                 NaN   99.5006                 NaN            NaN  0.499386                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.71        500.000                 NaN   99.5096                 NaN            NaN  0.490353                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.40        500.000                 NaN   99.5069                 NaN            NaN  0.493067                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.09        500.000                 NaN   99.5149                 NaN            NaN  0.485106                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.78        500.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN   99.0297                 NaN            NaN  0.970327                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.16        500.000                 NaN   99.5193       0.159173E-001            NaN  0.464801                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.85        500.000                 NaN   99.5226                 NaN            NaN  0.477448                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.54        500.000                 NaN   99.4901                 NaN            NaN  0.355435       0.154455                 NaN            NaN            NaN            NaN            NaN
  1479.23        500.000                 NaN   99.3890                 NaN            NaN  0.472361E-001  0.563768                 NaN            NaN            NaN            NaN            NaN
  1477.92        500.000                 NaN   99.3825                 NaN            NaN            NaN  0.617484                 NaN            NaN            NaN            NaN            NaN
  1476.61        500.000                 NaN   99.3983                 NaN            NaN  0.239018       0.362692                 NaN            NaN            NaN            NaN            NaN
  1475.30        500.000                 NaN   99.3854                 NaN            NaN            NaN  0.614649                 NaN            NaN            NaN            NaN            NaN
  1473.99        500.000                 NaN   99.5647                 NaN            NaN  0.222261       0.213029                 NaN            NaN            NaN            NaN            NaN
  1472.68        500.000                 NaN   99.2109                 NaN            NaN            NaN  0.789052                 NaN            NaN            NaN            NaN            NaN
  1471.37        500.000                 NaN   99.3785                 NaN            NaN            NaN  0.621515                 NaN            NaN            NaN            NaN            NaN
  1470.07        500.000                 NaN   99.3686                 NaN            NaN            NaN  0.631351                 NaN            NaN            NaN            NaN            NaN
  1468.76        500.000                 NaN   99.3797                 NaN            NaN            NaN  0.620277                 NaN            NaN            NaN            NaN            NaN
  1467.45        500.000                 NaN   99.3654                 NaN            NaN            NaN  0.634627                 NaN            NaN            NaN            NaN            NaN
  1466.14        500.000                 NaN   99.3633                 NaN            NaN            NaN  0.636698                 NaN            NaN            NaN            NaN            NaN
  1464.83        500.000                 NaN   99.1267                 NaN            NaN            NaN  0.373086       0.500239                 NaN            NaN            NaN            NaN
  1463.52        500.000                 NaN   99.1685                 NaN            NaN            NaN  0.336248       0.495282                 NaN            NaN            NaN            NaN
  1462.21        500.000                 NaN   98.8223                 NaN            NaN            NaN  0.702970       0.474735                 NaN            NaN            NaN            NaN
  1460.90        500.000                 NaN   99.0161                 NaN            NaN            NaN  0.397055       0.586870                 NaN            NaN            NaN            NaN
  1459.59        500.000                 NaN   99.0182                 NaN            NaN            NaN  0.396548       0.585284                 NaN            NaN            NaN            NaN
  1458.28        500.000                 NaN   99.0258                 NaN            NaN            NaN  0.581033       0.393134                 NaN            NaN            NaN            NaN
  1456.97        500.000                 NaN   99.0316                 NaN            NaN            NaN  0.390869       0.577498                 NaN            NaN            NaN            NaN
  1455.66        500.000                 NaN   99.0409                 NaN            NaN            NaN  0.387826       0.571277                 NaN            NaN            NaN            NaN
  1454.35        500.000                 NaN   99.0497                 NaN            NaN            NaN  0.383593       0.566662                 NaN            NaN            NaN            NaN
  1453.04        500.000                 NaN   99.0548                 NaN            NaN            NaN  0.381544       0.563617                 NaN            NaN            NaN            NaN
  1451.73        500.000                 NaN   99.0635                 NaN            NaN            NaN  0.378133       0.558349                 NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN   99.0703                 NaN            NaN            NaN  0.375138       0.554610                 NaN            NaN            NaN            NaN
  1449.12        500.000                 NaN   99.0769                 NaN            NaN            NaN  0.372524       0.550541                 NaN            NaN            NaN            NaN
  1447.81        500.000                 NaN   99.0836                 NaN            NaN            NaN  0.369661       0.546733                 NaN            NaN            NaN            NaN
  1446.50        500.000                 NaN   99.9885                 NaN            NaN            NaN  0.115077E-001            NaN            NaN            NaN            NaN            NaN
  1445.19        500.000                 NaN   98.2061                 NaN            NaN            NaN   1.07726       0.716622                 NaN            NaN            NaN            NaN
  1443.88        500.000                 NaN   99.1051                 NaN            NaN            NaN  0.360540       0.534389                 NaN            NaN            NaN            NaN
  1442.57        500.000                 NaN   99.2730                 NaN            NaN            NaN  0.434092       0.292879                 NaN            NaN            NaN            NaN
  1441.26        500.000                 NaN   98.9554                 NaN            NaN            NaN  0.420893       0.623713                 NaN            NaN            NaN            NaN
  1439.95        500.000                 NaN   99.1245                 NaN            NaN            NaN  0.522710       0.352755                 NaN            NaN            NaN            NaN
  1438.64        500.000                 NaN   99.1314                 NaN            NaN            NaN  0.349754       0.518895                 NaN            NaN            NaN            NaN
  1437.33        500.000                 NaN   99.1356                 NaN            NaN            NaN  0.348668       0.515712                 NaN            NaN            NaN            NaN
  1436.02        500.000                 NaN   99.1440                 NaN            NaN            NaN  0.510844       0.345158                 NaN            NaN            NaN            NaN
  1434.71        500.000                 NaN   99.1494                 NaN            NaN            NaN  0.342980       0.507575                 NaN            NaN            NaN            NaN
  1433.40        500.000                 NaN   99.1561                 NaN            NaN            NaN  0.339845       0.504078                 NaN            NaN            NaN            NaN
  1432.09        500.000                 NaN   99.1618                 NaN            NaN            NaN  0.337560       0.500644                 NaN            NaN            NaN            NaN
  1430.78        500.000                 NaN   99.8250                 NaN            NaN            NaN  0.125145       0.498729E-001            NaN            NaN            NaN            NaN
  1429.47        500.000                 NaN   98.5155                 NaN            NaN            NaN  0.866110       0.618426                 NaN            NaN            NaN            NaN
  1428.17        500.000                 NaN   99.1772                 NaN            NaN            NaN  0.491572       0.331248                 NaN            NaN            NaN            NaN
  1426.86        500.000                 NaN   99.1842                 NaN            NaN            NaN  0.328102       0.487651                 NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN   99.1894                 NaN            NaN            NaN  0.326100       0.484462                 NaN            NaN            NaN            NaN
  1424.24        500.000                 NaN   99.1949                 NaN            NaN            NaN  0.323749       0.481323                 NaN            NaN            NaN            NaN
  1422.93        500.000                 NaN   99.2010                 NaN            NaN            NaN  0.321066       0.477901                 NaN            NaN            NaN            NaN
  1421.62        500.000                 NaN   99.2057                 NaN            NaN            NaN  0.319014       0.475267                 NaN            NaN            NaN            NaN
  1420.31        500.000                 NaN   99.2089                 NaN            NaN            NaN  0.472911       0.318143                 NaN            NaN            NaN            NaN
  1419.00        500.000                 NaN   99.2177                 NaN            NaN            NaN  0.468192       0.314155                 NaN            NaN            NaN            NaN
  1417.69        500.000                 NaN   99.2207                 NaN            NaN            NaN  0.313109       0.466171                 NaN            NaN            NaN            NaN
  1416.38        500.000                 NaN   99.2260                 NaN            NaN            NaN  0.310347       0.463679                 NaN            NaN            NaN            NaN
  1415.07        500.000                 NaN   99.2263                 NaN            NaN            NaN  0.310554       0.463117                 NaN            NaN            NaN            NaN
  1413.76        500.000                 NaN   99.2403                 NaN            NaN            NaN  0.305621       0.454060                 NaN            NaN            NaN            NaN
  1412.45        500.000                 NaN   99.2408                 NaN            NaN            NaN  0.454800       0.304384                 NaN            NaN            NaN            NaN
  1411.14        500.000                 NaN   99.2445                 NaN            NaN            NaN  0.452754       0.302761                 NaN            NaN            NaN            NaN
  1409.83        500.000                 NaN   99.2497                 NaN            NaN            NaN  0.449046       0.301217                 NaN            NaN            NaN            NaN
  1408.52        500.000                 NaN   99.2549                 NaN            NaN            NaN  0.298773       0.446361                 NaN            NaN            NaN            NaN
  1407.22        500.000                 NaN   99.2586                 NaN            NaN            NaN  0.297236       0.444169                 NaN            NaN            NaN            NaN
  1405.91        500.000                 NaN   98.8433                 NaN            NaN            NaN  0.484966       0.480065       0.191647                 NaN            NaN            NaN
  1404.60        500.000                 NaN   98.2857                 NaN            NaN            NaN  0.725805       0.537801       0.450650                 NaN            NaN            NaN
  1403.29        500.000                 NaN   98.3099                 NaN            NaN            NaN  0.530603       0.715478       0.444026                 NaN            NaN            NaN
  1401.98        500.000                 NaN   98.3345                 NaN            NaN            NaN  0.522757       0.705421       0.437361                 NaN            NaN            NaN
  1400.67        500.000                 NaN   98.3579                 NaN            NaN            NaN  0.695689       0.515456       0.430976                 NaN            NaN            NaN
  1399.36        500.000                 NaN   98.3803                 NaN            NaN            NaN  0.686309       0.508678       0.424679                 NaN            NaN            NaN
  1398.05        500.000                 NaN   98.4023                 NaN            NaN            NaN  0.677579       0.501090       0.419015                 NaN            NaN            NaN
  1396.74        500.000                 NaN   98.4241                 NaN            NaN            NaN  0.668226       0.494968       0.412730                 NaN            NaN            NaN
  1395.43        500.000                 NaN   98.4465                 NaN            NaN            NaN  0.658954       0.488110       0.406421                 NaN            NaN            NaN
  1394.12        500.000                 NaN   98.4659                 NaN            NaN            NaN  0.481788       0.650709       0.401561                 NaN            NaN            NaN
  1392.81        500.000                 NaN   98.4868                 NaN            NaN            NaN  0.475442       0.642321       0.395431                 NaN            NaN            NaN
  1391.50        500.000                 NaN   98.5050                 NaN            NaN            NaN  0.469893       0.634865       0.390283                 NaN            NaN            NaN
  1390.19        500.000                 NaN   98.5220                 NaN            NaN            NaN  0.464438       0.627953       0.385604                 NaN            NaN            NaN
  1388.88        500.000                 NaN   98.5437                 NaN            NaN            NaN  0.457616       0.619104       0.379625                 NaN            NaN            NaN
  1387.57        500.000                 NaN   98.5586                 NaN            NaN            NaN  0.612746       0.453086       0.375591                 NaN            NaN            NaN
  1386.27        500.000                 NaN   98.5799                 NaN            NaN            NaN  0.446035       0.604484       0.369591                 NaN            NaN            NaN
  1384.96        500.000                 NaN   98.5951                 NaN            NaN            NaN  0.598308       0.441147       0.365468                 NaN            NaN            NaN
  1383.65        500.000                 NaN   98.6118                 NaN            NaN            NaN  0.591620       0.435865       0.360721                 NaN            NaN            NaN
  1382.34        500.000                 NaN   98.6286                 NaN            NaN            NaN  0.585074       0.430192       0.356098                 NaN            NaN            NaN
  1381.03        500.000                 NaN   98.6364                 NaN            NaN            NaN  0.427180       0.582110       0.354317                 NaN            NaN            NaN
  1379.72        500.000                 NaN   98.6665                 NaN            NaN            NaN  0.418090       0.570141       0.345304                 NaN            NaN            NaN
  1378.41        500.000                 NaN   98.6709                 NaN            NaN            NaN  0.569135       0.415544       0.344394                 NaN            NaN            NaN
  1377.10        500.000                 NaN   98.6930                 NaN            NaN            NaN  0.409953       0.559227       0.337837                 NaN            NaN            NaN
  1375.79        500.000                 NaN   98.7043                 NaN            NaN            NaN  0.554780       0.405899       0.334972                 NaN            NaN            NaN
  1374.48        500.000                 NaN   98.7187                 NaN            NaN            NaN  0.549004       0.401457       0.330857                 NaN            NaN            NaN
  1373.17        500.000                 NaN   98.7326                 NaN            NaN            NaN  0.396562       0.543843       0.326961                 NaN            NaN            NaN
  1371.86        500.000                 NaN   98.7456                 NaN            NaN            NaN  0.392243       0.538807       0.323302                 NaN            NaN            NaN
  1370.55        500.000                 NaN   98.7590                 NaN            NaN            NaN  0.534793       0.386686       0.319541                 NaN            NaN            NaN
  1369.24        500.000                 NaN   98.8016                 NaN            NaN            NaN  0.375153       0.514778       0.308431                 NaN            NaN            NaN
  1367.93        500.000                 NaN   98.7545                 NaN            NaN            NaN  0.389216       0.536701       0.319597                 NaN            NaN            NaN
  1366.62        500.000                 NaN   98.7969                 NaN            NaN            NaN  0.375210       0.518974       0.308872                 NaN            NaN            NaN
  1365.32        500.000                 NaN   98.8087                 NaN            NaN            NaN  0.371337       0.514523       0.305428                 NaN            NaN            NaN
  1364.01        500.000                 NaN   98.8199                 NaN            NaN            NaN  0.510295       0.367543       0.302279                 NaN            NaN            NaN
  1362.70        500.000                 NaN   98.8322                 NaN            NaN            NaN  0.505539       0.363409       0.298869                 NaN            NaN            NaN
  1361.39        500.000                 NaN   98.8425                 NaN            NaN            NaN  0.359744       0.501589       0.296194                 NaN            NaN            NaN
  1360.08        500.000                 NaN   98.8568                 NaN            NaN            NaN  0.496172       0.355277       0.291757                 NaN            NaN            NaN
  1358.77        500.000                 NaN   98.8645                 NaN            NaN            NaN  0.493573       0.352483       0.289473                 NaN            NaN            NaN
  1357.46        500.000                 NaN   98.8750                 NaN            NaN            NaN  0.489563       0.348883       0.286520                 NaN            NaN            NaN
  1356.15        500.000                 NaN   98.8847                 NaN            NaN            NaN  0.345273       0.486174       0.283864                 NaN            NaN            NaN
  1354.84        500.000                 NaN   98.8956                 NaN            NaN            NaN  0.481840       0.341951       0.280574                 NaN            NaN            NaN
  1353.53        500.000                 NaN   98.9061                 NaN            NaN            NaN  0.478025       0.338274       0.277639                 NaN            NaN            NaN
  1352.22        500.000                 NaN   98.9140                 NaN            NaN            NaN  0.335405       0.475355       0.275274                 NaN            NaN            NaN
  1350.91        500.000                 NaN   98.9239                 NaN            NaN            NaN  0.471608       0.332048       0.272458                 NaN            NaN            NaN
  1349.60        500.000                 NaN   98.9333                 NaN            NaN            NaN  0.328607       0.468274       0.269835                 NaN            NaN            NaN
  1348.29        500.000                 NaN   98.9417                 NaN            NaN            NaN  0.325992       0.465126       0.267232                 NaN            NaN            NaN
  1346.98        500.000                 NaN   98.9505                 NaN            NaN            NaN  0.462068       0.322754       0.264678                 NaN            NaN            NaN
  1345.67        500.000                 NaN   98.9595       0.943319E-001            NaN            NaN  0.350654       0.320154       0.275323                 NaN            NaN            NaN
  1344.37        500.000                 NaN   98.9708       0.205478                 NaN            NaN  0.383717       0.152411       0.287613                 NaN            NaN            NaN
  1343.06        500.000                 NaN   98.9795       0.205214                 NaN            NaN  0.148482       0.381785       0.285021                 NaN            NaN            NaN
  1341.75        500.000                 NaN   98.9890       0.204948                 NaN            NaN  0.379078       0.144523       0.282425                 NaN            NaN            NaN
  1340.44        500.000                 NaN   98.9994       0.206507                 NaN            NaN  0.137765       0.376859       0.279424                 NaN            NaN            NaN
  1339.13        500.000                 NaN   99.0046       0.205127                 NaN            NaN  0.137165       0.375595       0.277513                 NaN            NaN            NaN
  1337.82        500.000                 NaN   99.0152       0.205804                 NaN            NaN  0.131919       0.372374       0.274667                 NaN            NaN            NaN
  1336.51        500.000                 NaN   99.0253       0.205598                 NaN            NaN  0.127798       0.369378       0.271940                 NaN            NaN            NaN
  1335.20        500.000                 NaN   99.0332       0.205113                 NaN            NaN  0.367371       0.125017       0.269313                 NaN            NaN            NaN
  1333.89        500.000                 NaN   99.0410       0.204943                 NaN            NaN  0.121736       0.365207       0.267134                 NaN            NaN            NaN
  1332.58        500.000                 NaN   99.0483       0.204485                 NaN            NaN  0.363180       0.119121       0.264881                 NaN            NaN            NaN
  1331.27        500.000                 NaN   99.0569       0.203971                 NaN            NaN  0.361019       0.115820       0.262259                 NaN            NaN            NaN
  1329.96        500.000                 NaN   99.0621       0.203393                 NaN            NaN  0.114198       0.359874       0.260476                 NaN            NaN            NaN
  1328.65        500.000                 NaN   99.0737       0.202735                 NaN            NaN  0.355791       0.110563       0.257248                 NaN            NaN            NaN
  1327.34        500.000                 NaN   99.0800       0.202235                 NaN            NaN  0.354019       0.108478       0.255287                 NaN            NaN            NaN
  1326.03        500.000                 NaN   99.0852       0.202107                 NaN            NaN  0.106352       0.352583       0.253805                 NaN            NaN            NaN
  1324.72        500.000                 NaN   99.0937       0.199361                 NaN            NaN  0.350017       0.106252       0.250664                 NaN            NaN            NaN
  1323.42        500.000                 NaN   99.0993       0.199462                 NaN            NaN  0.348248       0.104011       0.249009                 NaN            NaN            NaN
  1322.11        500.000                 NaN   99.1102       0.197962                 NaN            NaN  0.101257       0.344813       0.245776                 NaN            NaN            NaN
  1320.80        500.000                 NaN   99.1145       0.197561                 NaN            NaN  0.100213       0.343294       0.244384                 NaN            NaN            NaN
  1319.49        500.000                 NaN   99.1187       0.199807                 NaN            NaN  0.341705       0.955481E-001  0.244216                 NaN            NaN            NaN
  1318.18        500.000                 NaN   99.1378       0.193595                 NaN            NaN  0.337172       0.945295E-001  0.236953                 NaN            NaN            NaN
  1316.87        500.000                 NaN   99.1355       0.193843                 NaN            NaN  0.336958       0.959366E-001  0.237795                 NaN            NaN            NaN
  1315.56        500.000                 NaN   99.1416       0.192893                 NaN            NaN  0.958065E-001  0.333678       0.235975                 NaN            NaN            NaN
  1314.25        500.000                 NaN   99.1495       0.190816                 NaN            NaN  0.332546       0.938333E-001  0.233301                 NaN            NaN            NaN
  1312.94        500.000                 NaN   99.1548       0.190006                 NaN            NaN  0.935073E-001  0.330010       0.231677                 NaN            NaN            NaN
  1311.63        500.000                 NaN   99.1610       0.187211                 NaN            NaN  0.328009       0.943741E-001  0.229393                 NaN            NaN            NaN
  1310.32        500.000                 NaN   99.1671       0.186784                 NaN            NaN  0.326117       0.922152E-001  0.227784                 NaN            NaN            NaN
  1309.01        500.000       0.449648E-001   99.1162       0.149467                 NaN            NaN  0.345891       0.109561       0.233946                 NaN            NaN            NaN
  1307.70        500.000       0.954341E-001   99.0590       0.109381                 NaN            NaN  0.125648       0.369002       0.241561                 NaN            NaN            NaN
  1306.39        500.000       0.101487        99.0579       0.103355                 NaN            NaN  0.123641       0.373053       0.240613                 NaN            NaN            NaN
  1305.08        500.000       0.106267        99.0575       0.975058E-001            NaN            NaN  0.123063       0.376156       0.239490                 NaN            NaN            NaN
  1303.77        500.000       0.109436        99.0609       0.929377E-001            NaN            NaN  0.121785       0.377135       0.237848                 NaN            NaN            NaN
  1302.47        500.000       0.111195        99.0661       0.896496E-001            NaN            NaN  0.120122       0.376972       0.236002                 NaN            NaN            NaN
  1301.16        500.000       0.112494        99.0722       0.867515E-001            NaN            NaN  0.376168       0.118337       0.234008                 NaN            NaN            NaN
  1299.85        500.000       0.112882        99.0792       0.840525E-001            NaN            NaN  0.374534       0.117400       0.231889                 NaN            NaN            NaN
  1298.54        500.000       0.112923        99.0872       0.812982E-001            NaN            NaN  0.371723       0.117281       0.229620                 NaN            NaN            NaN
  1297.23        500.000       0.111897        99.0962       0.794231E-001            NaN            NaN  0.117429       0.367762       0.227284                 NaN            NaN            NaN
  1295.92        500.000       0.111749        99.1044       0.770882E-001            NaN            NaN  0.116509       0.365244       0.224984                 NaN            NaN            NaN
  1294.61        500.000       0.111048        99.1131       0.752284E-001            NaN            NaN  0.115799       0.362152       0.222693                 NaN            NaN            NaN
  1293.30        500.000       0.110511        99.1209       0.731055E-001            NaN            NaN  0.359608       0.115317       0.220577                 NaN            NaN            NaN
  1291.99        500.000       0.109039        99.1311       0.713012E-001            NaN            NaN  0.115947       0.354645       0.217965                 NaN            NaN            NaN
  1290.68        500.000       0.107771        99.1398       0.692934E-001            NaN            NaN  0.116908       0.350506       0.215746                 NaN            NaN            NaN
  1289.37        500.000       0.106535        99.1493       0.676267E-001            NaN            NaN  0.116949       0.346260       0.213358                 NaN            NaN            NaN
  1288.06        500.000       0.105024        99.1586       0.658126E-001            NaN            NaN  0.118126       0.341385       0.211034                 NaN            NaN            NaN
  1286.75        500.000       0.103763        99.1674       0.638537E-001            NaN            NaN  0.337178       0.119053       0.208786                 NaN            NaN            NaN
  1285.44        500.000       0.102200        99.1752       0.587370E-001            NaN            NaN  0.329682       0.127642       0.206532                 NaN            NaN            NaN
  1284.13        500.000       0.101077        99.1864       0.633037E-001            NaN            NaN  0.331152       0.113811       0.204270                 NaN            NaN            NaN
  1282.82        500.000       0.997412E-001   99.1936       0.583542E-001            NaN            NaN  0.324261       0.121863       0.202194                 NaN            NaN            NaN
  1281.52        500.000       0.982488E-001   99.2023       0.562429E-001            NaN            NaN  0.123668       0.319629       0.199943                 NaN            NaN            NaN
  1280.21        500.000       0.969673E-001   99.1873       0.383682E-004            NaN            NaN  0.246664       0.270300       0.198766                 NaN            NaN            NaN
  1278.90        500.000       0.850482E-001   99.2178       0.151505                 NaN            NaN  0.339715                 NaN  0.205960                 NaN            NaN            NaN
  1277.59        500.000       0.103563        99.2475       0.221199E-002            NaN            NaN  0.316276       0.147339       0.183117                 NaN            NaN            NaN
  1276.28        500.000       0.928313E-001   99.2351       0.465850E-001            NaN            NaN  0.300614       0.133354       0.191538                 NaN            NaN            NaN
  1274.97        500.000       0.911877E-001   99.2435       0.463665E-001            NaN            NaN  0.296629       0.132726       0.189614                 NaN            NaN            NaN
  1273.66        500.000       0.898017E-001   99.2518       0.447563E-001            NaN            NaN  0.291880       0.134175       0.187593                 NaN            NaN            NaN
  1272.35        500.000       0.115497        98.8481       0.294209E-001            NaN            NaN  0.338513       0.207071       0.231018       0.230368                 NaN            NaN
  1271.04        500.000       0.895522        86.3825                 NaN            NaN            NaN   2.06085        1.76321        1.62342        7.27449                 NaN            NaN
  1269.73        500.000       0.774065        88.1588                 NaN            NaN            NaN   1.79481        1.55201        1.42170        6.29862                 NaN            NaN
  1268.42        500.000       0.681425        89.5258                 NaN            NaN            NaN   1.58983        1.38718        1.26578        5.54996                 NaN            NaN
  1267.11        500.000       0.608394        90.6226                 NaN            NaN            NaN   1.24986        1.42670        1.13994        4.95250                 NaN            NaN
  1265.80        500.000       0.550365        91.5142                 NaN            NaN            NaN   1.29412        1.13506        1.03729        4.46901                 NaN            NaN
  1264.49        500.000       0.501057        92.2662                 NaN            NaN            NaN   1.03805        1.18315       0.950162        4.06140                 NaN            NaN
  1263.18        500.000       0.461906        92.8709                 NaN            NaN            NaN   1.09434       0.958098       0.879824        3.73490                 NaN            NaN
  1261.87        500.000       0.428202        93.3956                 NaN            NaN            NaN   1.01710       0.887776       0.818644        3.45271                 NaN            NaN
  1260.57        500.000       0.399364        93.8489                 NaN            NaN            NaN  0.825552       0.951374       0.765408        3.20938                 NaN            NaN
  1259.26        500.000       0.374772        94.2558                 NaN            NaN            NaN  0.893163       0.765262       0.717075        2.99396                 NaN            NaN
  1257.95        500.000       0.353351        94.5952                 NaN            NaN            NaN  0.717967       0.844506       0.677010        2.81193                 NaN            NaN
  1256.64        500.000       0.333968        94.8997                 NaN            NaN            NaN  0.799775       0.675538       0.640703        2.65033                 NaN            NaN
  1255.33        500.000       0.316784        95.1754                 NaN            NaN            NaN  0.760825       0.634641       0.607619        2.50469                 NaN            NaN
  1254.02        500.000       0.213221        95.3660                 NaN            NaN            NaN  0.688381       0.689346       0.582236        2.40854       0.522760E-001            NaN
  1252.71        500.000       0.142300        95.5498                 NaN            NaN            NaN  0.632235       0.719303       0.558708        2.31285       0.848279E-001            NaN
  1251.40        500.000       0.133488        95.7482                 NaN            NaN            NaN  0.692664       0.602559       0.534904        2.20670       0.814610E-001            NaN
  1250.09        500.000       0.124051        95.9329                 NaN            NaN            NaN  0.668540       0.574677       0.512608        2.10838       0.788871E-001            NaN
  1248.78        500.000       0.116700        96.1009                 NaN            NaN            NaN  0.646274       0.549218       0.492148        2.01884       0.758991E-001            NaN
  1247.47        500.000       0.108115        96.2588                 NaN            NaN            NaN  0.522067       0.628333       0.473222        1.93558       0.738523E-001            NaN
  1246.16        500.000       0.103287        96.3676                 NaN            NaN            NaN  0.612664       0.507548       0.459862        1.87737       0.716927E-001            NaN
  1244.85        500.000       0.943012E-001   96.5631                 NaN            NaN            NaN  0.478534       0.586425       0.435333        1.77384       0.684775E-001            NaN
  1243.54        500.000       0.875356E-001   96.6579                 NaN            NaN            NaN  0.578522       0.460366       0.423759        1.72421       0.676731E-001            NaN
  1242.23        500.000       0.819276E-001   96.7759                 NaN            NaN            NaN  0.563957       0.441160       0.409060        1.66242       0.655604E-001            NaN
  1240.92        500.000       0.401146        95.8758                 NaN            NaN            NaN  0.154595       0.889282       0.530751        2.14845                 NaN            NaN
  1239.62        500.000                 NaN   95.9785                 NaN            NaN            NaN  0.749818       0.425268       0.508244        2.23972       0.984472E-001            NaN
  1238.31        500.000                 NaN   98.9026                 NaN            NaN            NaN  0.122187       0.420737       0.134779       0.383386       0.363288E-001            NaN
  1237.00        500.000       0.144462        95.4479                 NaN            NaN            NaN  0.568606       0.723737       0.621756        2.39108       0.102427                 NaN
  1235.69        500.000                 NaN   98.1085                 NaN            NaN            NaN  0.255976       0.298873       0.192788        1.11567       0.281387E-001            NaN
