|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.5/T13/T13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.9522       0.472519E-001  0.573296E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.0139       0.985473       0.598007E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        99.0289       0.919174       0.519482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        98.3697        1.54182       0.884786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.6980       0.285587       0.164615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.0787       0.872520       0.487837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.9553       0.373976E-001  0.638804E-002            NaN  0.940536E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        98.1963        1.71274       0.909304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.0842       0.869341       0.465030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.0983       0.856496       0.451626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.1036       0.851911       0.444635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.1138       0.843221       0.429767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.1213       0.836906       0.417810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.1301       0.828604       0.412978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.1342       0.827565       0.382214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.1489       0.810876       0.402279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.1546       0.806693       0.386971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.1659       0.796864       0.372565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.1711       0.793133       0.357868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.1776       0.789086       0.333504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.1853       0.781316       0.334011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.1932       0.775259       0.315183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.2004       0.768710       0.309063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2079       0.761275       0.307798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.2155       0.754713       0.298002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.2232       0.746619       0.301327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        99.2289       0.744397       0.267474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.2346       0.739970       0.254280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.1368       0.830617       0.325485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.8445       0.148191       0.732113E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        98.7679        1.19618       0.359643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.2602       0.719666       0.201098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.2683       0.710190       0.215437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.2734       0.705836       0.208085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.2771       0.702259       0.206330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.2867       0.693508       0.198364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.2923       0.690931       0.167629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.2952       0.688895       0.159392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3033       0.681614       0.150705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.3092       0.651901       0.388667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.3110       0.681136       0.781548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.3219       0.628680       0.494090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.3209       0.675406       0.373232E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.3268       0.673184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.3327       0.667340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.3344       0.665557       0.167772E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.3510       0.428650       0.220352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        99.3697       0.630263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.3546       0.623590       0.218493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.3552       0.644769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.3620       0.637974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.3669       0.633088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.2974       0.702566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.5976       0.402439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.2240       0.775993       0.916812E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.3878       0.612167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.3882       0.611261       0.535490E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.3940       0.605961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        98.1968        1.80324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.9144       0.856413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.5167       0.483342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.3868       0.613203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.4135       0.586472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.4187       0.581282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.4218       0.578220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.4242       0.575773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.4316       0.568380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.4321       0.567852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4370       0.563017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.4371       0.562896       0.692859E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.4427       0.557344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000        99.4458       0.554178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.4483       0.551657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.4534       0.546592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.3497       0.118109                 NaN            NaN            NaN  0.532162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        98.9334                 NaN            NaN            NaN            NaN   1.06665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.8653       0.134701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.1980       0.833908E-001            NaN            NaN            NaN  0.718575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        99.3397       0.204262                 NaN            NaN            NaN  0.456001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        99.3309                 NaN            NaN            NaN            NaN  0.669148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        99.3304                 NaN            NaN            NaN            NaN  0.669641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        99.3287                 NaN            NaN            NaN            NaN  0.671316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        99.3247                 NaN            NaN            NaN            NaN  0.675342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.3249                 NaN            NaN            NaN            NaN  0.675066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        99.3244                 NaN            NaN            NaN            NaN  0.675604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        99.3184                 NaN            NaN            NaN            NaN  0.681624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.3166                 NaN            NaN            NaN            NaN  0.683380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        99.3114                 NaN            NaN            NaN            NaN  0.688650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        99.3070                 NaN            NaN            NaN            NaN  0.692986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        99.2958                 NaN            NaN            NaN            NaN  0.704159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        99.2750                 NaN            NaN            NaN            NaN  0.698615       0.263830E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        98.8927                 NaN            NaN            NaN            NaN  0.731579       0.375754                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        500.000        98.9017                 NaN            NaN            NaN            NaN  0.370012       0.728262                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        500.000        98.9105                 NaN            NaN            NaN            NaN  0.720302       0.369245                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        500.000        98.9248                 NaN            NaN            NaN            NaN  0.711461       0.363693                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        500.000        98.9378                 NaN            NaN            NaN            NaN  0.358786       0.703372                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        500.000        98.9434                 NaN            NaN            NaN            NaN  0.355450       0.701159                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        500.000        98.9542                 NaN            NaN            NaN            NaN  0.693726       0.352118                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        98.9636                 NaN            NaN            NaN            NaN  0.687562       0.348814                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        98.9744                 NaN            NaN            NaN            NaN  0.344370       0.681270                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        500.000        98.9830                 NaN            NaN            NaN            NaN  0.341048       0.675960                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        500.000        98.9911                 NaN            NaN            NaN            NaN  0.670910       0.337990                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        500.000        99.0015                 NaN            NaN            NaN            NaN  0.333645       0.664874                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        500.000        99.0108                 NaN            NaN            NaN            NaN  0.658178       0.330981                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.63        500.000        99.0188                 NaN            NaN            NaN            NaN  0.327385       0.653840                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.13        500.000        99.0254                 NaN            NaN            NaN            NaN  0.323974       0.650632                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.63        500.000        99.0361                 NaN            NaN            NaN            NaN  0.643334       0.320563                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.13        500.000        99.0431                 NaN            NaN            NaN            NaN  0.639392       0.317519                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.63        500.000        99.0515                 NaN            NaN            NaN            NaN  0.634134       0.314383                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.12        500.000        97.9659                 NaN            NaN            NaN            NaN  0.802675       0.785744                 NaN            NaN  0.445718                 NaN            NaN            NaN
  1432.62        500.000        96.9789                 NaN            NaN            NaN            NaN   1.24881       0.915202                 NaN            NaN  0.857058                 NaN            NaN            NaN
  1431.12        500.000        97.0493                 NaN            NaN            NaN            NaN  0.895420        1.21813                 NaN            NaN  0.837136                 NaN            NaN            NaN
  1429.62        500.000        97.1171                 NaN            NaN            NaN            NaN   1.18875       0.876436                 NaN            NaN  0.817753                 NaN            NaN            NaN
  1428.11        500.000        97.1825                 NaN            NaN            NaN            NaN   1.16168       0.856545                 NaN            NaN  0.799225                 NaN            NaN            NaN
  1426.61        500.000        97.2453                 NaN            NaN            NaN            NaN  0.838051        1.13522                 NaN            NaN  0.781410                 NaN            NaN            NaN
  1425.11        500.000        97.3031                 NaN            NaN            NaN            NaN  0.821662        1.11040                 NaN            NaN  0.764804                 NaN            NaN            NaN
  1423.61        500.000        97.3613                 NaN            NaN            NaN            NaN  0.804601        1.08584                 NaN            NaN  0.748236                 NaN            NaN            NaN
  1422.11        500.000        97.4170                 NaN            NaN            NaN            NaN   1.06265       0.788003                 NaN            NaN  0.732329                 NaN            NaN            NaN
  1420.60        500.000        97.4509                 NaN            NaN            NaN            NaN   1.04916       0.776762                 NaN            NaN  0.723188                 NaN            NaN            NaN
  1419.10        500.000        97.5394                 NaN            NaN            NaN            NaN  0.751887        1.01161                 NaN            NaN  0.697080                 NaN            NaN            NaN
  1417.60        500.000        97.5707                 NaN            NaN            NaN            NaN  0.998196       0.742870                 NaN            NaN  0.688231                 NaN            NaN            NaN
  1416.10        500.000        97.6188                 NaN            NaN            NaN            NaN  0.728661       0.978160                 NaN            NaN  0.674405                 NaN            NaN            NaN
  1414.59        500.000        97.6626                 NaN            NaN            NaN            NaN  0.961038       0.714529                 NaN            NaN  0.661874                 NaN            NaN            NaN
  1413.09        500.000        97.7112                 NaN            NaN            NaN            NaN  0.939734       0.701209                 NaN            NaN  0.647842                 NaN            NaN            NaN
  1411.59        500.000        97.7515                 NaN            NaN            NaN            NaN  0.689076       0.923227                 NaN            NaN  0.636147                 NaN            NaN            NaN
  1410.09        500.000        97.7900                 NaN            NaN            NaN            NaN  0.907751       0.676870                 NaN            NaN  0.625334                 NaN            NaN            NaN
  1408.59        500.000        97.8325                 NaN            NaN            NaN            NaN  0.664607       0.890326                 NaN            NaN  0.612601                 NaN            NaN            NaN
  1407.08        500.000        97.8715                 NaN            NaN            NaN            NaN  0.653242       0.873947                 NaN            NaN  0.601313                 NaN            NaN            NaN
  1405.58        500.000        97.9087                 NaN            NaN            NaN            NaN  0.641554       0.859076                 NaN            NaN  0.590709                 NaN            NaN            NaN
  1404.08        500.000        97.9448                 NaN            NaN            NaN            NaN  0.630876       0.844252                 NaN            NaN  0.580060                 NaN            NaN            NaN
  1402.58        500.000        97.9370                 NaN            NaN            NaN            NaN  0.842607       0.635748                 NaN            NaN  0.584631                 NaN            NaN            NaN
  1401.08        500.000        98.0638                 NaN            NaN            NaN            NaN  0.592262       0.800013                 NaN            NaN  0.543919                 NaN            NaN            NaN
  1399.57        500.000        98.0452                 NaN            NaN            NaN            NaN  0.600144       0.804070                 NaN            NaN  0.550598                 NaN            NaN            NaN
  1398.07        500.000        98.0773                 NaN            NaN            NaN            NaN  0.590067       0.791261                 NaN            NaN  0.541345                 NaN            NaN            NaN
  1396.57        500.000        98.1028                 NaN            NaN            NaN            NaN  0.781632       0.581223                 NaN            NaN  0.534381                 NaN            NaN            NaN
  1395.07        500.000        98.1472                 NaN            NaN            NaN            NaN  0.763406       0.568636                 NaN            NaN  0.520735                 NaN            NaN            NaN
  1393.56        500.000        98.1670                 NaN            NaN            NaN            NaN  0.755824       0.562301                 NaN            NaN  0.514919                 NaN            NaN            NaN
  1392.06        500.000        98.1935                 NaN            NaN            NaN            NaN  0.553747       0.745539                 NaN            NaN  0.507223                 NaN            NaN            NaN
  1390.56        500.000        98.2231                 NaN            NaN            NaN            NaN  0.544395       0.734155                 NaN            NaN  0.498333                 NaN            NaN            NaN
  1389.06        500.000        98.2488                 NaN            NaN            NaN            NaN  0.536442       0.724009                 NaN            NaN  0.490755                 NaN            NaN            NaN
  1387.56        500.000        98.2722                 NaN            NaN            NaN            NaN  0.714893       0.529144                 NaN            NaN  0.483725                 NaN            NaN            NaN
  1386.05        500.000        98.3006                 NaN  0.185647E-004            NaN            NaN  0.703901       0.519992                 NaN            NaN  0.475447                 NaN            NaN            NaN
  1384.55        500.000        98.3227                 NaN            NaN            NaN            NaN  0.513370       0.695218                 NaN            NaN  0.468701                 NaN            NaN            NaN
  1383.05        500.000        98.3466                 NaN            NaN            NaN            NaN  0.505401       0.686436                 NaN            NaN  0.461591                 NaN            NaN            NaN
  1381.55        500.000        98.3680                 NaN            NaN            NaN            NaN  0.678509       0.498240                 NaN            NaN  0.455239                 NaN            NaN            NaN
  1380.05        500.000        98.3930                 NaN            NaN            NaN            NaN  0.668844       0.490469                 NaN            NaN  0.447719                 NaN            NaN            NaN
  1378.54        500.000        98.4132                 NaN            NaN            NaN            NaN  0.660670       0.484486                 NaN            NaN  0.441663                 NaN            NaN            NaN
  1377.04        500.000        98.4344                 NaN  0.600584E-001            NaN            NaN  0.514946       0.547821                 NaN            NaN  0.442757                 NaN            NaN            NaN
