|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.75/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1631.41        2500.00        99.4345       0.557833       0.766802E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.0577       0.885139       0.572061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00        99.0670       0.843235       0.897183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00        99.0783       0.833813       0.878908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        99.0723       0.841559       0.861908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00        99.1118       0.802662       0.855115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00        99.1070       0.808516       0.845128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00        99.1181       0.798794       0.831528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00        99.1215       0.796084       0.823970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00        99.1363       0.786830       0.768441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00        99.1472       0.773421       0.793380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00        99.1526       0.770367       0.770087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00        99.1501       0.771266       0.785858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1863       0.738133       0.756151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00        99.1772       0.729528       0.933028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        98.4630        1.40983       0.127131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00        99.9437       0.527152E-001  0.358409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.2065       0.722409       0.710800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00        99.2138       0.716683       0.695623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2230       0.707502       0.695135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00        99.2303       0.702177       0.675388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00        99.2373       0.695773       0.669703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00        99.2451       0.689776       0.651219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00        99.2519       0.683816       0.642825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00        99.2618       0.674290       0.639502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.4566       0.498914       0.444956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00        99.0831       0.839012       0.778604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2802       0.660068       0.597745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00        99.2880       0.638546       0.734874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.2936       0.661719       0.447012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00        99.3016       0.641533       0.569033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3040       0.640605       0.553454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00        99.3148       0.631176       0.539750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00        99.3054       0.641457       0.531366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00        99.3394       0.607468       0.531738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.3321       0.614471       0.533810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00        99.3394       0.609047       0.515404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00        99.3426       0.606702       0.506622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00        99.3489       0.602396       0.487480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00        99.2379       0.706537       0.555146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00        99.4770       0.484110       0.388636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00        99.3660       0.590775       0.431967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00        99.3712       0.578670       0.501115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00        99.3771       0.575252       0.476375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00        99.2325       0.713679       0.538562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.7536       0.229626       0.167678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00        99.1731       0.767333       0.596162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00        99.4018       0.556811       0.413724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00        99.4020       0.557350       0.406931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00        99.5026       0.464777       0.326207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00        99.3151       0.637659       0.472108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00        99.4154       0.546947       0.376575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00        99.4201       0.543097       0.367625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00        99.4316       0.530696       0.376802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00        99.3693       0.587733       0.429698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00        99.4864       0.486111       0.274603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00        99.3505       0.610198       0.393060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00        99.5280       0.443911       0.281192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00        99.4440       0.524872       0.311265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00        99.4491       0.518714       0.321376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00        99.2955       0.660663       0.438507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00        99.6180       0.361104       0.209069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00        99.4402       0.540791       0.189871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00        99.4356       0.318575       0.209433E-001            NaN            NaN  0.224861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00        99.3039       0.221007E-001  0.287471E-002            NaN            NaN  0.671167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00        99.3023                 NaN  0.355744E-002            NaN            NaN  0.694099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00        99.2985                 NaN            NaN            NaN            NaN  0.701518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00        99.3034                 NaN            NaN            NaN            NaN  0.696586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00        99.3037                 NaN  0.166723E-005            NaN            NaN  0.696248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00        99.2998                 NaN            NaN            NaN            NaN  0.700160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00        99.2986                 NaN            NaN            NaN            NaN  0.701442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        2500.00        99.2932                 NaN            NaN            NaN            NaN  0.706820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.47        2500.00        99.2905                 NaN            NaN            NaN            NaN  0.709453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        2500.00        99.5025                 NaN            NaN            NaN            NaN  0.497464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.31        2500.00        99.0582                 NaN            NaN            NaN            NaN  0.941828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.72        2500.00        99.2736                 NaN            NaN            NaN            NaN  0.726432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.14        2500.00        99.1530                 NaN            NaN            NaN            NaN  0.654175       0.192802                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        2500.00        98.8619                 NaN            NaN            NaN            NaN  0.439867       0.698265                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.98        2500.00        98.8747                 NaN            NaN            NaN            NaN  0.435521       0.689766                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.39        2500.00        98.8884                 NaN            NaN            NaN            NaN  0.682887       0.428677                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.81        2500.00        98.8985                 NaN            NaN            NaN            NaN  0.677274       0.424179                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.23        2500.00        99.0570                 NaN            NaN            NaN            NaN  0.363057       0.579938                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.65        2500.00        98.7742                 NaN            NaN            NaN            NaN  0.470381       0.755455                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.06        2500.00        98.9333                 NaN            NaN            NaN            NaN  0.655709       0.410952                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.48        2500.00        98.9484                 NaN            NaN            NaN            NaN  0.647536       0.404060                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.90        2500.00        98.9577                 NaN            NaN            NaN            NaN  0.400211       0.642133                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.32        2500.00        98.9681                 NaN  0.736270E-004            NaN            NaN  0.396304       0.635496                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        98.9788                 NaN            NaN            NaN            NaN  0.628739       0.392453                 NaN            NaN            NaN            NaN            NaN            NaN
