|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1592.95        2500.00       0.586958E-002   99.4676                 NaN            NaN  0.526482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.618686E-003   99.0743                 NaN            NaN  0.925073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   99.0790                 NaN            NaN  0.921006       0.140893E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.0858                 NaN            NaN  0.889921       0.242542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.0676                 NaN            NaN  0.932417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00       0.282164E-002   99.1255                 NaN            NaN  0.854610       0.170925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.1020                 NaN            NaN  0.863342       0.346866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.1087                 NaN            NaN  0.857739       0.335860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.1120                 NaN            NaN  0.855734       0.323039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.1163                 NaN            NaN  0.852476       0.311931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.1230                 NaN            NaN  0.848167       0.288329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.1254                 NaN            NaN  0.845574       0.290287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.1307                 NaN            NaN  0.842424       0.269159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.1352                 NaN            NaN  0.839202       0.256071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00       0.100931E-002   99.1355                 NaN            NaN  0.837158       0.263374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.1466                 NaN            NaN  0.829727       0.236733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.1474                 NaN            NaN  0.830557       0.220405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.5698                 NaN            NaN  0.276398       0.782822E-002  0.146011                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   98.5234                 NaN            NaN  0.474065       0.509303E-002  0.997453                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00       0.198139E-003   98.9282                 NaN            NaN            NaN  0.721165E-002   1.06438                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00       0.880329E-002   98.8906                 NaN            NaN            NaN            NaN   1.10062                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00       0.112984E-001   98.8678                 NaN            NaN            NaN  0.128277E-001   1.10804                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00       0.113785E-001   98.8397                 NaN            NaN            NaN            NaN   1.14892                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00       0.113091E-001   98.8124                 NaN            NaN            NaN            NaN   1.17628                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00       0.113162E-001   98.7649                 NaN            NaN            NaN            NaN   1.22379                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00       0.113339E-001   98.7093                 NaN            NaN            NaN            NaN   1.27940                 NaN            NaN            NaN            NaN            NaN            NaN
