|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1592.95        2500.00       0.373384E-002   99.5253                 NaN            NaN  0.470996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.393811E-003   99.1718                 NaN            NaN  0.827789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   99.1760                 NaN            NaN  0.824007       0.121552E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.1829                 NaN            NaN  0.796205       0.209263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.1656                 NaN            NaN  0.834369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00       0.179558E-002   99.2192                 NaN            NaN  0.764288       0.147370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.1981                 NaN            NaN  0.771960       0.298924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.2042                 NaN            NaN  0.766864       0.289364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.2072                 NaN            NaN  0.764955       0.278232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.2113                 NaN            NaN  0.761883       0.268595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.2172                 NaN            NaN  0.757976       0.248173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.2195                 NaN            NaN  0.755566       0.249801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.2242                 NaN            NaN  0.752623       0.231485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.2284                 NaN            NaN  0.749602       0.220158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00       0.642143E-003   99.2291                 NaN            NaN  0.747664       0.226388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.2387                 NaN            NaN  0.740999       0.203389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.2395                 NaN            NaN  0.741554       0.189304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
