|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/EETA/EETA_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q              hed           
  1423.08        500.000        99.8627                 NaN  0.137297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.4923                 NaN  0.286128       0.221565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4111                 NaN  0.205421       0.383466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4152                 NaN  0.380889       0.203941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4083                 NaN  0.385355       0.206337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.1633                 NaN  0.320109       0.399095                 NaN  0.117520                 NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        98.4134                 NaN  0.480390       0.660836                 NaN  0.445353                 NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.4359                 NaN  0.651600       0.473468                 NaN  0.438999                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        98.4577                 NaN  0.642361       0.467232                 NaN  0.432719                 NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        98.4766                 NaN  0.634676       0.461246                 NaN  0.427527                 NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.4982                 NaN  0.625743       0.454787                 NaN  0.421240                 NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.5174                 NaN  0.617301       0.449530                 NaN  0.415786                 NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.5366                 NaN  0.443006       0.609921                 NaN  0.410424                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.5554                 NaN  0.602008       0.437466                 NaN  0.405139                 NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.5748                 NaN  0.594611       0.431006                 NaN  0.399587                 NaN            NaN            NaN            NaN            NaN
