|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q              hed           
  1423.08        500.000        99.8852                 NaN  0.114791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5730                 NaN  0.239251       0.187782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.5034                 NaN  0.171692       0.324898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.5070                 NaN  0.322585       0.170373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.5015                 NaN  0.326236       0.172285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.2742                 NaN  0.267146       0.337744                 NaN  0.120937                 NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        98.5837                 NaN  0.406497       0.551362                 NaN  0.458430                 NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.6047                 NaN  0.543186       0.400351                 NaN  0.451734                 NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        98.6251                 NaN  0.534995       0.394778                 NaN  0.445115                 NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        98.6429                 NaN  0.528109       0.389414                 NaN  0.439619                 NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        98.6631                 NaN  0.520233       0.383683                 NaN  0.432998                 NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.6810                 NaN  0.512762       0.378963                 NaN  0.427237                 NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        98.6991                 NaN  0.373170       0.506168                 NaN  0.421573                 NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        98.7166                 NaN  0.499201       0.368259                 NaN  0.415990                 NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        98.7348                 NaN  0.492580       0.362502                 NaN  0.410135                 NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        98.7515                 NaN  0.358085       0.485672                 NaN  0.404742                 NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        98.7052                 NaN  0.503793       0.371201                 NaN  0.419792                 NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        98.8451                 NaN  0.330828       0.449744                 NaN  0.374330                 NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        98.7994                 NaN  0.457576       0.346607                 NaN  0.390396       0.599931E-002            NaN            NaN            NaN            NaN
  1402.93        500.000        98.8224                 NaN  0.377300       0.308539                 NaN  0.400088       0.916631E-001            NaN            NaN            NaN            NaN
  1401.87        500.000        98.8394                 NaN  0.372917       0.301262                 NaN  0.394621       0.917837E-001            NaN            NaN            NaN            NaN
  1400.81        500.000        98.8543                 NaN  0.369278       0.293960                 NaN  0.389982       0.924690E-001            NaN            NaN            NaN            NaN
  1399.75        500.000        98.8702                 NaN  0.366078       0.285628                 NaN  0.384967       0.931219E-001            NaN            NaN            NaN            NaN
