|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1464.74        2500.00        99.8220                 NaN  0.177955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.58        2500.00        99.3656                 NaN  0.345270       0.286661                 NaN  0.251101E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.41        2500.00        99.2343                 NaN  0.161540       0.576680                 NaN  0.274389E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        99.2394                 NaN  0.572264       0.161255                 NaN  0.271182E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.08        2500.00        99.2366                 NaN  0.573184       0.163251                 NaN  0.269153E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.2596                 NaN  0.555716       0.158757                 NaN  0.259481E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1457.75        2500.00        99.2550                 NaN  0.558642       0.160394                 NaN  0.259373E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.2232                 NaN  0.150843       0.584442                 NaN  0.269656E-001  0.145642E-001            NaN            NaN            NaN            NaN            NaN
  1455.42        2500.00        99.2512                 NaN  0.164236       0.560039                 NaN  0.244753E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00        99.3117                 NaN  0.159060       0.504284                 NaN  0.222350E-001            NaN  0.270771E-002            NaN            NaN            NaN            NaN
  1453.09        2500.00        99.2735                 NaN  0.160868       0.541305                 NaN  0.243371E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        2500.00        99.2814                 NaN  0.160360       0.534389                 NaN  0.238320E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1450.76        2500.00        99.2341                 NaN  0.171450       0.569239                 NaN  0.251957E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        99.9508                 NaN  0.360241E-001  0.114780E-001            NaN  0.165817E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1448.43        2500.00        99.6298                 NaN  0.273108       0.854715E-001            NaN  0.112231E-001            NaN  0.411878E-003            NaN            NaN            NaN            NaN
  1447.27        2500.00        98.3511                 NaN   1.22408       0.372049                 NaN  0.527841E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1446.10        2500.00        99.2642                 NaN  0.545471       0.166885                 NaN  0.233947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1444.94        2500.00        99.3412                 NaN  0.149898       0.488188                 NaN  0.206944E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1443.77        2500.00        99.3103                 NaN  0.510687       0.157594                 NaN  0.214543E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1442.61        2500.00        99.3120                 NaN  0.156799       0.509738                 NaN  0.214417E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1441.44        2500.00        99.2514                 NaN  0.172962       0.552926                 NaN  0.227313E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00        99.9147                 NaN  0.629996E-001  0.195821E-001            NaN  0.270386E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1439.12        2500.00        98.7990                 NaN  0.886711       0.278434                 NaN  0.358990E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        2500.00        99.3289                 NaN  0.495309       0.155890                 NaN  0.198766E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1436.79        2500.00        99.2621                 NaN  0.170005       0.546250                 NaN  0.216053E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1435.62        2500.00        98.6072                 NaN  0.418462       0.569919                 NaN  0.720756E-001            NaN            NaN  0.332374                 NaN            NaN            NaN
  1434.46        2500.00        97.6768                 NaN  0.754420       0.737415                 NaN  0.133522                 NaN            NaN  0.697795                 NaN            NaN            NaN
  1433.29        2500.00        97.7344                 NaN  0.718201       0.736893                 NaN  0.129741                 NaN            NaN  0.680745                 NaN            NaN            NaN
  1432.13        2500.00        97.7913                 NaN  0.700245       0.718844                 NaN  0.125866                 NaN            NaN  0.663699                 NaN            NaN            NaN
  1430.96        2500.00        97.8450                 NaN  0.701984       0.682984                 NaN  0.122292                 NaN            NaN  0.647752                 NaN            NaN            NaN
  1429.80        2500.00        97.8971                 NaN  0.684887       0.667286                 NaN  0.118688                 NaN            NaN  0.632080                 NaN            NaN            NaN
  1428.63        2500.00        97.9460                 NaN  0.669971       0.650951                 NaN  0.115581                 NaN            NaN  0.617542                 NaN            NaN            NaN
  1427.47        2500.00        97.9940                 NaN  0.653909       0.636671                 NaN  0.112235                 NaN            NaN  0.603151                 NaN            NaN            NaN
  1426.30        2500.00        98.0404                 NaN  0.622839       0.638776                 NaN  0.108964                 NaN            NaN  0.588972                 NaN            NaN            NaN
  1425.14        2500.00        98.0805                 NaN  0.627589       0.608550                 NaN  0.106066                 NaN            NaN  0.577298                 NaN            NaN            NaN
  1423.97        2500.00        98.1264                 NaN  0.595850       0.611423                 NaN  0.103044                 NaN            NaN  0.563259                 NaN            NaN            NaN
  1422.81        2500.00        98.1655                 NaN  0.598071       0.584434                 NaN  0.100418                 NaN            NaN  0.551555                 NaN            NaN            NaN
  1421.64        2500.00        98.2040                 NaN  0.571980       0.586281                 NaN  0.978655E-001            NaN            NaN  0.539896                 NaN            NaN            NaN
  1420.48        2500.00        98.2416                 NaN  0.573455       0.561099                 NaN  0.952184E-001            NaN            NaN  0.528653                 NaN            NaN            NaN
  1419.31        2500.00        98.2775                 NaN  0.550037       0.561749                 NaN  0.929076E-001            NaN            NaN  0.517804                 NaN            NaN            NaN
  1418.15        2500.00        98.3108                 NaN  0.551069       0.539975                 NaN  0.904275E-001            NaN            NaN  0.507771                 NaN            NaN            NaN
  1416.98        2500.00        98.3464                 NaN  0.539102       0.529645                 NaN  0.879102E-001            NaN            NaN  0.496900                 NaN            NaN            NaN
  1415.82        2500.00        98.3769                 NaN  0.520844       0.528649                 NaN  0.858168E-001            NaN            NaN  0.487768                 NaN            NaN            NaN
  1414.66        2500.00        98.4098                 NaN  0.517959       0.510848                 NaN  0.836530E-001            NaN            NaN  0.477777                 NaN            NaN            NaN
  1413.49        2500.00        98.4390                 NaN  0.508424       0.502029                 NaN  0.816211E-001            NaN            NaN  0.468926                 NaN            NaN            NaN
  1412.33        2500.00        98.4669                 NaN  0.498501       0.494646                 NaN  0.794516E-001            NaN            NaN  0.460482                 NaN            NaN            NaN
  1411.16        2500.00        98.4965                 NaN  0.489022       0.485339                 NaN  0.776157E-001            NaN            NaN  0.451478                 NaN            NaN            NaN
  1410.00        2500.00        98.5239                 NaN  0.479631       0.477634                 NaN  0.757233E-001            NaN            NaN  0.443148                 NaN            NaN            NaN
  1408.83        2500.00        98.5495                 NaN  0.471413       0.469706                 NaN  0.739380E-001            NaN            NaN  0.435452                 NaN            NaN            NaN
  1407.67        2500.00        98.5752                 NaN  0.462840       0.462362                 NaN  0.720355E-001            NaN            NaN  0.427587                 NaN            NaN            NaN
  1406.50        2500.00        98.5985                 NaN  0.454561       0.456082                 NaN  0.703484E-001            NaN            NaN  0.420543                 NaN            NaN            NaN
  1405.34        2500.00        98.6244                 NaN  0.446178       0.448444                 NaN  0.685232E-001            NaN            NaN  0.412421                 NaN            NaN            NaN
