|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1464.74        2500.00        99.8476                 NaN  0.152414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.58        2500.00        99.4551                 NaN  0.295798       0.248128                 NaN  0.953611E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1462.41        2500.00        99.3522                 NaN  0.138345       0.499052                 NaN  0.104200E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        99.3567                 NaN  0.494972       0.138025                 NaN  0.102947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.08        2500.00        99.3546                 NaN  0.495534       0.139650                 NaN  0.102143E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.3742                 NaN  0.480191       0.135719                 NaN  0.984368E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1457.75        2500.00        99.3706                 NaN  0.482497       0.137045                 NaN  0.983635E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.3446                 NaN  0.128770       0.504755                 NaN  0.102232E-001  0.116959E-001            NaN            NaN            NaN            NaN            NaN
  1455.42        2500.00        99.3674                 NaN  0.140158       0.483175                 NaN  0.927542E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00        99.4194                 NaN  0.135637       0.434762                 NaN  0.842302E-002            NaN  0.176904E-002            NaN            NaN            NaN            NaN
  1453.09        2500.00        99.3872                 NaN  0.137107       0.466523                 NaN  0.921681E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        2500.00        99.3940                 NaN  0.136598       0.460356                 NaN  0.902239E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1450.76        2500.00        99.3544                 NaN  0.145958       0.490142                 NaN  0.953598E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        99.9586                 NaN  0.309911E-001  0.976134E-002            NaN  0.626857E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1448.43        2500.00        99.6882                 NaN  0.234684       0.726231E-001            NaN  0.424424E-002            NaN  0.268898E-003            NaN            NaN            NaN            NaN
  1447.27        2500.00        98.6094                 NaN   1.05396       0.316636                 NaN  0.199861E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1446.10        2500.00        99.3807                 NaN  0.468715       0.141733                 NaN  0.884218E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1444.94        2500.00        99.4458                 NaN  0.127205       0.419220                 NaN  0.781815E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1443.77        2500.00        99.4199                 NaN  0.438357       0.133669                 NaN  0.810293E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1442.61        2500.00        99.4216                 NaN  0.132929       0.437358                 NaN  0.809541E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1441.44        2500.00        99.3708                 NaN  0.146517       0.474091                 NaN  0.858001E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00        99.9284                 NaN  0.539707E-001  0.165655E-001            NaN  0.101946E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1439.12        2500.00        98.9904                 NaN  0.760223       0.235778                 NaN  0.135515E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        2500.00        99.4366                 NaN  0.424045       0.131819                 NaN  0.749427E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1436.79        2500.00        99.3808                 NaN  0.143668       0.467416                 NaN  0.814390E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1435.62        2500.00        98.7847                 NaN  0.353506       0.487551                 NaN  0.271673E-001            NaN            NaN  0.347112                 NaN            NaN            NaN
  1434.46        2500.00        97.9528                 NaN  0.645300       0.622797                 NaN  0.503267E-001            NaN            NaN  0.728737                 NaN            NaN            NaN
  1433.29        2500.00        98.0057                 NaN  0.605774       0.629522                 NaN  0.488476E-001            NaN            NaN  0.710170                 NaN            NaN            NaN
  1432.13        2500.00        98.0579                 NaN  0.589824       0.613321                 NaN  0.473366E-001            NaN            NaN  0.691651                 NaN            NaN            NaN
  1430.96        2500.00        98.1070                 NaN  0.598199       0.574528                 NaN  0.459426E-001            NaN            NaN  0.674319                 NaN            NaN            NaN
  1429.80        2500.00        98.1547                 NaN  0.582887       0.560557                 NaN  0.445402E-001            NaN            NaN  0.657313                 NaN            NaN            NaN
  1428.63        2500.00        98.1995                 NaN  0.569521       0.546146                 NaN  0.433275E-001            NaN            NaN  0.641525                 NaN            NaN            NaN
  1427.47        2500.00        98.2434                 NaN  0.555158       0.533444                 NaN  0.420282E-001            NaN            NaN  0.625924                 NaN            NaN            NaN
  1426.30        2500.00        98.2859                 NaN  0.521147       0.541634                 NaN  0.407602E-001            NaN            NaN  0.610580                 NaN            NaN            NaN
  1425.14        2500.00        98.3225                 NaN  0.531464       0.508501                 NaN  0.396343E-001            NaN            NaN  0.597866                 NaN            NaN            NaN
  1423.97        2500.00        98.3644                 NaN  0.497269       0.517156                 NaN  0.384644E-001            NaN            NaN  0.582731                 NaN            NaN            NaN
  1422.81        2500.00        98.4001                 NaN  0.505268       0.487101                 NaN  0.374451E-001            NaN            NaN  0.570046                 NaN            NaN            NaN
  1421.64        2500.00        98.4353                 NaN  0.476132       0.494719                 NaN  0.364554E-001            NaN            NaN  0.557435                 NaN            NaN            NaN
  1420.48        2500.00        98.4695                 NaN  0.483298       0.466464                 NaN  0.354328E-001            NaN            NaN  0.545282                 NaN            NaN            NaN
  1419.31        2500.00        98.5023                 NaN  0.456708       0.472892                 NaN  0.345374E-001            NaN            NaN  0.533561                 NaN            NaN            NaN
  1418.15        2500.00        98.5326                 NaN  0.463317       0.447750                 NaN  0.335812E-001            NaN            NaN  0.522706                 NaN            NaN            NaN
  1416.98        2500.00        98.5650                 NaN  0.452712       0.438630                 NaN  0.326132E-001            NaN            NaN  0.511012                 NaN            NaN            NaN
  1415.82        2500.00        98.5929                 NaN  0.430801       0.443408                 NaN  0.318046E-001            NaN            NaN  0.501132                 NaN            NaN            NaN
  1414.66        2500.00        98.6227                 NaN  0.433945       0.422021                 NaN  0.309715E-001            NaN            NaN  0.490390                 NaN            NaN            NaN
  1413.49        2500.00        98.6493                 NaN  0.425454       0.414224                 NaN  0.301892E-001            NaN            NaN  0.480842                 NaN            NaN            NaN
  1412.33        2500.00        98.6747                 NaN  0.416628       0.407586                 NaN  0.293577E-001            NaN            NaN  0.471731                 NaN            NaN            NaN
  1411.16        2500.00        98.7016                 NaN  0.408269       0.399463                 NaN  0.286510E-001            NaN            NaN  0.462066                 NaN            NaN            NaN
  1410.00        2500.00        98.7264                 NaN  0.399969       0.392643                 NaN  0.279250E-001            NaN            NaN  0.453111                 NaN            NaN            NaN
  1408.83        2500.00        98.7496                 NaN  0.392664       0.385661                 NaN  0.272401E-001            NaN            NaN  0.444823                 NaN            NaN            NaN
  1407.67        2500.00        98.7729                 NaN  0.379544       0.384662                 NaN  0.265135E-001            NaN            NaN  0.436380                 NaN            NaN            NaN
  1406.50        2500.00        98.7941                 NaN  0.377722       0.373554                 NaN  0.258676E-001            NaN            NaN  0.428791                 NaN            NaN            NaN
  1405.34        2500.00        98.8175                 NaN  0.370352       0.366852                 NaN  0.251723E-001            NaN            NaN  0.420120                 NaN            NaN            NaN
  1404.17        2500.00        98.8376                 NaN  0.361274       0.363559                 NaN  0.245871E-001            NaN            NaN  0.412995                 NaN            NaN            NaN
  1403.01        2500.00        98.8581                 NaN  0.356872       0.355478                 NaN  0.239863E-001            NaN            NaN  0.405537                 NaN            NaN            NaN
  1401.84        2500.00        98.8669                 NaN  0.355139       0.351092                 NaN  0.238352E-001            NaN            NaN  0.403017                 NaN            NaN            NaN
  1400.68        2500.00        98.9083                 NaN  0.342829       0.339424                 NaN  0.224775E-001            NaN            NaN  0.386945                 NaN            NaN            NaN
  1399.51        2500.00        98.9156                 NaN  0.337672       0.339801                 NaN  0.222498E-001            NaN            NaN  0.384641                 NaN            NaN            NaN
  1398.35        2500.00        98.9340                 NaN  0.335034       0.331222                 NaN  0.216959E-001            NaN            NaN  0.377999                 NaN            NaN            NaN
  1397.18        2500.00        98.9512                 NaN  0.325223       0.330660                 NaN  0.211544E-001            NaN            NaN  0.371722                 NaN            NaN            NaN
  1396.02        2500.00        98.9681                 NaN  0.319359       0.326226                 NaN  0.206418E-001            NaN            NaN  0.365676                 NaN            NaN            NaN
  1394.85        2500.00        98.9855                 NaN  0.314007       0.321097                 NaN  0.201450E-001            NaN            NaN  0.359218                 NaN            NaN            NaN
  1393.69        2500.00        99.0010                 NaN  0.317014       0.308690                 NaN  0.196568E-001            NaN            NaN  0.353627                 NaN            NaN            NaN
  1392.52        2500.00        99.0173                 NaN  0.302788       0.312937                 NaN  0.191989E-001            NaN            NaN  0.347813                 NaN            NaN            NaN
  1391.36        2500.00        99.0325                 NaN  0.309354       0.297425                 NaN  0.186675E-001            NaN            NaN  0.342075                 NaN            NaN            NaN
  1390.20        2500.00        99.0458                 NaN  0.293563       0.304722                 NaN  0.183711E-001            NaN            NaN  0.337543                 NaN            NaN            NaN
  1389.03        2500.00        99.0628                 NaN  0.301580       0.287090                 NaN  0.176953E-001            NaN            NaN  0.330800                 NaN            NaN            NaN
  1387.87        2500.00        99.0758                 NaN  0.283013       0.297597                 NaN  0.173664E-001            NaN            NaN  0.326254                 NaN            NaN            NaN
  1386.70        2500.00        99.0898                 NaN  0.294546       0.277593                 NaN  0.169062E-001            NaN            NaN  0.321118                 NaN            NaN            NaN
  1385.54        2500.00        99.1025                 NaN  0.291230       0.273300                 NaN  0.164854E-001            NaN            NaN  0.316498                 NaN            NaN            NaN
  1384.37        2500.00        99.1162                 NaN  0.287932       0.268371                 NaN  0.160811E-001            NaN            NaN  0.311413                 NaN            NaN            NaN
  1383.21        2500.00        99.1287                 NaN  0.284660       0.264128                 NaN  0.156718E-001            NaN            NaN  0.306809                 NaN            NaN            NaN
  1382.04        2500.00        99.1406                 NaN  0.281402       0.260109                 NaN  0.153504E-001            NaN            NaN  0.302577                 NaN            NaN            NaN
  1380.88        2500.00        99.1525                 NaN  0.255515       0.278910                 NaN  0.149084E-001            NaN            NaN  0.298208                 NaN            NaN            NaN
  1379.71        2500.00        99.1662                 NaN  0.275352       0.251095                 NaN  0.145000E-001            NaN            NaN  0.292872                 NaN            NaN            NaN
  1378.55        2500.00        99.1760                 NaN  0.247563       0.272844                 NaN  0.141721E-001            NaN            NaN  0.289401                 NaN            NaN            NaN
  1377.38        2500.00        99.1847                 NaN  0.243614       0.271640                 NaN  0.138370E-001            NaN            NaN  0.286246                 NaN            NaN            NaN
  1376.22        2500.00        99.2009                 NaN  0.237669       0.268158                 NaN  0.132865E-001            NaN            NaN  0.279954                 NaN            NaN            NaN
  1375.05        2500.00        99.2092                 NaN  0.234867       0.265726                 NaN  0.130644E-001            NaN            NaN  0.277100                 NaN            NaN            NaN
  1373.89        2500.00        99.2203                 NaN  0.231239       0.262741                 NaN  0.127268E-001            NaN            NaN  0.272982                 NaN            NaN            NaN
  1372.72        2500.00        99.2300                 NaN  0.227576       0.260594                 NaN  0.124009E-001            NaN            NaN  0.269388                 NaN            NaN            NaN
  1371.56        2500.00        99.2396                 NaN  0.258337       0.224069                 NaN  0.120850E-001            NaN            NaN  0.265875                 NaN            NaN            NaN
  1370.39        2500.00        99.2500                 NaN  0.219796       0.256530                 NaN  0.117267E-001            NaN            NaN  0.261941                 NaN            NaN            NaN
  1369.23        2500.00        99.2594                 NaN  0.216655       0.254015                 NaN  0.114366E-001            NaN            NaN  0.258500                 NaN            NaN            NaN
  1368.06        2500.00        99.2684                 NaN  0.213202       0.252214                 NaN  0.110855E-001            NaN            NaN  0.255056                 NaN            NaN            NaN
  1366.90        2500.00        99.2778                 NaN  0.209766       0.250046                 NaN  0.107992E-001            NaN            NaN  0.251618                 NaN            NaN            NaN
  1365.74        2500.00        99.2864                 NaN  0.248166       0.206557                 NaN  0.104920E-001            NaN            NaN  0.248384                 NaN            NaN            NaN
  1364.57        2500.00        99.2953                 NaN  0.246612       0.202871                 NaN  0.101794E-001            NaN            NaN  0.245077                 NaN            NaN            NaN
  1363.41        2500.00        99.3040                 NaN  0.244397       0.199768                 NaN  0.994159E-002            NaN            NaN  0.241889                 NaN            NaN            NaN
  1362.24        2500.00        99.3109                 NaN  0.243628       0.196671                 NaN  0.958608E-002            NaN            NaN  0.239209                 NaN            NaN            NaN
  1361.08        2500.00        99.3204                 NaN  0.241155       0.193626                 NaN  0.927998E-002            NaN            NaN  0.235570                 NaN            NaN            NaN
  1359.91        2500.00        99.3286                 NaN  0.190350       0.239432                 NaN  0.905391E-002            NaN            NaN  0.232598                 NaN            NaN            NaN
  1358.75        2500.00        99.3358                 NaN  0.238434       0.187076                 NaN  0.875758E-002            NaN            NaN  0.229887                 NaN            NaN            NaN
  1357.58        2500.00        99.3434                 NaN  0.183944       0.237202                 NaN  0.845979E-002            NaN            NaN  0.226998                 NaN            NaN            NaN
  1356.42        2500.00        99.3500                 NaN  0.236758       0.180446                 NaN  0.820741E-002            NaN            NaN  0.224576                 NaN            NaN            NaN
  1355.25        2500.00        99.3593                 NaN  0.177851       0.233909                 NaN  0.793663E-002            NaN            NaN  0.220958                 NaN            NaN            NaN
  1354.09        2500.00        99.3654                 NaN  0.174996       0.233160                 NaN  0.769458E-002            NaN            NaN  0.218770                 NaN            NaN            NaN
  1352.92        2500.00        99.3726                 NaN  0.231403       0.172532                 NaN  0.747611E-002            NaN            NaN  0.215995                 NaN            NaN            NaN
  1351.76        2500.00        99.3789                 NaN  0.170018       0.230288                 NaN  0.719787E-002            NaN            NaN  0.213615                 NaN            NaN            NaN
  1350.59        2500.00        99.3863                 NaN  0.166514       0.229490                 NaN  0.692404E-002            NaN            NaN  0.210810                 NaN            NaN            NaN
  1349.43        2500.00        99.3913                 NaN  0.164430       0.228567                 NaN  0.674484E-002            NaN            NaN  0.208976                 NaN            NaN            NaN
  1348.26        2500.00        99.4002                 NaN  0.160918       0.226960                 NaN  0.640796E-002            NaN            NaN  0.205499                 NaN            NaN            NaN
  1347.10        2500.00        99.4052                 NaN  0.158274       0.226676                 NaN  0.619736E-002            NaN            NaN  0.203625                 NaN            NaN            NaN
  1345.93        2500.00        99.4113                 NaN  0.225363       0.155974                 NaN  0.599906E-002            NaN            NaN  0.201374                 NaN            NaN            NaN
  1344.77        2500.00        99.4169                 NaN  0.224568       0.153500                 NaN  0.578287E-002            NaN            NaN  0.199246                 NaN            NaN            NaN
  1343.60        2500.00        99.4239                 NaN  0.150097       0.224095                 NaN  0.546263E-002            NaN            NaN  0.196447                 NaN            NaN            NaN
