|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1554.49        2500.00       0.253554E-002            NaN   99.6947       0.121602       0.181182                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        2500.00       0.769515E-003            NaN   99.3843       0.546660       0.683025E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        2500.00                 NaN            NaN   99.3884       0.547347       0.642937E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00                 NaN            NaN   99.1877       0.727709       0.846048E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        2500.00                 NaN            NaN   99.5960       0.362009       0.419491E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00                 NaN            NaN   99.4024       0.536585       0.609671E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        2500.00                 NaN            NaN   99.4027       0.534514       0.628273E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00                 NaN            NaN   99.4085       0.530839       0.606403E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        2500.00                 NaN            NaN   99.4107       0.528726       0.606008E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00                 NaN            NaN   99.4147       0.527341       0.579863E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        2500.00                 NaN            NaN   99.4187       0.522879       0.584333E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00                 NaN            NaN   99.4221       0.520498       0.574402E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        2500.00                 NaN            NaN   99.3841       0.555676       0.602490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00                 NaN            NaN   99.4705       0.477933       0.515256E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        2500.00                 NaN            NaN   99.4328       0.512325       0.548722E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00                 NaN            NaN   99.4354       0.510389       0.541880E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        2500.00                 NaN            NaN   99.4083       0.534121       0.575544E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        2500.00                 NaN            NaN   99.4750       0.474876       0.501446E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        2500.00                 NaN            NaN   99.4458       0.483314       0.708749E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        2500.00                 NaN            NaN   99.0919       0.806583       0.101513                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        2500.00                 NaN            NaN   99.8115       0.162901       0.256328E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        2500.00                 NaN            NaN   99.6296       0.359873       0.105584E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        2500.00                 NaN            NaN   99.2839       0.661420       0.546346E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        2500.00                 NaN            NaN   99.4849       0.474023       0.410697E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        2500.00                 NaN            NaN   99.4409       0.511105       0.479712E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00                 NaN            NaN   99.4680       0.484196       0.477571E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        2500.00                 NaN            NaN   99.4709       0.482116       0.469995E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        2500.00                 NaN            NaN   99.4726       0.481357       0.460518E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        2500.00                 NaN            NaN   99.4757       0.479553       0.447828E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00                 NaN            NaN   99.4783       0.477391       0.443081E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        2500.00                 NaN            NaN   99.4811       0.475592       0.433141E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1511.41        2500.00                 NaN            NaN   98.9817       0.941977       0.762902E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        2500.00                 NaN            NaN   99.9734                 NaN  0.266459E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00                 NaN            NaN   99.8221       0.152336       0.255739E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1507.24        2500.00                 NaN            NaN   99.1698       0.801415       0.287642E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00                 NaN            NaN   99.4936       0.465542       0.408494E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1504.46        2500.00                 NaN            NaN   99.3653       0.420403E-001            NaN  0.592629                 NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00                 NaN            NaN   99.3294       0.217972E-002            NaN  0.668380                 NaN            NaN            NaN            NaN            NaN
  1501.68        2500.00                 NaN            NaN   99.3282                 NaN            NaN  0.671810                 NaN            NaN            NaN            NaN            NaN
