|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1426.28        500.000        94.2543        3.92893        1.81676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.3690       0.418243       0.212730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3721       0.211823       0.416033                 NaN  0.120253E-004            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3748       0.414553       0.210616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3695       0.417235       0.213232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.9393       0.237047E-001  0.336356E-001            NaN  0.490669E-003  0.284573E-002            NaN            NaN            NaN            NaN
  1419.87        500.000        98.8423       0.390432       0.767283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        98.9225       0.414475       0.461142                 NaN            NaN            NaN  0.201921                 NaN            NaN            NaN
  1417.73        500.000        98.3168       0.686334       0.528395                 NaN            NaN            NaN  0.468468                 NaN            NaN            NaN
  1416.66        500.000        98.3367       0.522481       0.678090                 NaN            NaN            NaN  0.462723                 NaN            NaN            NaN
  1415.60        500.000        98.3564       0.669751       0.516598                 NaN            NaN            NaN  0.457284                 NaN            NaN            NaN
  1414.53        500.000        98.3817       0.659332       0.508773                 NaN            NaN            NaN  0.450148                 NaN            NaN            NaN
  1413.46        500.000        98.2931       0.539616       0.693158                 NaN            NaN            NaN  0.474140                 NaN            NaN            NaN
  1412.39        500.000        98.5278       0.600189       0.462627                 NaN            NaN            NaN  0.409366                 NaN            NaN            NaN
  1411.32        500.000        98.4421       0.519544       0.521057                 NaN  0.733431E-001            NaN  0.443989                 NaN            NaN            NaN
  1410.25        500.000        98.4577       0.420962       0.538932                 NaN  0.134194                 NaN  0.448197                 NaN            NaN            NaN
  1409.19        500.000        98.4914       0.529317       0.406135                 NaN  0.134394                 NaN  0.438798                 NaN            NaN            NaN
  1408.12        500.000        98.5047       0.526827       0.396562                 NaN  0.136615                 NaN  0.435314                 NaN            NaN            NaN
  1407.05        500.000        98.5243       0.521426       0.386319                 NaN  0.137904                 NaN  0.430063                 NaN            NaN            NaN
  1405.98        500.000        98.5444       0.375197       0.517186                 NaN  0.138702                 NaN  0.424508                 NaN            NaN            NaN
  1404.91        500.000        98.5621       0.366211       0.512782                 NaN  0.139641                 NaN  0.419307                 NaN            NaN            NaN
  1403.84        500.000        98.5740       0.510640       0.358135                 NaN  0.140688                 NaN  0.416558                 NaN            NaN            NaN
  1402.78        500.000        98.6025       0.502608       0.345041                 NaN  0.141594                 NaN  0.408286                 NaN            NaN            NaN
  1401.71        500.000        98.6146       0.500350       0.337062                 NaN  0.142938                 NaN  0.405024                 NaN            NaN            NaN
  1400.64        500.000        98.6312       0.496599       0.328180                 NaN  0.143687                 NaN  0.400319                 NaN            NaN            NaN
  1399.57        500.000        98.6476       0.318889       0.492822                 NaN  0.144847                 NaN  0.395863                 NaN            NaN            NaN
  1398.50        500.000        98.6639       0.488652       0.309709                 NaN  0.146211                 NaN  0.391536                 NaN            NaN            NaN
  1397.43        500.000        98.6809       0.484635       0.301351                 NaN  0.146628                 NaN  0.386478                 NaN            NaN            NaN
  1396.37        500.000        98.6941       0.481847       0.293735                 NaN  0.147577                 NaN  0.382745                 NaN            NaN            NaN
  1395.30        500.000        98.7104       0.284416       0.478273                 NaN  0.148674                 NaN  0.378256                 NaN            NaN            NaN
  1394.23        500.000        98.7244       0.475142       0.276533                 NaN  0.149540                 NaN  0.374402                 NaN            NaN            NaN
  1393.16        500.000        98.7387       0.471716       0.268483                 NaN  0.150609                 NaN  0.370443                 NaN            NaN            NaN
  1392.09        500.000        98.7519       0.469237       0.260458                 NaN  0.151699                 NaN  0.366709                 NaN            NaN            NaN
  1391.02        500.000        98.7679       0.464787       0.253698                 NaN  0.151559                 NaN  0.362022                 NaN            NaN            NaN
  1389.96        500.000        98.7807       0.462785       0.244652                 NaN  0.153219                 NaN  0.358600                 NaN            NaN            NaN
  1388.89        500.000        98.7943       0.237059       0.459770                 NaN  0.154030                 NaN  0.354817                 NaN            NaN            NaN
  1387.82        500.000        98.7665       0.235782       0.473031                 NaN  0.161261                 NaN  0.363462                 NaN            NaN            NaN
  1386.75        500.000        98.8635       0.204555       0.440375                 NaN  0.155994                 NaN  0.335542                 NaN            NaN            NaN
  1385.68        500.000        98.8332       0.446636       0.227882                 NaN  0.149267                 NaN  0.342988                 NaN            NaN            NaN
  1384.61        500.000        98.8463       0.447684       0.210918                 NaN  0.155369                 NaN  0.339730                 NaN            NaN            NaN
  1383.55        500.000        98.8552       0.447527       0.200570                 NaN  0.158927                 NaN  0.337776                 NaN            NaN            NaN
  1382.48        500.000        98.8658       0.195343       0.445970                 NaN  0.158523                 NaN  0.334361                 NaN            NaN            NaN
  1381.41        500.000        98.8853       0.186843       0.440104                 NaN  0.158901                 NaN  0.328810                 NaN            NaN            NaN
  1380.34        500.000        98.8934       0.181036       0.439433                 NaN  0.159489                 NaN  0.326685                 NaN            NaN            NaN
  1379.27        500.000        98.9049       0.174792       0.436655                 NaN  0.160302                 NaN  0.323355                 NaN            NaN            NaN
  1378.20        500.000        98.9159       0.167268       0.435166                 NaN  0.161322                 NaN  0.320335                 NaN            NaN            NaN
  1377.13        500.000        98.9261       0.162976       0.432755                 NaN  0.160917                 NaN  0.317209                 NaN            NaN            NaN
  1376.07        500.000        98.9379       0.155410       0.431014                 NaN  0.161821                 NaN  0.313894                 NaN            NaN            NaN
  1375.00        500.000        98.9487       0.428158       0.149662                 NaN  0.162551                 NaN  0.310921                 NaN            NaN            NaN
  1373.93        500.000        98.9574       0.426981       0.144852                 NaN  0.162508                 NaN  0.308279                 NaN            NaN            NaN
  1372.86        500.000        98.9700       0.138317       0.424258                 NaN  0.162876                 NaN  0.304589                 NaN            NaN            NaN
  1371.79        500.000        98.9792       0.421546       0.133153                 NaN  0.164008                 NaN  0.302088                 NaN            NaN            NaN
  1370.72        500.000        98.9892       0.420693       0.127906                 NaN  0.163406                 NaN  0.298829                 NaN            NaN            NaN
  1369.66        500.000        98.9991       0.121683       0.418755                 NaN  0.164252                 NaN  0.296215                 NaN            NaN            NaN
  1368.59        500.000        99.0076       0.116156       0.418125                 NaN  0.164443                 NaN  0.293684                 NaN            NaN            NaN
