|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1426.28        500.000        95.0781        3.38084        1.54104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.4641       0.356958       0.178964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.4670       0.178104       0.354911                 NaN  0.945384E-005            NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.4695       0.353486       0.176984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.4653       0.355630       0.179049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.9493       0.198778E-001  0.286286E-001            NaN  0.383788E-003  0.182584E-002            NaN            NaN            NaN            NaN
  1419.87        500.000        99.0182       0.327840       0.653990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.0500       0.347616       0.392630                 NaN            NaN            NaN  0.209751                 NaN            NaN            NaN
  1417.73        500.000        98.4881       0.575370       0.449766                 NaN            NaN            NaN  0.486738                 NaN            NaN            NaN
  1416.66        500.000        98.5069       0.444424       0.567990                 NaN            NaN            NaN  0.480648                 NaN            NaN            NaN
  1415.60        500.000        98.5255       0.560499       0.439087                 NaN            NaN            NaN  0.474875                 NaN            NaN            NaN
  1414.53        500.000        98.5491       0.551369       0.432162                 NaN            NaN            NaN  0.467338                 NaN            NaN            NaN
  1413.46        500.000        98.4707       0.458008       0.579086                 NaN            NaN            NaN  0.492161                 NaN            NaN            NaN
  1412.39        500.000        98.6819       0.500971       0.392370                 NaN            NaN            NaN  0.424719                 NaN            NaN            NaN
  1411.32        500.000        98.6078       0.440282       0.434552                 NaN  0.568380E-001            NaN  0.460537                 NaN            NaN            NaN
  1410.25        500.000        98.6245       0.350670       0.456257                 NaN  0.103847                 NaN  0.464716                 NaN            NaN            NaN
  1409.19        500.000        98.6555       0.447818       0.338065                 NaN  0.103822                 NaN  0.454768                 NaN            NaN            NaN
  1408.12        500.000        98.6686       0.445325       0.329766                 NaN  0.105338                 NaN  0.450964                 NaN            NaN            NaN
  1407.05        500.000        98.6872       0.440423       0.320922                 NaN  0.106168                 NaN  0.445327                 NaN            NaN            NaN
  1405.98        500.000        98.7062       0.311421       0.436435                 NaN  0.106612                 NaN  0.439376                 NaN            NaN            NaN
  1404.91        500.000        98.7232       0.303595       0.432312                 NaN  0.107124                 NaN  0.433795                 NaN            NaN            NaN
  1403.84        500.000        98.7347       0.430107       0.296628                 NaN  0.107764                 NaN  0.430753                 NaN            NaN            NaN
  1402.78        500.000        98.7612       0.422999       0.285517                 NaN  0.108269                 NaN  0.421995                 NaN            NaN            NaN
  1401.71        500.000        98.7731       0.420702       0.278626                 NaN  0.109119                 NaN  0.418425                 NaN            NaN            NaN
  1400.64        500.000        98.7890       0.417156       0.271006                 NaN  0.109493                 NaN  0.413364                 NaN            NaN            NaN
  1399.57        500.000        98.8046       0.263059       0.413617                 NaN  0.110207                 NaN  0.408561                 NaN            NaN            NaN
  1398.50        500.000        98.8200       0.409767       0.255221                 NaN  0.111091                 NaN  0.403893                 NaN            NaN            NaN
  1397.43        500.000        98.8363       0.406006       0.248084                 NaN  0.111180                 NaN  0.398473                 NaN            NaN            NaN
  1396.37        500.000        98.8491       0.403248       0.241555                 NaN  0.111701                 NaN  0.394423                 NaN            NaN            NaN
  1395.30        500.000        98.8645       0.233658       0.399906                 NaN  0.112353                 NaN  0.389593                 NaN            NaN            NaN
  1394.23        500.000        98.8779       0.396904       0.226941                 NaN  0.112799                 NaN  0.385421                 NaN            NaN            NaN
  1393.16        500.000        98.8917       0.393663       0.220109                 NaN  0.113408                 NaN  0.381141                 NaN            NaN            NaN
  1392.09        500.000        98.9044       0.391232       0.213290                 NaN  0.114023                 NaN  0.377097                 NaN            NaN            NaN
  1391.02        500.000        98.9195       0.387120       0.207546                 NaN  0.113740                 NaN  0.372072                 NaN            NaN            NaN
  1389.96        500.000        98.9318       0.385101       0.199944                 NaN  0.114791                 NaN  0.368352                 NaN            NaN            NaN
  1388.89        500.000        98.9448       0.193541       0.382228                 NaN  0.115192                 NaN  0.364262                 NaN            NaN            NaN
  1387.82        500.000        98.9215       0.192298       0.392870                 NaN  0.120435                 NaN  0.372938                 NaN            NaN            NaN
  1386.75        500.000        99.0077       0.166630       0.365334                 NaN  0.116251                 NaN  0.344063                 NaN            NaN            NaN
  1385.68        500.000        98.9817       0.370242       0.185447                 NaN  0.111065                 NaN  0.351515                 NaN            NaN            NaN
  1384.61        500.000        98.9945       0.370692       0.171455                 NaN  0.115413                 NaN  0.347974                 NaN            NaN            NaN
  1383.55        500.000        99.0034       0.370171       0.162868                 NaN  0.117791                 NaN  0.345770                 NaN            NaN            NaN
  1382.48        500.000        99.0137       0.158432       0.368472                 NaN  0.117337                 NaN  0.342071                 NaN            NaN            NaN
  1381.41        500.000        99.0317       0.151402       0.363317                 NaN  0.117441                 NaN  0.336187                 NaN            NaN            NaN
  1380.34        500.000        99.0396       0.146540       0.362393                 NaN  0.117664                 NaN  0.333814                 NaN            NaN            NaN
  1379.27        500.000        99.0507       0.141328       0.359726                 NaN  0.118080                 NaN  0.330210                 NaN            NaN            NaN
  1378.20        500.000        99.0612       0.135103       0.358155                 NaN  0.118623                 NaN  0.326924                 NaN            NaN            NaN
  1377.13        500.000        99.0711       0.131488       0.355772                 NaN  0.118118                 NaN  0.323533                 NaN            NaN            NaN
  1376.07        500.000        99.0822       0.125249       0.353973                 NaN  0.118582                 NaN  0.319952                 NaN            NaN            NaN
  1375.00        500.000        99.0926       0.351298       0.120482                 NaN  0.118919                 NaN  0.316721                 NaN            NaN            NaN
  1373.93        500.000        99.1011       0.349905       0.116479                 NaN  0.118679                 NaN  0.313831                 NaN            NaN            NaN
  1372.86        500.000        99.1129       0.111111       0.347351                 NaN  0.118771                 NaN  0.309875                 NaN            NaN            NaN
  1371.79        500.000        99.1219       0.344741       0.106840                 NaN  0.119391                 NaN  0.307133                 NaN            NaN            NaN
  1370.72        500.000        99.1314       0.343687       0.102519                 NaN  0.118731                 NaN  0.303623                 NaN            NaN            NaN
  1369.66        500.000        99.1409       0.974307E-001  0.341758                 NaN  0.119153                 NaN  0.300769                 NaN            NaN            NaN
  1368.59        500.000        99.1492       0.928991E-001  0.340856                 NaN  0.119087                 NaN  0.298003                 NaN            NaN            NaN
  1367.52        500.000        99.1580       0.338773       0.894171E-001            NaN  0.118816                 NaN  0.294980                 NaN            NaN            NaN
  1366.45        500.000        99.1674       0.337348       0.848295E-001            NaN  0.118651                 NaN  0.291748                 NaN            NaN            NaN
  1365.38        500.000        99.1767       0.821881E-001  0.333917                 NaN  0.118506                 NaN  0.288696                 NaN            NaN            NaN
  1364.31        500.000        99.1842       0.772022E-001  0.334161                 NaN  0.118331                 NaN  0.286121                 NaN            NaN            NaN
  1363.25        500.000        99.1734       0.337890       0.817957E-001            NaN  0.117052                 NaN  0.289854                 NaN            NaN            NaN
  1362.18        500.000        99.2217       0.325022       0.600135E-001            NaN  0.119656                 NaN  0.273605                 NaN            NaN            NaN
  1361.11        500.000        99.2103       0.657030E-001  0.328534                 NaN  0.118098                 NaN  0.277409                 NaN            NaN            NaN
  1360.04        500.000        99.2176       0.621817E-001  0.327292                 NaN  0.117985                 NaN  0.274900                 NaN            NaN            NaN
  1358.97        500.000        98.1818       0.108912       0.803764                 NaN  0.265225                 NaN  0.640292                 NaN            NaN            NaN
  1357.90        500.000        99.9991       0.944346E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1356.84        500.000        99.4730       0.353673E-001  0.249864                 NaN  0.677233E-001            NaN  0.174069                 NaN            NaN            NaN
  1355.77        500.000        99.2496       0.319455       0.510588E-001            NaN  0.116022                 NaN  0.263856                 NaN            NaN            NaN
  1354.70        500.000        99.2572       0.467180E-001  0.318682                 NaN  0.116108                 NaN  0.261243                 NaN            NaN            NaN
  1353.63        500.000        99.2645       0.434459E-001  0.317457                 NaN  0.115817                 NaN  0.258771                 NaN            NaN            NaN
  1352.56        500.000        99.2729       0.396524E-001  0.315633                 NaN  0.115838                 NaN  0.255981                 NaN            NaN            NaN
  1351.49        500.000        99.2789       0.399749E-001  0.313585                 NaN  0.113999                 NaN  0.253560                 NaN            NaN            NaN
  1350.43        500.000        99.2866       0.313766       0.327087E-001            NaN  0.115546                 NaN  0.251360                 NaN            NaN            NaN
