|6.6.6
Archiving\03_Data\fracLP/QFM_m1.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.5401       0.459877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.5401       0.459876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.5401       0.459875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.5401       0.459874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.5401       0.459873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.5401       0.459872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.5401       0.459871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.5401       0.459870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.5401       0.459869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.5401       0.459868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.5401       0.459867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.5401       0.459866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.5401       0.459865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.5401       0.459864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.5401       0.459863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.5401       0.459862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.5401       0.459861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.5401       0.459860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.5401       0.459858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.5401       0.459857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.5401       0.459856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.5401       0.459855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.5401       0.459854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.5401       0.459853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.5401       0.459851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.5401       0.459850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.5402       0.459849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.5402       0.459848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.5402       0.459847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.5402       0.459845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.5402       0.459844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.5402       0.459843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.5402       0.459842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.5402       0.459840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.5402       0.459839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.5402       0.459838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.5402       0.459837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.5402       0.459835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.5402       0.459834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.5402       0.459833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.5402       0.459831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.5402       0.459830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.5402       0.459828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.5402       0.459827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.5402       0.459826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5402       0.459825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2525       0.459825       0.287689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3728                 NaN  0.627237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3764                 NaN  0.623621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3795                 NaN  0.620500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3784                 NaN  0.621640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3866                 NaN  0.613378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3877                 NaN  0.612342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.3892                 NaN  0.610818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3915                 NaN  0.608462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.3934                 NaN  0.606609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3947                 NaN  0.605262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.3976                 NaN  0.602375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4002                 NaN  0.599751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3953                 NaN  0.600102       0.455198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1962                 NaN  0.784193       0.196075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5843                 NaN  0.405627       0.101118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.3920                 NaN  0.593222       0.148182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.3922                 NaN  0.593011       0.148034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3938                 NaN  0.591435       0.147650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.3947                 NaN  0.590534       0.147217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3953                 NaN  0.589987       0.147000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.3961                 NaN  0.589306       0.146408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.3964                 NaN  0.588947       0.146186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3882                 NaN  0.596877       0.149114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4047                 NaN  0.580933       0.143401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4013                 NaN  0.584281       0.143823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3970                 NaN  0.588511       0.145122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.3973                 NaN  0.588300       0.144440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3979                 NaN  0.587661       0.144106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3976                 NaN  0.588009       0.143617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3960                 NaN  0.589631       0.143714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5374                 NaN  0.451583       0.109807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.2538                 NaN  0.728539       0.176279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3966                 NaN  0.589180       0.142210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3941                 NaN  0.591681       0.142199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3936                 NaN  0.592247       0.141875E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3807                 NaN  0.604813       0.144697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3949                 NaN  0.591074       0.140539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3959                 NaN  0.590180       0.139224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3893                 NaN  0.596631       0.140606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3844                 NaN  0.601476       0.140884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3841                 NaN  0.601859       0.140368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.2708                 NaN  0.712635       0.165635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5307                 NaN  0.458692       0.105760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3385                 NaN  0.646607       0.148439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3779                 NaN  0.608135       0.139180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3752                 NaN  0.610862       0.138917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3706                 NaN  0.615452       0.139113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3682                 NaN  0.617910       0.138969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3678                 NaN  0.618335       0.138313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3635                 NaN  0.622616       0.138547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3940                 NaN  0.592902       0.131042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3234                 NaN  0.662061       0.145411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3565                 NaN  0.629773       0.137338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3543                 NaN  0.631983       0.137002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3481                 NaN  0.638102       0.137503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3461                 NaN  0.640177       0.137056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.1374                 NaN   1.82475       0.378854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.8820                 NaN  0.114995       0.304367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3314                 NaN  0.654879       0.136848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3292                 NaN  0.657219       0.136208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3238                 NaN  0.662532       0.136365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3212                 NaN  0.665164       0.136107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3157                 NaN  0.670677       0.136202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3119                 NaN  0.674567       0.135812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3080                 NaN  0.678413       0.135847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3081                 NaN  0.678393       0.135193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3005                 NaN  0.685882       0.135765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2976                 NaN  0.688891       0.135434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2776                 NaN  0.708588       0.138426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3048                 NaN  0.681979       0.132196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2855                 NaN  0.701023       0.135206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2824                 NaN  0.704119       0.134757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2739                 NaN  0.712463       0.135916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2017                 NaN  0.782382       0.159541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3451                 NaN  0.643928       0.109416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2683                 NaN  0.718282       0.134576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2643                 NaN  0.722254       0.134386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2636                 NaN  0.723068       0.133823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.5605                 NaN  0.431498       0.797627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        98.9550                 NaN   1.02612       0.188459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2123                 NaN  0.773626       0.141201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2922                 NaN  0.695185       0.126131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2440                 NaN  0.742518       0.134414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2480                 NaN  0.738707       0.132930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.6947                 NaN   1.28237       0.229399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.7853                 NaN  0.210950       0.373313E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2413                 NaN  0.745426       0.132308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1504                 NaN  0.836062       0.135053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3185                 NaN  0.668422       0.130645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2342                 NaN  0.752513       0.132546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2320                 NaN  0.754733       0.132557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2322                 NaN  0.754539       0.132157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2234                 NaN  0.763246       0.133982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2349                 NaN  0.752058       0.130794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2343                 NaN  0.752586       0.130843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2297                 NaN  0.757123       0.131517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2301                 NaN  0.756738       0.131245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2270                 NaN  0.759846       0.131409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2351                 NaN  0.751932       0.129925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.9934                 NaN  0.459744E-002  0.197996E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.4754                 NaN   1.50064       0.239979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.1732                 NaN  0.812753       0.140065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2954                 NaN  0.692716       0.119194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2388                 NaN  0.748342       0.129021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2398                 NaN  0.747299       0.128845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2056                 NaN  0.780966       0.134819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.2807                 NaN  0.707088       0.121829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2473                 NaN  0.739940       0.127691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.2486                 NaN  0.738614       0.127598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.2533                 NaN  0.733990       0.126903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.2558                 NaN  0.731527       0.126546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.2560                 NaN  0.731318       0.126632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.2660                 NaN  0.721528       0.125122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.2663                 NaN  0.721236       0.125100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.2560                 NaN  0.731253       0.127268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.2896                 NaN  0.698289       0.121589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.2794                 NaN  0.708263       0.123642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.8322                 NaN  0.338403                 NaN  0.829379                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5585                 NaN  0.106348                 NaN   1.33518                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5916                 NaN  0.106232                 NaN   1.30219                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6084                 NaN  0.998428E-001            NaN   1.29177                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6340                 NaN  0.983124E-001            NaN   1.26767                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6553                 NaN  0.940147E-001            NaN   1.25070                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6770                 NaN  0.915698E-001            NaN   1.23140                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7010                 NaN  0.918105E-001            NaN   1.20723                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7197                 NaN  0.869346E-001            NaN   1.19340                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7385                 NaN  0.823228E-001            NaN   1.17915                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7584                 NaN  0.817714E-001            NaN   1.15980                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7768                 NaN  0.774543E-001            NaN   1.14578                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7946                 NaN  0.734702E-001            NaN   1.13192                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8129                 NaN  0.723564E-001            NaN   1.11473                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8301                 NaN  0.696885E-001            NaN   1.10017                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8479                 NaN  0.723129E-001            NaN   1.07975                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8652                 NaN  0.643153E-001            NaN   1.07047                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8792                 NaN  0.611684E-001            NaN   1.05967                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8943                 NaN  0.589980E-001            NaN   1.04668                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9086                 NaN  0.543721E-001            NaN   1.03707                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9252                 NaN  0.578591E-001            NaN   1.01697                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9362                 NaN  0.456379E-001            NaN   1.01812                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9529                 NaN  0.429463E-001            NaN   1.00415                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9662                 NaN  0.520966E-001            NaN  0.981675                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9779                 NaN  0.428992E-001            NaN  0.979221                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9912                 NaN  0.409825E-001            NaN  0.967774                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.0037                 NaN  0.385133E-001            NaN  0.957823                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0169                 NaN  0.358633E-001            NaN  0.947221                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0269                 NaN  0.329334E-001            NaN  0.940156                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0330                 NaN  0.293242E-001            NaN  0.937650                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.0285                 NaN  0.110824E-001            NaN  0.960398                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0922                 NaN  0.530660E-001            NaN  0.854729                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0711                 NaN  0.232825E-001            NaN  0.905634                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.0819                 NaN  0.208480E-001            NaN  0.897246                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0896                 NaN  0.169196E-001            NaN  0.893443                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0970                 NaN  0.176996E-002            NaN  0.901231                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.1127                 NaN  0.226351E-001            NaN  0.864676                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.1197                 NaN  0.111249E-001            NaN  0.869193                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0297                 NaN  0.133488                 NaN  0.836838                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.2474                 NaN            NaN            NaN  0.752630                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.1477                 NaN            NaN            NaN  0.852268                 NaN            NaN            NaN            NaN            NaN            NaN
