|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1551.28        500.000       0.980269E-002            NaN            NaN   99.2441       0.614506       0.131600                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000                 NaN            NaN            NaN   99.2570       0.737792       0.517195E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000       0.155403E-002            NaN            NaN   99.2645       0.733897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000       0.172525E-001            NaN            NaN   98.6900        1.29273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000       0.260279E-003            NaN            NaN   99.8819       0.117854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN            NaN            NaN   99.6170       0.383000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN            NaN            NaN   98.9480        1.05200       0.867863E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN            NaN            NaN   99.2843       0.715739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN            NaN            NaN   99.2832       0.716815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN            NaN            NaN   99.2910       0.709035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000                 NaN            NaN            NaN   99.2908       0.709245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN            NaN            NaN   99.2947       0.705288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN            NaN            NaN   99.2963       0.703727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN            NaN            NaN   99.2991       0.700932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN            NaN            NaN   99.3013       0.698716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN            NaN            NaN   99.3044       0.695592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000                 NaN            NaN            NaN   99.3059       0.694116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN            NaN            NaN   99.3081       0.691945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN            NaN            NaN   99.3103       0.689743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN            NaN            NaN   99.3136       0.686381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN            NaN            NaN   99.3101       0.689912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
