|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1551.28        500.000       0.156579E-001            NaN            NaN   99.1344       0.695694       0.154272                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000                 NaN            NaN            NaN   99.1584       0.835555       0.606543E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000       0.248308E-002            NaN            NaN   99.1662       0.831279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000       0.275551E-001            NaN            NaN   98.5084        1.46405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000       0.416337E-003            NaN            NaN   99.8659       0.133674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN            NaN            NaN   99.5659       0.434085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN            NaN            NaN   98.8071        1.19286       0.101980E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN            NaN            NaN   99.1887       0.811350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN            NaN            NaN   99.1871       0.812891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN            NaN            NaN   99.1959       0.804102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000                 NaN            NaN            NaN   99.1955       0.804476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN            NaN            NaN   99.1999       0.800054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN            NaN            NaN   99.2015       0.798541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN            NaN            NaN   99.2044       0.795592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN            NaN            NaN   99.2068       0.793205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN            NaN            NaN   99.2101       0.789853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000                 NaN            NaN            NaN   99.2118       0.788227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN            NaN            NaN   99.2141       0.785888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN            NaN            NaN   99.2165       0.783524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN            NaN            NaN   99.2202       0.779840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN            NaN            NaN   99.2160       0.783965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN            NaN            NaN   98.6190       0.664240                 NaN  0.716790                 NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN            NaN            NaN   98.1939       0.583699                 NaN   1.22239                 NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN            NaN            NaN   98.2247       0.579563                 NaN   1.19576                 NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN            NaN            NaN   98.2548       0.569902                 NaN   1.17530                 NaN            NaN            NaN            NaN            NaN
