|6.6.6
Archiving\03_Data\eqLP/QFM_m2.75/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.7704       0.215582       0.140017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.7704       0.215597       0.140020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.7704       0.215611       0.140024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.7704       0.215625       0.140028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.7704       0.215640       0.140031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.7703       0.215654       0.140035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.7703       0.215669       0.140039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.7703       0.215683       0.140042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.7703       0.215698       0.140046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.7703       0.215712       0.140050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.7703       0.215727       0.140054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.7703       0.215742       0.140057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.7702       0.215756       0.140061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.7702       0.215771       0.140065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.7702       0.215786       0.140069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.7702       0.215800       0.140073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.7702       0.215815       0.140077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.7702       0.215830       0.140081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.7701       0.215845       0.140085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.7701       0.215859       0.140089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.7701       0.215874       0.140093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.7701       0.215889       0.140097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.7701       0.215904       0.140101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.7701       0.215919       0.140105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.7701       0.215934       0.140110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.7700       0.215949       0.140114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.7700       0.215964       0.140118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.7700       0.215979       0.140122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.7700       0.215994       0.140127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.7700       0.216009       0.140131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.7700       0.216024       0.140135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.7699       0.216039       0.140140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.7699       0.216054       0.140144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.5916       0.216093       0.133947E-001  0.178864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.8552       0.216207       0.108173E-001  0.917810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.1306       0.216319       0.822998E-002   1.64488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        97.4052       0.216431       0.564012E-002   2.37275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        96.4012       0.172531       0.227222E-002   3.31032       0.113695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.8064                 NaN            NaN   4.63399       0.559636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        94.2614                 NaN            NaN   5.17874       0.559895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        93.7159                 NaN            NaN   5.72396       0.560153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        93.1551                 NaN            NaN   6.28446       0.560415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        92.5800                 NaN            NaN   6.85854       0.560683       0.776508E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        91.9868                 NaN            NaN   7.43856       0.560967       0.136565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        91.3931                 NaN            NaN   8.01913       0.561250       0.265497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        90.7941                 NaN            NaN   8.60528       0.561535       0.390530E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.1946                 NaN            NaN   9.19199       0.561819       0.515690E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        89.5945                 NaN            NaN   9.77925       0.562102       0.640978E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        88.9939                 NaN            NaN   10.3671       0.562385       0.766393E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        88.4056                 NaN            NaN   10.9433       0.562663       0.884149E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        87.8168                 NaN            NaN   11.5200       0.562940       0.100202                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        87.2275                 NaN            NaN   12.0973       0.563217       0.112001                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        86.6376                 NaN            NaN   12.6751       0.563493       0.123811                 NaN            NaN            NaN            NaN            NaN            NaN
