|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.25/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1618.59        2500.00        99.6711       0.328870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.1584       0.821415       0.201444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00        99.1561       0.748866       0.950018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        98.7678        1.09182       0.140366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00        99.5756       0.377012       0.473551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1839       0.723806       0.922639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00        99.1904       0.719952       0.896845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.1998       0.711736       0.884239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00        99.2057       0.705316       0.890114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.2172       0.696968       0.857845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        99.2217       0.674738       0.103543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00        99.2319       0.702040       0.660249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00        99.2221       0.692887       0.850056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00        99.2608       0.659483       0.797021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
