|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            lc             ne            
  1628.21        2500.00       0.101136E-001   99.1728       0.817094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00                 NaN   99.0672       0.872561       0.602804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00                 NaN   99.0743       0.835185       0.904686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   99.0803       0.828856       0.908922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00                 NaN   99.1005       0.811677       0.878442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00                 NaN   99.1079       0.807528       0.845559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00                 NaN   99.1096       0.804653       0.857482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00                 NaN   99.1238       0.791833       0.843187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00                 NaN   99.1339       0.783430       0.826938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN   99.1435       0.775141       0.813189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN   99.1521       0.767235       0.806683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00                 NaN   99.1608       0.760041       0.791229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN   99.1698       0.752229       0.779744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN   99.1786       0.744570       0.768213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00                 NaN   99.1830       0.741291       0.756910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00                 NaN   99.1982       0.727260       0.745269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00                 NaN   99.2007       0.722912       0.763890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00                 NaN   99.2165       0.711473       0.720409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00                 NaN   99.2178       0.711856       0.703148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00                 NaN   99.2275       0.702831       0.696232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00                 NaN   99.2346       0.696439       0.689303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00                 NaN   99.2411       0.690953       0.679683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00                 NaN   99.2521       0.681281       0.666512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00                 NaN   98.9269       0.975929       0.972144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00                 NaN   99.5974       0.367268       0.353541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00                 NaN   99.2704       0.665382       0.642476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00                 NaN   99.2665       0.674757       0.586943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00                 NaN   99.2948       0.640133       0.650799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00                 NaN   99.2913       0.648725       0.599771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.2960       0.645499       0.584924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
