|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9983       0.168914E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5658       0.108097       0.326060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4423       0.170617E-005  0.557654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4461       0.106460E-001  0.543214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4388       0.845031E-002  0.552728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4641                 NaN  0.535914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4576       0.123094E-001  0.530048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4578                 NaN  0.542198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.4660       0.785268E-002  0.526190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.4674       0.153920E-001  0.517168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.4702       0.206854E-005  0.529787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.4719       0.540879E-002  0.522709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.4414       0.129064E-001  0.545678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.7427       0.145031E-001  0.242769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.2031                 NaN  0.796867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5411       0.341931E-002  0.455479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4892                 NaN  0.510784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.4926       0.192985E-002  0.505438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4954                 NaN  0.504564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.4135                 NaN  0.187086       0.399365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.3787                 NaN  0.414924E-001  0.579768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.3791                 NaN  0.394945E-001  0.581403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3805                 NaN  0.371501E-001  0.582357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3810                 NaN  0.350600E-001  0.583940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3385                 NaN  0.346915E-001  0.626763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4292                 NaN  0.273187E-001  0.543499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3164                 NaN            NaN  0.683635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.9837                 NaN  0.163130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        98.8565                 NaN  0.576691E-001   1.08579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.3840                 NaN  0.199472E-001  0.596041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.3891                 NaN  0.164797E-001  0.594466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.3844                 NaN  0.147701E-001  0.600796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.3181                 NaN  0.105541E-001  0.671392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.4572                 NaN  0.733361E-002  0.535428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.3847                 NaN  0.436127E-002  0.610915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.3835                 NaN  0.799819E-003  0.615712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.2612                 NaN  0.387560E-001  0.700028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.6366                 NaN  0.588953E-001  0.304546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.2445                 NaN            NaN  0.755471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.3764                 NaN            NaN  0.623637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.3639                 NaN            NaN  0.631802                 NaN            NaN  0.427084E-002            NaN            NaN            NaN            NaN
  1474.51        500.000        99.3538                 NaN            NaN  0.640223                 NaN            NaN  0.593896E-002            NaN            NaN            NaN            NaN
  1473.18        500.000        99.3520                 NaN            NaN  0.642102                 NaN            NaN  0.587186E-002            NaN            NaN            NaN            NaN
  1471.86        500.000        99.3246                 NaN            NaN  0.632445       0.372765E-001            NaN  0.567278E-002            NaN            NaN            NaN            NaN
  1470.53        500.000        98.9373                 NaN            NaN  0.660251       0.398597                 NaN  0.383722E-002            NaN            NaN            NaN            NaN
  1469.21        500.000        99.6096                 NaN            NaN  0.244169       0.144897                 NaN  0.136500E-002            NaN            NaN            NaN            NaN
  1467.88        500.000        98.4386                 NaN            NaN  0.969128       0.586833                 NaN  0.547214E-002            NaN            NaN            NaN            NaN
  1466.55        500.000        99.0121                 NaN            NaN  0.614063       0.370467                 NaN  0.334933E-002            NaN            NaN            NaN            NaN
  1465.23        500.000        98.8733                 NaN            NaN  0.700204       0.422757                 NaN  0.376155E-002            NaN            NaN            NaN            NaN
  1463.90        500.000        99.1866                 NaN            NaN  0.304817       0.505962                 NaN  0.265997E-002            NaN            NaN            NaN            NaN
  1462.58        500.000        99.0413                 NaN            NaN  0.596197       0.359405                 NaN  0.307162E-002            NaN            NaN            NaN            NaN
  1461.25        500.000        99.0516                 NaN            NaN  0.589670       0.355790                 NaN  0.298283E-002            NaN            NaN            NaN            NaN
  1459.93        500.000        99.0596                 NaN            NaN  0.585031       0.352513                 NaN  0.289275E-002            NaN            NaN            NaN            NaN
  1458.60        500.000        99.0678                 NaN            NaN  0.349295       0.580110                 NaN  0.280257E-002            NaN            NaN            NaN            NaN
  1457.28        500.000        99.0752                 NaN            NaN  0.346537       0.575579                 NaN  0.272134E-002            NaN            NaN            NaN            NaN
  1455.95        500.000        99.0857                 NaN            NaN  0.569117       0.342531                 NaN  0.263096E-002            NaN            NaN            NaN            NaN
  1454.63        500.000        99.0930                 NaN            NaN  0.564709       0.339739                 NaN  0.255031E-002            NaN            NaN            NaN            NaN
  1453.30        500.000        99.1005                 NaN            NaN  0.560359       0.336715                 NaN  0.246470E-002            NaN            NaN            NaN            NaN
  1451.97        500.000        99.1091                 NaN            NaN  0.333926       0.554599                 NaN  0.238092E-002            NaN            NaN            NaN            NaN
  1450.65        500.000        99.1146                 NaN            NaN  0.551720       0.331423                 NaN  0.230559E-002            NaN            NaN            NaN            NaN
  1449.32        500.000        99.1261                 NaN            NaN  0.326894       0.544824                 NaN  0.222707E-002            NaN            NaN            NaN            NaN
  1448.00        500.000        99.4562                 NaN            NaN  0.202789       0.339626                 NaN  0.133617E-002            NaN            NaN            NaN            NaN
  1446.67        500.000        99.8662                 NaN            NaN  0.110943       0.223518E-001            NaN  0.552235E-003            NaN            NaN            NaN            NaN
  1445.35        500.000        98.0942                 NaN            NaN   1.24764       0.653815                 NaN  0.435954E-002            NaN            NaN            NaN            NaN
  1444.02        500.000        99.1527                 NaN            NaN  0.528914       0.316439                 NaN  0.194196E-002            NaN            NaN            NaN            NaN
  1442.70        500.000        99.1609                 NaN            NaN  0.523797       0.313408                 NaN  0.186072E-002            NaN            NaN            NaN            NaN
  1441.37        500.000        99.1664                 NaN            NaN  0.520674       0.311143                 NaN  0.179365E-002            NaN            NaN            NaN            NaN
  1440.05        500.000        99.1752                 NaN            NaN  0.515101       0.307961                 NaN  0.172207E-002            NaN            NaN            NaN            NaN
  1438.72        500.000        99.1800                 NaN            NaN  0.305866       0.512469                 NaN  0.168646E-002            NaN            NaN            NaN            NaN
  1437.39        500.000        99.1883                 NaN            NaN  0.507320       0.302793                 NaN  0.159524E-002            NaN            NaN            NaN            NaN
  1436.07        500.000        99.1937                 NaN            NaN  0.300638       0.504154                 NaN  0.153395E-002            NaN            NaN            NaN            NaN
  1434.74        500.000        99.2003                 NaN            NaN  0.499946       0.298308                 NaN  0.147548E-002            NaN            NaN            NaN            NaN
  1433.42        500.000        99.0763                 NaN            NaN  0.344372       0.577740                 NaN  0.162181E-002            NaN            NaN            NaN            NaN
  1432.09        500.000        99.3447                 NaN            NaN  0.409987       0.244193                 NaN  0.112529E-002            NaN            NaN            NaN            NaN
  1430.77        500.000        99.2187                 NaN            NaN  0.489460       0.290583                 NaN  0.128518E-002            NaN            NaN            NaN            NaN
  1429.44        500.000        99.2250                 NaN            NaN  0.288093       0.485702                 NaN  0.122835E-002            NaN            NaN            NaN            NaN
  1428.12        500.000        99.2307                 NaN            NaN  0.285978       0.482193                 NaN  0.117074E-002            NaN            NaN            NaN            NaN
  1426.79        500.000        99.2346                 NaN            NaN  0.480154       0.284161                 NaN  0.110846E-002            NaN            NaN            NaN            NaN
  1425.47        500.000        99.2435                 NaN            NaN  0.474291       0.281182                 NaN  0.106684E-002            NaN            NaN            NaN            NaN
  1424.14        500.000        99.2468                 NaN            NaN  0.472742       0.279434                 NaN  0.996330E-003            NaN            NaN            NaN            NaN
  1422.81        500.000        99.2532                 NaN            NaN  0.468950       0.276896                 NaN  0.978419E-003            NaN            NaN            NaN            NaN
  1421.49        500.000        99.2623                 NaN            NaN  0.462759       0.274031                 NaN  0.910653E-003            NaN            NaN            NaN            NaN
  1420.16        500.000        99.2646                 NaN            NaN  0.272485       0.462020                 NaN  0.858571E-003            NaN            NaN            NaN            NaN
  1418.84        500.000        99.2697                 NaN            NaN  0.458970       0.270533                 NaN  0.809083E-003            NaN            NaN            NaN            NaN
  1417.51        500.000        98.6211                 NaN            NaN  0.544712       0.544769                 NaN            NaN  0.289420                 NaN            NaN            NaN
  1416.19        500.000        98.7286                 NaN            NaN  0.408239       0.511786                 NaN            NaN  0.351326                 NaN            NaN            NaN
  1414.86        500.000        97.5029                 NaN            NaN   1.00656       0.801373                 NaN            NaN  0.689159                 NaN            NaN            NaN
  1413.54        500.000        98.1681                 NaN            NaN  0.737804       0.588248                 NaN            NaN  0.505841                 NaN            NaN            NaN
  1412.21        500.000        98.1980                 NaN            NaN  0.579210       0.725266                 NaN            NaN  0.497539                 NaN            NaN            NaN
  1410.89        500.000        98.2257                 NaN            NaN  0.570437       0.714198                 NaN            NaN  0.489626                 NaN            NaN            NaN
  1409.56        500.000        98.2519                 NaN            NaN  0.561361       0.704085                 NaN  0.685046E-003  0.481974                 NaN            NaN            NaN
  1408.24        500.000        98.2870                 NaN            NaN  0.688837       0.551574                 NaN            NaN  0.472624                 NaN            NaN            NaN
  1406.91        500.000        98.3098                 NaN            NaN  0.679093       0.544682                 NaN            NaN  0.466470                 NaN            NaN            NaN
  1405.58        500.000        98.3351                 NaN            NaN  0.668053       0.537250                 NaN            NaN  0.459552                 NaN            NaN            NaN
  1404.26        500.000        98.3592                 NaN            NaN  0.658393       0.529928                 NaN            NaN  0.452461                 NaN            NaN            NaN
  1402.93        500.000        98.3881                 NaN            NaN  0.520259       0.647269                 NaN            NaN  0.444389                 NaN            NaN            NaN
  1401.61        500.000        98.4117                 NaN            NaN  0.637853       0.512563                 NaN            NaN  0.437870                 NaN            NaN            NaN
  1400.28        500.000        98.4308                 NaN            NaN  0.507137       0.629567                 NaN            NaN  0.432497                 NaN            NaN            NaN
  1398.96        500.000        98.4582                 NaN            NaN  0.618596       0.498418                 NaN            NaN  0.424774                 NaN            NaN            NaN
  1397.63        500.000        98.4783                 NaN            NaN  0.492255       0.610207                 NaN            NaN  0.419230                 NaN            NaN            NaN
  1396.31        500.000        98.4986                 NaN            NaN  0.486609       0.601314                 NaN            NaN  0.413509                 NaN            NaN            NaN
  1394.98        500.000        98.5204                 NaN            NaN  0.593222       0.478823                 NaN            NaN  0.407507                 NaN            NaN            NaN
