|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9986       0.140332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.6289       0.898165E-001  0.281276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.5190       0.141741E-005  0.480998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5227       0.884020E-002  0.468416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5165       0.701869E-002  0.476477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.5381                 NaN  0.461875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.5331       0.102071E-001  0.456714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5330                 NaN  0.467027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.5403       0.650599E-002  0.453165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.5419       0.127488E-001  0.445305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.5440       0.171200E-005  0.456031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.5457       0.447601E-002  0.449867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.5198       0.106746E-001  0.469526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.7794       0.119784E-001  0.208656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.3146                 NaN  0.685380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
