|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Opx(TH)        O(HP)          O(HP)          pxmn           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1548.08        500.000       0.153786E-001   99.5653       0.419275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.71        500.000       0.274203E-002   99.9630       0.342161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.33        500.000                 NaN   98.8671        1.11089                 NaN  0.219974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        500.000                 NaN   99.4170       0.555770                 NaN  0.272211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.59        500.000                 NaN   99.4154       0.558651                 NaN  0.259276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        500.000                 NaN   99.4263       0.546109                 NaN  0.275528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.84        500.000                 NaN   99.4303       0.543848                 NaN  0.258995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000                 NaN   99.4332       0.541105                 NaN  0.256916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.09        500.000                 NaN   99.4101       0.563870                 NaN  0.260479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.72        500.000                 NaN   99.9093       0.863492E-001            NaN  0.432770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.34        500.000                 NaN   99.0067       0.951523                 NaN  0.417872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.97        500.000                 NaN   99.4497       0.528159                 NaN  0.221179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.60        500.000                 NaN   99.4554       0.521535                 NaN  0.230254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        500.000                 NaN   99.4583       0.519614                 NaN  0.220917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000                 NaN   99.4621       0.517378                 NaN  0.205410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.48        500.000                 NaN   99.4659       0.513619                 NaN  0.204707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.10        500.000                 NaN   99.4678       0.513422                 NaN  0.188239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000                 NaN   99.4741       0.507983                 NaN  0.179642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.35        500.000                 NaN   99.4763       0.504515                 NaN  0.191359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000                 NaN   99.4821       0.500824                 NaN  0.170812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
