|6.6.6
Archiving\03_Data\DfracLP/QFM_m0.5/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.4746       0.525402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.4513       0.548678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3478       0.652235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.3573       0.642681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.3622       0.637774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3662       0.633777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3723       0.627738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3759       0.624099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3824       0.617576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3776       0.611035       0.114055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3800       0.604317       0.156582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3834       0.600917       0.156359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3883       0.596159       0.155718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        98.9805       0.993207       0.262892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.8087       0.186600       0.474554E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3995       0.585054       0.154632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4072       0.577517       0.152742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4083       0.576360       0.153074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3995       0.584901       0.155916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4313       0.553862       0.147967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4173       0.567508       0.152290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4240       0.560885       0.150978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4290       0.556033       0.149570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4298       0.555258       0.149803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4318       0.553225       0.149737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4361       0.548929       0.149283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4407       0.544487       0.147662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4413       0.543895       0.148172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4423       0.542895       0.148323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4478       0.537546       0.146725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4493       0.536081       0.146688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4504       0.534907       0.146957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4515       0.533838       0.146329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4551       0.530387       0.145216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4572       0.528240       0.145418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4598       0.525832       0.143994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4590       0.526539       0.144820E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4635       0.522162       0.143493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4627       0.522877       0.143764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4631       0.522562       0.143729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4652       0.520460       0.143010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4669       0.518853       0.142656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4683       0.517531       0.141984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4678       0.517975       0.142143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4679       0.517938       0.141768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4695       0.516365       0.141308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4687       0.517129       0.141265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5425       0.445303       0.121914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3981       0.585993       0.159260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4671       0.518815       0.141048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4724       0.513672       0.138993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4702       0.515867       0.139589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4694       0.516650       0.139333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4685       0.517607       0.139208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4698       0.516333       0.138517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5103       0.476891       0.127697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4252       0.559833       0.149281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.3090       0.673004       0.179688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.6268       0.363639       0.958208E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4645       0.521712       0.137532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4672       0.519033       0.137452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        98.8957        1.07621       0.280535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.9660       0.321388E-001  0.185970E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5207       0.468162       0.111034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4541       0.532165       0.137399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        98.9728        1.00227       0.249504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.9450       0.529997E-001  0.197267E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4510       0.535384       0.135987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4486       0.537777       0.135779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.6437       0.347455       0.888934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.2453       0.736495       0.182371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4415       0.544998       0.135355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4372       0.549190       0.135776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4371       0.549401       0.134580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4338       0.552702       0.134800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
