|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            ne             lc            
  1618.59        2500.00        99.5990       0.401015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.0585       0.925386       0.161363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00        99.0387       0.855756       0.105557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.0842       0.809881       0.105929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00        99.0773       0.818075       0.104580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.0852       0.811784       0.102984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00        99.0943       0.803625       0.102093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.1048       0.794759       0.100445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00        99.1112       0.790490       0.982625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.6632       0.301129       0.356995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        98.5894        1.25304       0.157520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00        99.1358       0.768632       0.955594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00        99.1100       0.794313       0.957108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00        99.1939       0.715852       0.902448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00        99.1627       0.746042       0.912190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.0723       0.825828       0.101892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00        99.2778       0.644148       0.780892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.1849       0.727798       0.873337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.68        2500.00        99.1941       0.719146       0.867111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00        98.3664        1.45651       0.177141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00        99.9635       0.365208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.3067       0.613136       0.802079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00        99.2238       0.694968       0.812345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00        99.2279       0.690806       0.812661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00        97.3563        2.36743       0.276283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.28        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.6364       0.330220       0.334256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00        99.1713       0.743221       0.855169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.8337       0.149008       0.173188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00        98.8005        1.07976       0.119713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        98.7440        1.13326       0.122760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00        99.8236       0.159397       0.169731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        99.2909       0.639589       0.694790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00        99.2973       0.635070       0.676541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00        99.3005       0.633889       0.655658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00        99.2255       0.700461       0.740666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.3965       0.546218       0.572666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.3156       0.623187       0.612238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00        99.3239       0.612696       0.634480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.3308       0.607420       0.617370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.3335       0.606355       0.601036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.3373       0.604608       0.581185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.3441       0.597298       0.586258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.3468       0.596049       0.571672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.3533       0.591319       0.554054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.3575       0.586712       0.557592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.3625       0.584161       0.533650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.1719       0.757985       0.700915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.5686       0.395303       0.360717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.3741       0.575893       0.499581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        99.3793       0.568837       0.518554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.3855       0.565115       0.493633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.3878       0.564369       0.478610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.3907       0.562491       0.467862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.3955       0.559242       0.452108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.3903       0.562737       0.469689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.4148       0.541179       0.440651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.4060       0.551229       0.427243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.4097       0.549033       0.412954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4141       0.544907       0.410109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.2746       0.548690E-001  0.309905E-001            NaN  0.639533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.2341                 NaN  0.249572E-001            NaN  0.740901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.2211                 NaN  0.253022E-005            NaN  0.778924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.2274                 NaN            NaN            NaN  0.772557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.2236                 NaN  0.407315E-003            NaN  0.775958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.2164                 NaN            NaN            NaN  0.783593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.2165                 NaN            NaN            NaN  0.783485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.1723                 NaN            NaN            NaN  0.827724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.2505                 NaN            NaN            NaN  0.749544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.1964                 NaN            NaN            NaN  0.803598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.0835                 NaN            NaN            NaN  0.916453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.2737                 NaN            NaN            NaN  0.155904E-001  0.710694                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        98.7997                 NaN            NaN            NaN  0.540996       0.659342                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.7110                 NaN            NaN            NaN  0.461191       0.827782                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.7237                 NaN            NaN            NaN  0.821868       0.454455                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00        98.7366                 NaN            NaN            NaN  0.812676       0.450679                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00        99.2117                 NaN            NaN            NaN  0.284482       0.503795                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00        98.2959                 NaN            NaN            NaN  0.607194        1.09690                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00        98.7718                 NaN            NaN            NaN  0.790853       0.437331                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.56        2500.00        98.7849                 NaN            NaN            NaN  0.432132       0.782987                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00        98.7940                 NaN            NaN            NaN  0.428010       0.777975                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00        98.8058                 NaN            NaN            NaN  0.423139       0.771092                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00        98.8163                 NaN            NaN            NaN  0.418304       0.765384                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00        98.8273                 NaN            NaN            NaN  0.413862       0.758854                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        98.8374                 NaN            NaN            NaN  0.410417       0.752212                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00        98.8429                 NaN            NaN            NaN  0.406942       0.750120                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.8578                 NaN            NaN            NaN  0.741023       0.401189                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00        98.8683                 NaN            NaN            NaN  0.734639       0.397032                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00        98.8763                 NaN            NaN            NaN  0.729993       0.393756                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00        98.8838                 NaN            NaN            NaN  0.725439       0.390729                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00        98.8930                 NaN            NaN            NaN  0.385760       0.721234                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00        98.9025                 NaN            NaN            NaN  0.381713       0.715780                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00        98.9101                 NaN            NaN            NaN  0.710905       0.379044                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00        98.9175                 NaN            NaN            NaN  0.375081       0.707435                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        98.9273                 NaN            NaN            NaN  0.371667       0.700983                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        98.9346                 NaN            NaN            NaN  0.367905       0.697447                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.21        2500.00        98.9421                 NaN  0.447140E-005            NaN  0.693894       0.364021                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.66        2500.00        98.9491                 NaN            NaN            NaN  0.362810       0.688053                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.11        2500.00        96.9063                 NaN  0.626093E-001            NaN   1.19798       0.964897       0.868171                 NaN            NaN            NaN            NaN            NaN
  1463.55        2500.00        94.8637                 NaN  0.501549                 NaN   1.62470        1.44543        1.56463                 NaN            NaN            NaN            NaN            NaN
  1462.00        2500.00        98.4109                 NaN  0.154528                 NaN  0.500677       0.451334       0.482564                 NaN            NaN            NaN            NaN            NaN
  1460.45        2500.00        96.7596                 NaN  0.324322                 NaN   1.02652       0.902063       0.987471                 NaN            NaN            NaN            NaN            NaN
  1458.90        2500.00        96.8184                 NaN  0.322611                 NaN  0.868856        1.01895       0.971144                 NaN            NaN            NaN            NaN            NaN
  1457.35        2500.00        96.9408                 NaN  0.317019                 NaN  0.978631       0.830569       0.933017                 NaN            NaN            NaN            NaN            NaN
  1455.80        2500.00        96.9953                 NaN  0.315360                 NaN  0.965041       0.806750       0.917591                 NaN            NaN            NaN            NaN            NaN
  1454.25        2500.00        97.0605                 NaN  0.313654                 NaN  0.948046       0.779365       0.898434                 NaN            NaN            NaN            NaN            NaN
  1452.70        2500.00        97.1280                 NaN  0.311466                 NaN  0.930523       0.751839       0.878179                 NaN            NaN            NaN            NaN            NaN
  1451.15        2500.00        97.1938                 NaN  0.308942                 NaN  0.912650       0.725955       0.858683                 NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        97.2589                 NaN  0.306468                 NaN  0.700081       0.895341       0.839245                 NaN            NaN            NaN            NaN            NaN
  1448.05        2500.00        97.3199                 NaN  0.304460                 NaN  0.879043       0.675637       0.820942                 NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        97.3759                 NaN  0.302505                 NaN  0.865049       0.652339       0.804214                 NaN            NaN            NaN            NaN            NaN
