|6.6.6
Archiving\03_Data\eqLP/QFM_m5/LAR/LAR_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        92.7618       0.917559        6.32067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        92.7362       0.917625        6.34616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        92.7107       0.917691        6.37166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        92.6851       0.917757        6.39716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        92.6595       0.917823        6.42267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        92.6339       0.917889        6.44818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        92.6084       0.917955        6.47369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        92.5828       0.918021        6.49920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        92.5572       0.918087        6.52472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        92.5326       0.918150        6.54925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        92.5080       0.918214        6.57379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        92.4834       0.918277        6.59832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        92.4588       0.918341        6.62287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        92.4342       0.918404        6.64741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        92.4096       0.918468        6.67196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        92.3850       0.918532        6.69651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        92.3603       0.918595        6.72106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        92.3367       0.918656        6.74465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        92.3130       0.918717        6.76823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        92.2894       0.918778        6.79182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        92.2657       0.918839        6.81542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        92.2421       0.918900        6.83901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        92.2184       0.918961        6.86261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        92.1948       0.919022        6.88622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        92.1711       0.919083        6.90982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        92.1484       0.919142        6.93248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        92.1257       0.919201        6.95514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        92.1029       0.919259        6.97779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        92.0802       0.919318        7.00046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        92.0575       0.919376        7.02312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        92.0348       0.919435        7.04579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        92.0120       0.919494        7.06846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        91.9893       0.919552        7.09114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        91.9675       0.919608        7.11288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        91.9457       0.919665        7.13463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        91.9239       0.919721        7.15638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        91.9021       0.919777        7.17813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        91.8803       0.919833        7.19988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        91.8585       0.919890        7.22164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        91.8367       0.919946        7.24340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        91.8148       0.920002        7.26516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        91.7939       0.920056        7.28601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.7730       0.920110        7.30685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
