|6.6.6
Archiving\03_Data\eq/QFM_m0.5/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.4937       0.289861       0.216398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.4841       0.299528       0.216413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.4744       0.309197       0.216427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.4647       0.318869       0.216441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.4550       0.328542       0.216456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.4453       0.338217       0.216470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.4356       0.347894       0.216484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.4259       0.357573       0.216499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4162       0.367254       0.216513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3993       0.384193       0.216529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3823       0.401135       0.216544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3654       0.418081       0.216560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3484       0.435031       0.216575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3314       0.451984       0.216591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3145       0.468941       0.216606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2975       0.485901       0.216622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2805       0.502865       0.216637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2411       0.542212       0.216656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2018       0.581568       0.216675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1624       0.620934       0.216693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1230       0.660308       0.216712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.0836       0.699692       0.216731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.0442       0.739086       0.216749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.0047       0.778488       0.216768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.9653       0.817900       0.216787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.8791       0.904040       0.216812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.7930       0.990206       0.216837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        98.7067        1.07640       0.216862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.6205        1.16261       0.216887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        98.4194        1.31938       0.188832       0.723911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.1337        1.53637       0.145322       0.184645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        97.7078        1.86998       0.869269E-001  0.335313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        97.2816        2.20384       0.284904E-001  0.486105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        96.8470        2.57999                 NaN  0.559747       0.132952E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        96.4585        2.95459                 NaN  0.559953       0.269406E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.0211        3.37846                 NaN  0.560176       0.402909E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.5833        3.80265                 NaN  0.560399       0.536517E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        95.0685        4.30442                 NaN  0.560648       0.664341E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        94.5533        4.80661                 NaN  0.560897       0.792277E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        94.0376        5.30922                 NaN  0.561144       0.920325E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        93.5215        5.81225                 NaN  0.561392       0.104848                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        92.9561        6.36555                 NaN  0.561657       0.116698                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        92.3902        6.91933                 NaN  0.561922       0.128559                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        91.8238        7.47361                 NaN  0.562186       0.140431                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        91.2569        8.02837                 NaN  0.562449       0.152313                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        90.6895        8.58362                 NaN  0.562711       0.164207                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        90.1216        9.13935                 NaN  0.562973       0.176111                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        89.5532        9.69556                 NaN  0.563234       0.188026                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        88.9843        10.2522                 NaN  0.563494       0.199951                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        88.4207        10.8047                 NaN  0.563754       0.210859                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        87.8566        11.3577                 NaN  0.564013       0.221777                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        87.2920        11.9111                 NaN  0.564271       0.232704                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        86.7269        12.4649                 NaN  0.564529       0.243641                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        86.1614        13.0193                 NaN  0.564786       0.254587                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        85.5954        13.5741                 NaN  0.565042       0.265543                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        85.0289        14.1293                 NaN  0.565297       0.276508                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        84.4620        14.6850                 NaN  0.565551       0.287482                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        83.9179        15.2187                 NaN  0.565798       0.297577                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        83.3734        15.7528                 NaN  0.566044       0.307680                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        82.8285        16.2874                 NaN  0.566290       0.317791                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        82.2832        16.8223                 NaN  0.566535       0.327910                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        81.7375        17.3577                 NaN  0.566778       0.338038                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        81.1914        17.8935                 NaN  0.567021       0.348173                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        80.6448        18.4296                 NaN  0.567263       0.358317                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        80.0978        18.9662                 NaN  0.567504       0.368468                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        79.5723        19.4821                 NaN  0.567738       0.377857                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        79.0464        19.9984                 NaN  0.567971       0.387252                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        78.5201        20.5151                 NaN  0.568203       0.396654                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        77.9934        21.0321                 NaN  0.568435       0.406064                 NaN            NaN            NaN            NaN            NaN            NaN
