|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/YM20/YM20_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1541.67        500.000        99.9755       0.245470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.31        500.000        99.4923       0.500066       0.760330E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.95        500.000        99.4968       0.498904       0.433821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        500.000        99.4995       0.499686       0.841703E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.24        500.000        99.5069       0.469863       0.232116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        500.000        99.5105       0.466773       0.227552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.52        500.000        99.5130       0.465612       0.213853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        500.000        99.5166       0.462659       0.207166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.81        500.000        99.5215       0.457789       0.207185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        500.000        99.5234       0.464518       0.120646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000        99.5823       0.388249       0.294765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.74        500.000        99.4803       0.500167       0.195419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        500.000        99.5016       0.479494       0.189203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        500.000        99.9385       0.595929E-001  0.193455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.66        500.000        99.7431       0.246986       0.996176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.31        500.000        98.9039        1.05063       0.454915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.6283       0.357031       0.146806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        500.000        99.5501       0.433500       0.163618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.23        500.000        99.5563       0.429451       0.142587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.88        500.000        99.5572       0.428835       0.139833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.52        500.000        99.5398       0.446849       0.133065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        500.000        99.5835       0.404171       0.123316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.80        500.000        99.5663       0.421519       0.121492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
