|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          O(HP)          ilm            San(TH)        q             
  1413.46        500.000       0.144904E-001   86.3747        8.21129        5.39955                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000       0.527302E-004   99.9539       0.178672E-001  0.282239E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.132075E-002   98.8398       0.707301       0.451568                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.112770E-002   98.8945       0.673600       0.430816                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.978847E-004   99.9092       0.354178E-001  0.552482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.584561E-003   99.4106       0.359669       0.229146                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000       0.749060E-004   97.4190        1.05273        1.13617       0.392050                 NaN            NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN  100.0000                 NaN            NaN            NaN  0.148297E-005            NaN            NaN            NaN            NaN
  1405.17        500.000                 NaN   99.9023       0.416121E-001  0.304426E-001  0.256814E-001            NaN            NaN            NaN            NaN            NaN
  1404.13        500.000       0.202164E-003   98.6647       0.417832       0.564150       0.353138                 NaN            NaN            NaN            NaN            NaN
  1403.10        500.000                 NaN   98.6322       0.577502       0.428502       0.361784                 NaN            NaN            NaN            NaN            NaN
  1402.06        500.000       0.785159E-003   98.6461       0.573033       0.422338       0.357787                 NaN            NaN            NaN            NaN            NaN
  1401.03        500.000                 NaN   98.6633       0.418745       0.564955       0.353006                 NaN            NaN            NaN            NaN            NaN
  1399.99        500.000                 NaN   98.6754       0.415166       0.559784       0.349638                 NaN            NaN            NaN            NaN            NaN
  1398.95        500.000                 NaN   98.6909       0.553640       0.410075       0.345418                 NaN            NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN   98.7050       0.405537       0.547963       0.341441       0.130305E-004            NaN            NaN            NaN            NaN
  1396.88        500.000                 NaN   98.7161       0.402171       0.543436       0.338293       0.133358E-004            NaN            NaN            NaN            NaN
  1395.84        500.000                 NaN   98.7344       0.396757       0.535557       0.333292       0.619139E-005            NaN            NaN            NaN            NaN
  1394.81        500.000                 NaN   98.7329       0.534783       0.398218       0.334059                 NaN            NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN   98.7699       0.521673       0.385438       0.323034                 NaN            NaN            NaN            NaN            NaN
  1392.74        500.000                 NaN   98.7243       0.399251       0.541004       0.335486                 NaN            NaN            NaN            NaN            NaN
  1391.70        500.000                 NaN   98.8318       0.495399       0.366015       0.306812                 NaN            NaN            NaN            NaN            NaN
  1390.66        500.000                 NaN   98.7929       0.377889       0.512251       0.316942       0.195105E-004            NaN            NaN            NaN            NaN
  1389.63        500.000                 NaN   98.8098       0.505214       0.372964       0.312049       0.635726E-005            NaN            NaN            NaN            NaN
  1388.59        500.000                 NaN   98.8186       0.370021       0.501745       0.309620                 NaN            NaN            NaN            NaN            NaN
  1387.55        500.000                 NaN   98.8299       0.497241       0.366418       0.306432                 NaN            NaN            NaN            NaN            NaN
  1386.52        500.000                 NaN   98.8408       0.492879       0.363106       0.303263                 NaN            NaN            NaN            NaN            NaN
  1385.48        500.000                 NaN   98.8452       0.372849       0.430774       0.308751       0.424373E-001            NaN            NaN            NaN            NaN
  1384.45        500.000                 NaN   98.8669       0.271655       0.395187       0.318162       0.148135                 NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN   98.8718       0.394713       0.265461       0.317414       0.150624                 NaN            NaN            NaN            NaN
  1382.37        500.000                 NaN   98.8842       0.391257       0.258600       0.314061       0.151880                 NaN            NaN            NaN            NaN
  1381.34        500.000                 NaN   98.8927       0.390001       0.253256       0.311680       0.152383                 NaN            NaN            NaN            NaN
  1380.30        500.000                 NaN   98.9035       0.247590       0.386446       0.308835       0.153593                 NaN            NaN            NaN            NaN
  1379.26        500.000                 NaN   99.1996       0.283749       0.176462       0.225787       0.114372                 NaN            NaN            NaN            NaN
  1378.23        500.000                 NaN   98.6388       0.302158       0.481421       0.383151       0.194465                 NaN            NaN            NaN            NaN
  1377.19        500.000                 NaN   98.9350       0.230916       0.378195       0.300186       0.155657                 NaN            NaN            NaN            NaN
  1376.16        500.000                 NaN   98.9385       0.378256       0.224965       0.299578       0.158720                 NaN            NaN            NaN            NaN
  1375.12        500.000                 NaN   98.9565       0.371733       0.222289       0.293920       0.155554                 NaN            NaN            NaN            NaN
  1374.08        500.000                 NaN   97.0955       0.578686        1.05050       0.820446       0.454881                 NaN            NaN            NaN            NaN
  1373.05        500.000                 NaN   99.9984                 NaN            NaN  0.377649E-003  0.121871E-002            NaN            NaN            NaN            NaN
  1372.01        500.000                 NaN   99.8726       0.469971E-001  0.258848E-001  0.356652E-001  0.188191E-001            NaN            NaN            NaN            NaN
  1370.97        500.000                 NaN   98.9892       0.199556       0.365044       0.285520       0.160687                 NaN            NaN            NaN            NaN
  1369.94        500.000                 NaN   98.9990       0.362377       0.194606       0.282734       0.161248                 NaN            NaN            NaN            NaN
  1368.90        500.000                 NaN   99.0080       0.189751       0.360025       0.280313       0.161923                 NaN            NaN            NaN            NaN
  1367.87        500.000                 NaN   99.0158       0.358125       0.185039       0.278222       0.162806                 NaN            NaN            NaN            NaN
  1366.83        500.000                 NaN   99.0249       0.355627       0.180316       0.275753       0.163438                 NaN            NaN            NaN            NaN
  1365.79        500.000                 NaN   99.0333       0.175310       0.353671       0.273481       0.164231                 NaN            NaN            NaN            NaN
  1364.76        500.000                 NaN   99.0406       0.171127       0.352105       0.271372       0.164789                 NaN            NaN            NaN            NaN
  1363.72        500.000                 NaN   99.0455       0.351444       0.164885       0.270640       0.167532                 NaN            NaN            NaN            NaN
  1362.68        500.000                 NaN   99.0608       0.164445       0.345662       0.265297       0.163809                 NaN            NaN            NaN            NaN
  1361.65        500.000                 NaN   99.0643       0.345886       0.158448       0.264869       0.166515                 NaN            NaN            NaN            NaN
  1360.61        500.000                 NaN   99.0714       0.344636       0.154138       0.262831       0.166948                 NaN            NaN            NaN            NaN
  1359.58        500.000                 NaN   99.0769       0.150258       0.343334       0.261305       0.168241                 NaN            NaN            NaN            NaN
  1358.54        500.000                 NaN   99.0762       0.344726       0.145564       0.262249       0.171247                 NaN            NaN            NaN            NaN
  1357.50        500.000                 NaN   99.0975       0.143770       0.337864       0.254800       0.166067                 NaN            NaN            NaN            NaN
  1356.47        500.000                 NaN   99.1084       0.139320       0.334155       0.251772       0.166326                 NaN            NaN            NaN            NaN
  1355.43        500.000                 NaN   99.1089       0.135172       0.334764       0.252238       0.168938                 NaN            NaN            NaN            NaN
  1354.39        500.000                 NaN   99.1157       0.333297       0.131077       0.250355       0.169560                 NaN            NaN            NaN            NaN
  1353.36        500.000                 NaN   99.1217       0.127659       0.332091       0.248600       0.169939                 NaN            NaN            NaN            NaN
  1352.32        500.000                 NaN   99.1222       0.333188       0.123957       0.248842       0.171801                 NaN            NaN            NaN            NaN
  1351.29        500.000                 NaN   99.1415       0.326724       0.118857       0.242824       0.170082                 NaN            NaN            NaN            NaN
  1350.25        500.000                 NaN   99.1439       0.119310       0.325811       0.241962       0.169040                 NaN            NaN            NaN            NaN
  1349.21        500.000                 NaN   99.1477       0.114123       0.325833       0.241278       0.171112                 NaN            NaN            NaN            NaN
  1348.18        500.000                 NaN   99.1562       0.110749       0.323181       0.238718       0.171199                 NaN            NaN            NaN            NaN
  1347.14        500.000                 NaN   99.1618       0.108798       0.321685       0.236983       0.170701                 NaN            NaN            NaN            NaN
  1346.10        500.000                 NaN   99.1699       0.319118       0.103891       0.235153       0.171944                 NaN            NaN            NaN            NaN
  1345.07        500.000                 NaN   99.1733       0.319051       0.102629       0.233671       0.171389                 NaN            NaN            NaN            NaN
  1344.03        500.000                 NaN   99.1740       0.321433       0.942252E-001  0.234259       0.176117                 NaN            NaN            NaN            NaN
  1343.00        500.000                 NaN   98.9214       0.412953       0.139829       0.303674       0.222155                 NaN            NaN            NaN            NaN
  1341.96        500.000                 NaN   99.4586       0.626675E-001  0.211469       0.152448       0.114843                 NaN            NaN            NaN            NaN
  1340.92        500.000                 NaN   99.3597       0.111219       0.223230       0.179936       0.125904                 NaN            NaN            NaN            NaN
  1339.89        500.000                 NaN   99.0417       0.745637E-001  0.397661       0.271260       0.214822                 NaN            NaN            NaN            NaN
  1338.85        500.000                 NaN   99.2096       0.859355E-001  0.309801       0.223209       0.171440                 NaN            NaN            NaN            NaN
  1337.81        500.000                 NaN   99.2147       0.308095       0.857710E-001  0.221271       0.170129                 NaN            NaN            NaN            NaN
  1336.78        500.000                 NaN   99.2193       0.307067       0.835847E-001  0.219967       0.170094                 NaN            NaN            NaN            NaN
  1335.74        500.000                 NaN   99.2259       0.804864E-001  0.305091       0.218174       0.170379                 NaN            NaN            NaN            NaN
  1334.71        500.000                 NaN   99.2256       0.743951E-001  0.308408       0.218528       0.173092                 NaN            NaN            NaN            NaN
