|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          O(HP)          ilm            San(TH)        q             
  1413.46        500.000       0.946728E-002   88.1731        7.17062        4.64676                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000       0.337868E-004   99.9608       0.150604E-001  0.241414E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.847255E-003   99.0126       0.605623       0.380948                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.723378E-003   99.0599       0.576238       0.363108                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.627282E-004   99.9229       0.298003E-001  0.471924E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.374968E-003   99.4995       0.307329       0.192845                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000       0.482016E-004   97.7311       0.887255       0.972427       0.409128                 NaN            NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN  100.0000                 NaN            NaN            NaN  0.116119E-005            NaN            NaN            NaN            NaN
  1405.17        500.000                 NaN   99.9124       0.349272E-001  0.259539E-001  0.267190E-001            NaN            NaN            NaN            NaN            NaN
  1404.13        500.000       0.129659E-003   98.8018       0.356479       0.473773       0.367817                 NaN            NaN            NaN            NaN            NaN
  1403.10        500.000                 NaN   98.7731       0.484723       0.365432       0.376771                 NaN            NaN            NaN            NaN            NaN
  1402.06        500.000       0.503147E-003   98.7864       0.480602       0.359960       0.372536                 NaN            NaN            NaN            NaN            NaN
  1401.03        500.000                 NaN   98.8024       0.356680       0.473466       0.367486                 NaN            NaN            NaN            NaN            NaN
  1399.99        500.000                 NaN   98.8139       0.353419       0.468815       0.363908                 NaN            NaN            NaN            NaN            NaN
  1398.95        500.000                 NaN   98.8283       0.463331       0.348911       0.359442                 NaN            NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN   98.8417       0.344829       0.458226       0.355230       0.101277E-004            NaN            NaN            NaN            NaN
  1396.88        500.000                 NaN   98.8523       0.341754       0.454094       0.351881       0.103503E-004            NaN            NaN            NaN            NaN
  1395.84        500.000                 NaN   98.8692       0.336981       0.447211       0.346604       0.480022E-005            NaN            NaN            NaN            NaN
  1394.81        500.000                 NaN   98.8684       0.446298       0.337987       0.347330                 NaN            NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN   98.9023       0.434954       0.326963       0.335787                 NaN            NaN            NaN            NaN            NaN
  1392.74        500.000                 NaN   98.8620       0.338503       0.450780       0.348670                 NaN            NaN            NaN            NaN            NaN
  1391.70        500.000                 NaN   98.9587       0.412454       0.310110       0.318767                 NaN            NaN            NaN            NaN            NaN
  1390.66        500.000                 NaN   98.9246       0.319971       0.426143       0.329233       0.150343E-004            NaN            NaN            NaN            NaN
  1389.63        500.000                 NaN   98.9403       0.419995       0.315625       0.324073       0.489255E-005            NaN            NaN            NaN            NaN
  1388.59        500.000                 NaN   98.9488       0.312946       0.416792       0.321475                 NaN            NaN            NaN            NaN            NaN
  1387.55        500.000                 NaN   98.9595       0.412738       0.309699       0.318088                 NaN            NaN            NaN            NaN            NaN
  1386.52        500.000                 NaN   98.9698       0.408802       0.306709       0.314722                 NaN            NaN            NaN            NaN            NaN
  1385.48        500.000                 NaN   98.9754       0.314753       0.357008       0.320329       0.324898E-001            NaN            NaN            NaN            NaN
  1384.45        500.000                 NaN   98.9984       0.224959       0.333360       0.329967       0.113268                 NaN            NaN            NaN            NaN
  1383.41        500.000                 NaN   99.0036       0.332702       0.219632       0.329060       0.114997                 NaN            NaN            NaN            NaN
  1382.37        500.000                 NaN   99.0154       0.329553       0.213776       0.325449       0.115817                 NaN            NaN            NaN            NaN
  1381.34        500.000                 NaN   99.0238       0.328197       0.209155       0.322847       0.115991                 NaN            NaN            NaN            NaN
  1380.30        500.000                 NaN   99.0343       0.204281       0.324959       0.319764       0.116711                 NaN            NaN            NaN            NaN
  1379.26        500.000                 NaN   99.2958       0.238351       0.145474       0.233624       0.867908E-001            NaN            NaN            NaN            NaN
  1378.23        500.000                 NaN   98.8028       0.248949       0.404348       0.396504       0.147407                 NaN            NaN            NaN            NaN
  1377.19        500.000                 NaN   99.0645       0.190001       0.317282       0.310403       0.117774                 NaN            NaN            NaN            NaN
  1376.16        500.000                 NaN   99.0686       0.317011       0.184903       0.309636       0.119840                 NaN            NaN            NaN            NaN
  1375.12        500.000                 NaN   99.0851       0.311344       0.182561       0.303648       0.117320                 NaN            NaN            NaN            NaN
  1374.08        500.000                 NaN   97.4527       0.475637       0.880348       0.848437       0.342866                 NaN            NaN            NaN            NaN
  1373.05        500.000                 NaN   99.9987                 NaN            NaN  0.389117E-003  0.914524E-003            NaN            NaN            NaN            NaN
  1372.01        500.000                 NaN   99.8887       0.392253E-001  0.211759E-001  0.367532E-001  0.141124E-001            NaN            NaN            NaN            NaN
  1370.97        500.000                 NaN   99.1171       0.163282       0.304757       0.294424       0.120439                 NaN            NaN            NaN            NaN
  1369.94        500.000                 NaN   99.1265       0.302244       0.159091       0.291411       0.120705                 NaN            NaN            NaN            NaN
  1368.90        500.000                 NaN   99.1352       0.154970       0.300058       0.288776       0.121014                 NaN            NaN            NaN            NaN
  1367.87        500.000                 NaN   99.1428       0.298238       0.150981       0.286481       0.121478                 NaN            NaN            NaN            NaN
  1366.83        500.000                 NaN   99.1515       0.295906       0.146988       0.283798       0.121783                 NaN            NaN            NaN            NaN
  1365.79        500.000                 NaN   99.1597       0.142778       0.294041       0.281319       0.122189                 NaN            NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1669       0.139235       0.292453       0.279009       0.122407                 NaN            NaN            NaN            NaN
  1363.72        500.000                 NaN   99.1719       0.291713       0.134005       0.278115       0.124266                 NaN            NaN            NaN            NaN
  1362.68        500.000                 NaN   99.1860       0.133533       0.286627       0.272483       0.121310                 NaN            NaN            NaN            NaN
  1361.65        500.000                 NaN   99.1899       0.286553       0.128536       0.271903       0.123119                 NaN            NaN            NaN            NaN
  1360.61        500.000                 NaN   99.1969       0.285268       0.124931       0.269670       0.123253                 NaN            NaN            NaN            NaN
  1359.58        500.000                 NaN   99.2025       0.121648       0.283931       0.267963       0.123999                 NaN            NaN            NaN            NaN
  1358.54        500.000                 NaN   99.2028       0.284726       0.117725       0.268788       0.126000                 NaN            NaN            NaN            NaN
  1357.50        500.000                 NaN   99.2218       0.116188       0.278995       0.261009       0.122051                 NaN            NaN            NaN            NaN
  1356.47        500.000                 NaN   99.2321       0.112466       0.275616       0.257767       0.122024                 NaN            NaN            NaN            NaN
  1355.43        500.000                 NaN   99.2332       0.109019       0.275890       0.258106       0.123778                 NaN            NaN            NaN            NaN
  1354.39        500.000                 NaN   99.2399       0.274445       0.105611       0.256038       0.124043                 NaN            NaN            NaN            NaN
  1353.36        500.000                 NaN   99.2458       0.102753       0.273195       0.254102       0.124126                 NaN            NaN            NaN            NaN
  1352.32        500.000                 NaN   99.2470       0.273781       0.996885E-001  0.254208       0.125343                 NaN            NaN            NaN            NaN
  1351.29        500.000                 NaN   99.2645       0.268315       0.954755E-001  0.247917       0.123841                 NaN            NaN            NaN            NaN
  1350.25        500.000                 NaN   99.2671       0.957520E-001  0.267307       0.246898       0.122917                 NaN            NaN            NaN            NaN
  1349.21        500.000                 NaN   99.2711       0.915031E-001  0.267096       0.246061       0.124213                 NaN            NaN            NaN            NaN
  1348.18        500.000                 NaN   99.2792       0.887076E-001  0.264676       0.243310       0.124109                 NaN            NaN            NaN            NaN
  1347.14        500.000                 NaN   99.2848       0.870523E-001  0.263196       0.241401       0.123546                 NaN            NaN            NaN            NaN
