|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1602.56        2500.00       0.621448E-002   99.5320       0.337333       0.124445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00                 NaN   99.3034       0.611800       0.847517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   99.3079       0.608382       0.836913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   99.3174       0.600835       0.817631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.3235       0.595546       0.809973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.3308       0.590051       0.791527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.3368       0.584225       0.789698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.3426       0.579919       0.775129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.3286       0.592572       0.788545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.3754       0.550858       0.737189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.3563       0.570635       0.731024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.3710       0.555579       0.734251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.3651       0.562581       0.723508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.3870       0.542891       0.700966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.9719       0.266201E-001  0.150123E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   98.6038        1.23876       0.157463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.5879       0.365296       0.468382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.4082       0.525216       0.665380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.7605       0.208931       0.306039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.0582       0.837516       0.104265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.4007       0.532669       0.666690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4408       0.496844       0.623292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.4278       0.509223       0.629365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.4287       0.509343       0.619254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.4399       0.498195       0.618790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.4429       0.496250       0.608753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        2500.00                 NaN   99.4416       0.497345       0.610887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.4577       0.482429       0.598451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        2500.00                 NaN   99.4265       0.512260       0.612083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        2500.00                 NaN   99.4912       0.454103       0.547332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        2500.00                 NaN   99.4616       0.482925       0.554965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.4711       0.473518       0.553837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        2500.00                 NaN   99.4167       0.522736       0.605514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        2500.00                 NaN   99.5353       0.417666       0.470201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        2500.00                 NaN   99.4820       0.464662       0.533369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN   99.4859       0.462118       0.520237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        2500.00                 NaN   99.4897       0.458586       0.516835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.4947       0.455308       0.499617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        2500.00                 NaN   99.4937       0.458426       0.478852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.5043       0.447099       0.485941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        2500.00                 NaN   99.5056       0.445853       0.485695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.5241       0.429653       0.462129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.4997       0.451809       0.485394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.5162       0.438336       0.454344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.5210       0.432980       0.460079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.5240       0.432010       0.439700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        2500.00                 NaN   99.5269       0.430127       0.429282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.5261       0.432321       0.415508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        2500.00                 NaN   99.5363       0.422478       0.412397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        2500.00                 NaN   99.5378       0.420950       0.412354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        2500.00                 NaN   99.5398       0.420565       0.396762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        2500.00                 NaN   99.5411       0.420203       0.386851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        2500.00                 NaN   99.5474       0.414491       0.381006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        2500.00                 NaN   99.5495       0.412455       0.380347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        2500.00                 NaN   99.5487       0.413074       0.382518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00                 NaN   99.5549       0.411584       0.334976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        2500.00                 NaN   99.5609       0.402819       0.363016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        2500.00                 NaN   99.5621       0.402636       0.352299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        2500.00                 NaN   99.5647       0.400205       0.350700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        2500.00                 NaN   99.5676       0.397762       0.346882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        2500.00                 NaN   99.5692       0.398453       0.323439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00                 NaN   99.5733       0.394355       0.323001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        2500.00                 NaN   99.5746       0.394094       0.312593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
