|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1602.56        2500.00       0.966123E-002   99.4604       0.383993       0.145975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00                 NaN   99.2041       0.696496       0.994309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   99.2089       0.692837       0.982465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00                 NaN   99.2195       0.684495       0.960280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.2261       0.678677       0.951757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.2344       0.672592       0.930346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.2408       0.666309       0.928954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.2472       0.661584       0.912263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.2309       0.676256       0.928559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.2842       0.628927       0.868484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.2623       0.651518       0.861578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.2788       0.634601       0.865524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.2718       0.642829       0.853534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.2966       0.620641       0.827406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.9678       0.304605E-001  0.177367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   98.3991        1.41510       0.185828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.5265       0.418146       0.553842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3200       0.601317       0.787034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.7243       0.239453       0.362339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   98.9176       0.958952       0.123404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.3106       0.610400       0.789700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.3565       0.569604       0.738791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.3414       0.583955       0.746283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.3422       0.584315       0.734882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.3549       0.571709       0.734297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.3580       0.569701       0.722946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        2500.00                 NaN   99.3563       0.571083       0.725966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.3746       0.554287       0.711544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        2500.00                 NaN   99.3386       0.588639       0.728066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        2500.00                 NaN   99.4128       0.522103       0.651422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        2500.00                 NaN   99.3786       0.555298       0.660778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.3892       0.544818       0.659899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        2500.00                 NaN   99.3263       0.601541       0.721504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        2500.00                 NaN   99.4631       0.480791       0.560783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        2500.00                 NaN   99.4013       0.535095       0.636418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN   99.4056       0.532354       0.620957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        2500.00                 NaN   99.4098       0.528425       0.617279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.4155       0.524849       0.597007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        2500.00                 NaN   99.4143       0.528477       0.572466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.4261       0.515730       0.581249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        2500.00                 NaN   99.4273       0.514523       0.581439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.4487       0.495994       0.553207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.4202       0.521663       0.581431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.4393       0.506260       0.544453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.4446       0.500277       0.551658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.4479       0.499361       0.527666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        2500.00                 NaN   99.4511       0.497328       0.515409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.4503       0.499772       0.499008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        2500.00                 NaN   99.4616       0.488823       0.495596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        2500.00                 NaN   99.4632       0.487260       0.495878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        2500.00                 NaN   99.4653       0.486929       0.477332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        2500.00                 NaN   99.4667       0.486717       0.465690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        2500.00                 NaN   99.4739       0.480219       0.458886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        2500.00                 NaN   99.4761       0.478064       0.458291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        2500.00                 NaN   99.4750       0.478922       0.461202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00                 NaN   99.4824       0.477244       0.403739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        2500.00                 NaN   99.4888       0.467383       0.438081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        2500.00                 NaN   99.4902       0.467298       0.425348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        2500.00                 NaN   99.4929       0.464701       0.423821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        2500.00                 NaN   99.4961       0.461994       0.419285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        2500.00                 NaN   99.4979       0.462940       0.391206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00                 NaN   99.5026       0.458293       0.390856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        2500.00                 NaN   99.5040       0.458173       0.378461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN   99.1681       0.774620       0.573280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        2500.00                 NaN   99.8485       0.140132       0.113614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        2500.00                 NaN   99.5131       0.452270       0.346166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        2500.00                 NaN   99.5151       0.450721       0.341537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        2500.00                 NaN   99.5190       0.446599       0.343725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        2500.00                 NaN   99.5208       0.447373       0.318672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        2500.00                 NaN   99.4493       0.182241       0.253016E-002            NaN  0.365891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        2500.00                 NaN   99.3910                 NaN            NaN            NaN  0.609010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        2500.00                 NaN   99.4077       0.210089                 NaN            NaN  0.382215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        2500.00                 NaN   99.3945                 NaN            NaN            NaN  0.605459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        2500.00                 NaN   99.3957                 NaN            NaN            NaN  0.604256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        2500.00                 NaN   99.3937                 NaN            NaN            NaN  0.606335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        2500.00                 NaN   99.3941                 NaN            NaN            NaN  0.605896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        2500.00                 NaN   99.3931                 NaN            NaN            NaN  0.606897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.3904                 NaN            NaN            NaN  0.609570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        2500.00                 NaN   99.3867                 NaN            NaN            NaN  0.613325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        2500.00                 NaN   99.3877                 NaN            NaN            NaN  0.612305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        2500.00                 NaN   99.3829                 NaN            NaN            NaN  0.617150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        2500.00                 NaN   99.3821                 NaN            NaN            NaN  0.617875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        2500.00                 NaN   99.3789                 NaN            NaN            NaN  0.621111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        2500.00                 NaN   99.3735                 NaN  0.102683E-005            NaN  0.626499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN   99.3648                 NaN            NaN            NaN  0.635209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00                 NaN   99.4638                 NaN            NaN            NaN  0.524600       0.116232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        2500.00                 NaN   99.0377                 NaN            NaN            NaN  0.449394       0.512904                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        2500.00                 NaN   99.0860                 NaN            NaN            NaN  0.606231       0.307813                 NaN            NaN            NaN            NaN            NaN            NaN
