|6.6.6
Archiving\03_Data\eq/QFM_m2.5/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7689       0.217017       0.140971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7689       0.217030       0.140974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7689       0.217044       0.140977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7688       0.217058       0.140980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7688       0.217072       0.140983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.7688       0.217085       0.140986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.7688       0.217099       0.140990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.7688       0.217113       0.140993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.7688       0.217127       0.140996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.7688       0.217141       0.141000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.7687       0.217155       0.141003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.7687       0.217169       0.141006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7687       0.217183       0.141010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.7687       0.217197       0.141013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.7687       0.217211       0.141017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.7687       0.217225       0.141020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.7687       0.217239       0.141024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.7686       0.217253       0.141027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.7686       0.217268       0.141031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.7686       0.217282       0.141035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.7686       0.217296       0.141038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.7686       0.217310       0.141042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.7686       0.217325       0.141046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.7686       0.217339       0.141049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.7685       0.217353       0.141053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.7685       0.217368       0.141057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.7685       0.217382       0.141061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.7685       0.217396       0.141065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.7685       0.217411       0.141068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.3146       0.217481       0.118094E-001  0.456087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.5640       0.217588       0.797257E-002   1.21047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        97.8223       0.217693       0.413670E-002   1.95583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        96.4709       0.845591E-001            NaN   3.10094       0.343574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.6178                 NaN            NaN   3.82039       0.561840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        95.1245                 NaN            NaN   4.31338       0.562068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.5955                 NaN            NaN   4.84219       0.562307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        94.0660                 NaN            NaN   5.37141       0.562545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        93.4979                 NaN            NaN   5.92981       0.562804       0.945646E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.9179                 NaN            NaN   6.49662       0.563069       0.224401E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        92.3254                 NaN            NaN   7.07615       0.563337       0.351530E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        91.7323                 NaN            NaN   7.65619       0.563604       0.478781E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        91.1361                 NaN            NaN   8.24008       0.563873       0.599534E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        90.5393                 NaN            NaN   8.82450       0.564141       0.720402E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        89.9420                 NaN            NaN   9.40943       0.564408       0.841385E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        89.3442                 NaN            NaN   9.99487       0.564674       0.962482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        88.7459                 NaN            NaN   10.5808       0.564939       0.108369                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        88.1470                 NaN            NaN   11.1673       0.565204       0.120502                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        87.5476                 NaN            NaN   11.7543       0.565467       0.132646                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        86.9477                 NaN            NaN   12.3417       0.565730       0.144801                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        86.3679                 NaN            NaN   12.9101       0.565987       0.155991                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        85.7876                 NaN            NaN   13.4790       0.566243       0.167191                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        85.2068                 NaN            NaN   14.0483       0.566498       0.178401                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        84.6255                 NaN            NaN   14.6181       0.566752       0.189621                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        84.0438                 NaN            NaN   15.1884       0.567006       0.200851                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        83.4615                 NaN            NaN   15.7591       0.567258       0.212090                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        82.8789                 NaN            NaN   16.3303       0.567510       0.223340                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        82.2957                 NaN            NaN   16.9019       0.567760       0.234599                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        81.7393                 NaN            NaN   17.4477       0.568002       0.245017                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        81.1825                 NaN            NaN   17.9938       0.568243       0.255444                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        80.6252                 NaN            NaN   18.5404       0.568484       0.265880                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        80.0675                 NaN            NaN   19.0874       0.568723       0.276324                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        79.5095                 NaN            NaN   19.6348       0.568961       0.286777                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        78.9510                 NaN            NaN   20.1826       0.569198       0.297237                 NaN            NaN            NaN            NaN            NaN            NaN
