|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/YM20/YM20_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1538.46        500.000       100.0000       0.552306E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.11        500.000        99.6551       0.613036E-001  0.283549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.76        500.000        99.4115       0.373766E-001  0.551092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000        99.4139       0.204208E-001  0.565679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.06        500.000        99.4141       0.277006E-001  0.558188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        500.000        99.4285       0.262042E-001  0.545251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.36        500.000        99.4278       0.261668E-001  0.546028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        500.000        99.0211       0.480549E-001  0.930892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000        99.8364       0.656224E-002  0.157031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000        99.4562       0.231912E-001  0.520597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.62        500.000        98.4326       0.672145E-001   1.50022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000        99.8725       0.649872E-002  0.121003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        500.000        99.5016       0.183928E-001  0.479989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4563       0.543184E-002  0.538309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.22        500.000        99.4637       0.359885E-001  0.500272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.87        500.000        99.4642       0.137708E-001  0.522015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        500.000        99.4674       0.158567E-001  0.516713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.17        500.000        99.4725       0.180043E-001  0.509545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        99.4762       0.152615E-001  0.508497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.47        500.000        99.4795       0.149249E-001  0.505593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        500.000        99.5870       0.133009E-001  0.399662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.3830       0.595458E-001  0.557472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.1418                 NaN  0.858166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        500.000        99.8148       0.217980E-001  0.163364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.7465                 NaN  0.253453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.37        500.000        99.2705                 NaN  0.729472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.5025       0.938549E-002  0.488080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.67        500.000        99.5047       0.159719E-001  0.479345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.32        500.000        99.5063       0.227272E-002  0.491416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000        99.5086       0.663513E-002  0.484752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        500.000        99.5118       0.189247E-002  0.486295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.28        500.000        99.5155       0.135506E-001  0.470985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        500.000        99.5170       0.363782E-002  0.479389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.58        500.000        99.9763       0.236582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0683                 NaN  0.931719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.88        500.000        99.5274       0.197354E-001  0.452847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        500.000        99.5336       0.573742E-001  0.409048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        99.5305                 NaN  0.469492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        500.000        99.5292                 NaN  0.470777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.48        500.000        99.4363                 NaN  0.563692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.13        500.000        99.6378       0.212041E-001  0.340982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.78        500.000        99.5414                 NaN  0.458624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.43        500.000        99.5405                 NaN  0.459464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.08        500.000        99.5438                 NaN  0.456225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.7028                 NaN  0.297219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.38        500.000        99.3924                 NaN  0.607608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000        99.5510                 NaN  0.449001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.5533                 NaN  0.446700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.33        500.000        99.5536                 NaN  0.446391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.98        500.000        99.5579                 NaN  0.442134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.63        500.000        99.5586                 NaN  0.441381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.28        500.000        99.5605                 NaN  0.439490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.94        500.000        99.5639                 NaN  0.436083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.59        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.24        500.000        99.1327                 NaN  0.867269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        500.000        99.5692                 NaN  0.430759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        99.5706                 NaN  0.429362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        500.000        99.5732                 NaN  0.426804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.84        500.000        99.2350       0.318044E-002  0.761821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.49        500.000        99.9114                 NaN  0.886090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        500.000        99.5773                 NaN  0.422675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.79        500.000        99.5797                 NaN  0.420258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        500.000        99.5806                 NaN  0.419392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.09        500.000        99.2820                 NaN  0.342843       0.375202                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.74        500.000        99.1716                 NaN  0.311081       0.517326                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.39        500.000        99.1793       0.509207E-005  0.307224       0.513467                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.04        500.000        99.1854                 NaN  0.305382       0.509200                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.69        500.000        99.0861                 NaN  0.342324       0.571561                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.34        500.000        99.3048                 NaN  0.259016       0.436227                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2063                 NaN  0.296023       0.497704                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.64        500.000        99.2125                 NaN  0.292428       0.495081                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.29        500.000        99.2183                 NaN  0.291173       0.490483                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.94        500.000        99.2248                 NaN  0.288132       0.487114                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        500.000        99.2294                 NaN  0.286211       0.484417                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        500.000        99.2364                 NaN  0.282219       0.481341                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.90        500.000        99.2424                 NaN  0.280897       0.476726                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        500.000        99.2284                 NaN  0.154280       0.156768       0.460565                 NaN            NaN            NaN            NaN            NaN
  1433.20        500.000        99.2164                 NaN  0.399434E-001  0.299036       0.444601                 NaN            NaN            NaN            NaN            NaN
  1431.85        500.000        99.2235                 NaN  0.400557E-001  0.295407       0.441001                 NaN            NaN            NaN            NaN            NaN
  1430.50        500.000        99.2288                 NaN  0.384064E-001  0.294691       0.438085                 NaN            NaN            NaN            NaN            NaN
  1429.15        500.000        99.2349                 NaN  0.381410E-001  0.435055       0.291929                 NaN            NaN            NaN            NaN            NaN
  1427.80        500.000        99.2410                 NaN  0.390865E-001  0.432074       0.287848                 NaN            NaN            NaN            NaN            NaN
  1426.45        500.000        99.2465                 NaN  0.377972E-001  0.286615       0.429128                 NaN            NaN            NaN            NaN            NaN
  1425.10        500.000        99.2514                 NaN  0.424514E-001  0.427292       0.278827                 NaN            NaN            NaN            NaN            NaN
  1423.75        500.000        99.2577                 NaN  0.394262E-001  0.423623       0.279209                 NaN            NaN            NaN            NaN            NaN
  1422.40        500.000        99.2632                 NaN  0.369862E-001  0.420684       0.279096                 NaN            NaN            NaN            NaN            NaN
  1421.05        500.000        99.2683                 NaN  0.405342E-001  0.418468       0.272668                 NaN            NaN            NaN            NaN            NaN
  1419.70        500.000        99.2760                 NaN  0.380413E-001  0.413953       0.272002                 NaN            NaN            NaN            NaN            NaN
  1418.35        500.000        99.2794                 NaN  0.373377E-001  0.270689       0.412536                 NaN            NaN            NaN            NaN            NaN
  1417.00        500.000        98.4960                 NaN  0.112767       0.488443       0.547805       0.355014                 NaN            NaN            NaN            NaN
  1415.65        500.000        98.2196                 NaN            NaN  0.792129       0.503709       0.484563                 NaN            NaN            NaN            NaN
  1414.30        500.000        98.2512                 NaN            NaN  0.777996       0.494773       0.475994                 NaN            NaN            NaN            NaN
