|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/YM20/YM20_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1538.46        500.000       100.0000       0.465594E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.11        500.000        99.7039       0.516925E-001  0.244405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.76        500.000        99.4935       0.315136E-001  0.474990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000        99.4954       0.172092E-001  0.487416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.06        500.000        99.4958       0.233417E-001  0.480873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        500.000        99.5084       0.220685E-001  0.469566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.36        500.000        99.5078       0.220270E-001  0.470178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        500.000        99.1581       0.404408E-001  0.801462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000        99.8594       0.551645E-002  0.135057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000        99.5327       0.194985E-001  0.447846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.62        500.000        98.6527       0.565026E-001   1.29083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000        99.8907       0.544960E-002  0.103869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        500.000        99.5721       0.154380E-001  0.412446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5329       0.455755E-002  0.462507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.22        500.000        99.5401       0.301864E-001  0.429690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.87        500.000        99.5402       0.115475E-001  0.448296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        500.000        99.5431       0.132901E-001  0.443609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.17        500.000        99.5477       0.150811E-001  0.437198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        99.5509       0.127791E-001  0.436328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.47        500.000        99.5538       0.124945E-001  0.433691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        500.000        99.6461       0.111277E-001  0.342752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.4722       0.498114E-001  0.477975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.2643                 NaN  0.735677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        500.000        99.8419       0.182086E-001  0.139905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.7829                 NaN  0.217076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.37        500.000        99.3751                 NaN  0.624897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.5744       0.783389E-002  0.417816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.67        500.000        99.5764       0.133284E-001  0.410314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.32        500.000        99.5776       0.189595E-002  0.420528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000        99.5797       0.553184E-002  0.414741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
