|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.25/T13/T13_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.1496       0.850406       0.120193E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.1274       0.869380       0.318458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1398       0.814485       0.457152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1469       0.809246       0.438082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.1601       0.795973       0.439348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.1643       0.793103       0.425565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1776       0.781310       0.410487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1477       0.810411       0.419360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.2282       0.732861       0.389303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.2025       0.760459       0.370388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.2090       0.753762       0.372627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.2136       0.750332       0.360297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.7281       0.259090       0.127607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        98.7400        1.20138       0.586251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.2406       0.726096       0.332802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.2490       0.718881       0.321484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        97.0507        2.84812       0.101179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000       100.0000                 NaN  0.156864E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.9999                 NaN  0.123868E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.3220       0.643093       0.348847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.2735       0.709541       0.169751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.3138       0.647245       0.389096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.3121       0.659179       0.287570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3113       0.664258       0.244198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.3171       0.659678       0.232693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3258       0.650632       0.236032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.3306       0.645140       0.242609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.3348       0.647234       0.179719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.3423       0.636598       0.210598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        98.8674        1.09727       0.353751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.8282       0.165748       0.608518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.3716       0.602499       0.259372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        98.7342        1.24362       0.221442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.2450       0.739758       0.152465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.6372       0.354691       0.811527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.2585       0.722836       0.186321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.3931       0.593252       0.136423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.3959       0.591827       0.123132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.4000       0.589727       0.102483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.4064       0.582873       0.107044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.4096       0.580825       0.960933E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.4150       0.577395       0.756832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.4180       0.575882       0.613391E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.4226       0.571718       0.566166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.4288       0.564324       0.685476E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.4322       0.562221       0.562617E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.4361       0.561538       0.232428E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
