|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1554.49        500.000       0.145689E-001   99.5341                 NaN  0.451309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.3756                 NaN  0.624349       0.154197E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN   99.3807                 NaN  0.611235       0.803249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   99.3859                 NaN  0.614119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.3909                 NaN  0.609067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.3994                 NaN  0.600583       0.293736E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   99.4008                 NaN  0.599167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.4064                 NaN  0.593580       0.500101E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.4118                 NaN  0.583513       0.465456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.4161                 NaN  0.566486       0.173847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   98.6872                 NaN   1.26699       0.457664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.9999                 NaN            NaN  0.751081E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.5750                 NaN  0.411971       0.129931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.4654                 NaN  0.519043       0.155831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.4409                 NaN  0.531715       0.273457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.4412                 NaN  0.557936       0.844905E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.4478                 NaN  0.538875       0.132790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.4518                 NaN  0.534754       0.134661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.4541                 NaN  0.533270       0.126340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.4630                 NaN  0.525022       0.120259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.4328                 NaN  0.554522       0.127127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN   99.4996                 NaN  0.491177       0.922341E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN   99.4717                 NaN  0.518101       0.102207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN   99.4768                 NaN  0.513703       0.951798E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN   99.4797                 NaN  0.511857       0.847972E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.4834                 NaN  0.508081       0.851462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN   99.4852                 NaN  0.508198       0.665062E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        500.000                 NaN   99.4906                 NaN  0.503235       0.616275E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN   99.4946                 NaN  0.498872       0.655363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.7942                 NaN  0.202453       0.336317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN   99.2034                 NaN  0.789395       0.716551E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.41        500.000                 NaN   99.5052                 NaN  0.490110       0.466275E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        500.000                 NaN   99.4327                 NaN  0.534896       0.323795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.5901                 NaN  0.409935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.24        500.000                 NaN   99.5149                 NaN  0.485091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   99.5172                 NaN  0.482761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.46        500.000                 NaN   99.4605                 NaN  0.495215       0.442595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        500.000                 NaN   99.5867                 NaN  0.413349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
