|6.6.6
Archiving\03_Data\Deq/QFM_m1/WD94/WD94_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  1766.03        2500.00        69.0321       0.407900        30.5600                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        68.4474       0.415956        31.1366                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        67.8624       0.424019        31.7136                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        67.2769       0.432089        32.2910                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        66.6910       0.440164        32.8689                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        66.1047       0.448245        33.4471                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        65.5179       0.456333        34.0257                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        64.9308       0.464426        34.6048                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        64.3674       0.471817        35.1608                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        63.8037       0.479212        35.7171                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        63.2395       0.486613        36.2738                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        62.6751       0.494018        36.8309                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        62.1103       0.501429        37.3883                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        61.5451       0.508844        37.9460                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        60.9796       0.516264        38.5041                 NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        60.4138       0.523688        39.0625                 NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        59.8814       0.530966        39.5876                 NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        59.3488       0.538248        40.1130                 NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        58.8159       0.545534        40.6386                 NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        58.2827       0.552824        41.1645                 NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        57.7492       0.560118        41.6906                 NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        57.2155       0.567416        42.2171                 NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        56.6816       0.574717        42.7437                 NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        56.1473       0.582023        43.2706                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        55.6469       0.588720        43.7644                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        55.1463       0.595420        44.2583                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        54.6454       0.602124        44.7524                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        54.1444       0.608830        45.2468                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        53.6432       0.615539        45.7413                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        53.1417       0.622251        46.2360                 NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        52.6401       0.628966        46.7309                 NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        52.1384       0.635684        47.2260                 NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        51.6684       0.642045        47.6895                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        51.1984       0.648409        48.1532                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        50.2252       0.639752        47.9022        1.23282                 NaN            NaN            NaN            NaN
  1653.85        2500.00        48.6175       0.646602        48.8267        1.90921                 NaN            NaN            NaN            NaN
  1650.64        2500.00        47.4264       0.644163        49.0316        2.89789                 NaN            NaN            NaN            NaN
  1647.44        2500.00        46.2324       0.641716        49.2369        3.88905                 NaN            NaN            NaN            NaN
  1644.23        2500.00        45.0355       0.639262        49.4425        4.88269                 NaN            NaN            NaN            NaN
  1641.03        2500.00        43.8357       0.636800        49.6486        5.87881                 NaN            NaN            NaN            NaN
  1637.82        2500.00        42.8666       0.633342        49.8173        6.68275                 NaN            NaN            NaN            NaN
  1634.62        2500.00        41.8955       0.629875        49.9863        7.48837                 NaN            NaN            NaN            NaN
  1631.41        2500.00        40.9225       0.626401        50.1555        8.29565                 NaN            NaN            NaN            NaN
  1628.21        2500.00        39.9475       0.622918        50.3250        9.10461                 NaN            NaN            NaN            NaN
  1625.00        2500.00        38.9706       0.619427        50.4947        9.91523                 NaN            NaN            NaN            NaN
  1621.79        2500.00        37.9918       0.615928        50.6647        10.7275                 NaN            NaN            NaN            NaN
  1618.59        2500.00        37.0111       0.612420        50.8350        11.5415                 NaN            NaN            NaN            NaN
  1615.38        2500.00        36.0285       0.608904        51.0055        12.3572                 NaN            NaN            NaN            NaN
  1612.18        2500.00        35.2886       0.604509        51.1252        12.9817                 NaN            NaN            NaN            NaN
  1608.97        2500.00        34.5476       0.600105        51.2451        13.6072                 NaN            NaN            NaN            NaN
  1605.77        2500.00        33.8055       0.595694        51.3650        14.2338                 NaN            NaN            NaN            NaN
  1602.56        2500.00        33.0623       0.591275        51.4851        14.8613                 NaN            NaN            NaN            NaN
  1599.36        2500.00        32.3180       0.586848        51.6054        15.4898                 NaN            NaN            NaN            NaN
  1596.15        2500.00        31.5726       0.582414        51.7257        16.1193                 NaN            NaN            NaN            NaN
  1592.95        2500.00        30.8261       0.577971        51.8462        16.7497                 NaN            NaN            NaN            NaN
  1589.74        2500.00        30.0785       0.573521        51.9668        17.3812                 NaN            NaN            NaN            NaN
  1586.54        2500.00        29.4790       0.568047        52.0564        17.8965                 NaN            NaN            NaN            NaN
  1583.33        2500.00        28.8787       0.562565        52.1461        18.4126                 NaN            NaN            NaN            NaN
  1580.13        2500.00        28.2778       0.557076        52.2359        18.9292                 NaN            NaN            NaN            NaN
  1576.92        2500.00        27.6762       0.551579        52.3257        19.4466                 NaN            NaN            NaN            NaN
  1573.72        2500.00        27.0738       0.546074        52.4156        19.9646                 NaN            NaN            NaN            NaN
  1570.51        2500.00        26.4707       0.540562        52.5055        20.4832                 NaN            NaN            NaN            NaN
  1567.31        2500.00        25.8669       0.535042        52.5956        21.0025                 NaN            NaN            NaN            NaN
  1564.10        2500.00        25.2623       0.529514        52.6857        21.5225                 NaN            NaN            NaN            NaN
  1560.90        2500.00        24.7507       0.522957        52.7549        21.9715                 NaN            NaN            NaN            NaN
  1557.69        2500.00        24.2385       0.516392        52.8242        22.4209                 NaN            NaN            NaN            NaN
  1554.49        2500.00        23.7258       0.509819        52.8936        22.8708                 NaN            NaN            NaN            NaN
  1551.28        2500.00        23.2126       0.503239        52.9629        23.3212                 NaN            NaN            NaN            NaN
  1548.08        2500.00        22.6989       0.496651        53.0324        23.7721                 NaN            NaN            NaN            NaN
  1544.87        2500.00        22.1846       0.490055        53.1018        24.2235                 NaN            NaN            NaN            NaN
  1541.67        2500.00        21.6698       0.483451        53.1713        24.6754                 NaN            NaN            NaN            NaN
  1538.46        2500.00        21.1546       0.476840        53.2409        25.1277                 NaN            NaN            NaN            NaN
  1535.26        2500.00        20.6883       0.468648        53.2998        25.5432                 NaN            NaN            NaN            NaN
  1532.05        2500.00        20.2216       0.460447        53.3588        25.9592                 NaN            NaN            NaN            NaN
  1528.85        2500.00        19.7545       0.452237        53.4177        26.3755                 NaN            NaN            NaN            NaN
  1525.64        2500.00        19.2870       0.444018        53.4768        26.7922                 NaN            NaN            NaN            NaN
  1522.44        2500.00        18.8190       0.435791        53.5358        27.2093                 NaN            NaN            NaN            NaN
  1519.23        2500.00        18.3506       0.427554        53.5949        27.6269                 NaN            NaN            NaN            NaN
  1516.03        2500.00        17.8818       0.419310        53.6541        28.0448                 NaN            NaN            NaN            NaN
  1512.82        2500.00        17.4126       0.411056        53.7132        28.4632                 NaN            NaN            NaN            NaN
  1509.62        2500.00        16.9704       0.401658        53.7648        28.8631                 NaN            NaN            NaN            NaN
  1506.41        2500.00        16.5278       0.392250        53.8165        29.2634                 NaN            NaN            NaN            NaN
  1503.21        2500.00        16.0849       0.382833        53.8682        29.6641                 NaN            NaN            NaN            NaN
  1500.00        2500.00        15.6416       0.373407        53.9199        30.0651                 NaN            NaN            NaN            NaN
  1496.79        2500.00        15.2130       0.363829        53.9690        30.4543                 NaN            NaN            NaN            NaN
  1493.59        2500.00        14.7839       0.354243        54.0181        30.8438                 NaN            NaN            NaN            NaN
  1490.38        2500.00        14.1042       0.353710        54.0925        31.0134       0.436140                 NaN            NaN            NaN
  1487.18        2500.00        13.4218       0.356979        54.1609        31.1217       0.938735                 NaN            NaN            NaN
  1483.97        2500.00        12.8659       0.364057        54.2005        31.2049        1.36465                 NaN            NaN            NaN
  1480.77        2500.00        12.3093       0.371147        54.2401        31.2883        1.79119                 NaN            NaN            NaN
  1477.56        2500.00        11.7520       0.378249        54.2797        31.3717        2.21835                 NaN            NaN            NaN
  1474.36        2500.00        11.1939       0.385363        54.3193        31.4553        2.64612                 NaN            NaN            NaN
  1471.15        2500.00        10.6351       0.392488        54.3589        31.5390        3.07451                 NaN            NaN            NaN
  1467.95        2500.00        10.0756       0.399625        54.3985        31.6228        3.50353                 NaN            NaN            NaN
  1464.74        2500.00        9.51536       0.406773        54.4380        31.7067        3.93316                 NaN            NaN            NaN
  1461.54        2500.00        8.95436       0.413933        54.4776        31.7907        4.36341                 NaN            NaN            NaN
  1458.33        2500.00        8.51099       0.425467        54.4897        31.8244        4.71545       0.339597E-001            NaN            NaN
  1455.13        2500.00        8.05135       0.443828        54.4881        31.6600       0.326330        5.03042                 NaN            NaN
  1451.92        2500.00        8.05090       0.443842        54.4883        31.6602       0.326333        5.03045                 NaN            NaN
  1448.72        2500.00        7.17858       0.478910        54.4938        31.3708       0.841494        5.63637                 NaN            NaN
  1445.51        2500.00        7.17820       0.478925        54.4940        31.3710       0.841501        5.63640                 NaN            NaN
  1442.31        2500.00        7.17782       0.478940        54.4941        31.3712       0.841509        5.63642                 NaN            NaN
  1439.10        2500.00        7.17743       0.478955        54.4943        31.3714       0.841517        5.63645                 NaN            NaN
  1435.90        2500.00        5.78619       0.545673        54.4691        30.9858        1.58703        6.62612                 NaN            NaN
  1432.69        2500.00        5.78590       0.545690        54.4692        30.9860        1.58705        6.62614                 NaN            NaN
  1429.49        2500.00        5.78561       0.545706        54.4693        30.9861        1.58706        6.62616                 NaN            NaN
  1426.28        2500.00        5.78533       0.545723        54.4694        30.9863        1.58707        6.62619                 NaN            NaN
  1423.08        2500.00        5.78504       0.545739        54.4695        30.9864        1.58709        6.62621                 NaN            NaN
  1419.87        2500.00        5.78475       0.545756        54.4696        30.9866        1.58710        6.62623                 NaN            NaN
  1416.67        2500.00        5.78446       0.545772        54.4697        30.9867        1.58711        6.62626                 NaN            NaN
  1413.46        2500.00        5.78417       0.545789        54.4698        30.9869        1.58712        6.62628                 NaN            NaN
  1410.26        2500.00        3.80929       0.671430        54.3556        30.5988        8.07094        2.49392                 NaN            NaN
  1407.05        2500.00        3.62292       0.686514        54.3388        30.5566        2.57953        8.21558                 NaN            NaN
  1403.85        2500.00        3.43349       0.700567        54.3263        30.5190        8.34658        2.66265       0.114713E-001            NaN
  1400.64        2500.00        3.43336       0.700587        54.3262        30.5191        8.34660        2.66267       0.114720E-001            NaN
  1397.44        2500.00        3.02824       0.715817        54.3753        30.3265        8.46285        2.90687       0.184377                 NaN
  1394.23        2500.00        3.02813       0.715838        54.3753        30.3266        8.46287        2.90689       0.184388                 NaN
  1391.03        2500.00        3.02802       0.715858        54.3752        30.3267        8.46288        2.90691       0.184399                 NaN
  1387.82        2500.00        3.02790       0.715879        54.3752        30.3268        8.46290        2.90692       0.184410                 NaN
  1384.62        2500.00        2.33431       0.745430        54.4508        29.9893        8.66063        3.32696       0.492623                 NaN
  1381.41        2500.00        2.33423       0.745451        54.4507        29.9893        8.66064        3.32698       0.492652                 NaN
  1378.21        2500.00        2.33415       0.745472        54.4506        29.9894        8.66065        3.32700       0.492682                 NaN
  1375.00        2500.00        2.33407       0.745493        54.4506        29.9895        8.66066        3.32702       0.492712                 NaN
  1371.79        2500.00        2.33400       0.745514        54.4505        29.9896        8.66067        3.32704       0.492741                 NaN
  1368.59        2500.00        2.33392       0.745535        54.4504        29.9896        8.66069        3.32707       0.492771                 NaN
  1365.38        2500.00        2.33384       0.745556        54.4503        29.9897        8.66070        3.32709       0.492800                 NaN
  1362.18        2500.00        2.33376       0.745577        54.4502        29.9898        8.66071        3.32711       0.492830                 NaN
  1358.97        2500.00        1.23367       0.801806        54.5389        29.4757        8.96542        3.97553        1.00902                 NaN
  1355.77        2500.00        1.23363       0.801828        54.5387        29.4758        8.96542        3.97556        1.00907                 NaN
  1352.56        2500.00        1.23360       0.801850        54.5386        29.4758        8.96543        3.97558        1.00913                 NaN
  1349.36        2500.00        1.23357       0.801872        54.5385        29.4759        8.96544        3.97560        1.00919                 NaN
  1346.15        2500.00        1.23353       0.801893        54.5383        29.4759        8.96544        3.97562        1.00925                 NaN
  1342.95        2500.00        1.23350       0.801915        54.5382        29.4760        8.96545        3.97565        1.00931                 NaN
  1339.74        2500.00        1.23347       0.801937        54.5381        29.4760        8.96546        3.97567        1.00937                 NaN
  1336.54        2500.00        1.23343       0.801959        54.5379        29.4761        8.96547        3.97569        1.00943                 NaN
  1333.33        2500.00       0.343847       0.856716        54.5644        29.1304        4.45577        9.21938        1.42947                 NaN
  1330.13        2500.00       0.343840       0.856739        54.5642        29.1305        4.45580        9.21939        1.42955                 NaN
  1326.92        2500.00       0.140156       0.870401        54.5624        29.0673        9.28090        4.55672        1.52208                 NaN
  1323.72        2500.00       0.395985E-001  0.877511        54.5583        29.0403        9.31327        4.60519        1.56583                 NaN
  1320.51        2500.00                 NaN  0.882262        54.5637        29.0247        9.31650        4.61586        1.59698                 NaN
  1317.31        2500.00                 NaN  0.882285        54.5635        29.0248        9.31650        4.61589        1.59707                 NaN
  1314.10        2500.00                 NaN  0.882308        54.5633        29.0248        9.31651        4.61591        1.59716                 NaN
  1310.90        2500.00                 NaN  0.882332        54.5631        29.0248        9.31651        4.61593        1.59726                 NaN
  1307.69        2500.00                 NaN  0.899712        54.5807        29.0078        4.56022        9.28121        1.67034                 NaN
  1304.49        2500.00                 NaN  0.899735        54.5806        29.0078        4.56025        9.28121        1.67044                 NaN
  1301.28        2500.00                 NaN  0.899759        54.5804        29.0079        4.56027        9.28122        1.67053                 NaN
  1298.08        2500.00                 NaN  0.899782        54.5802        29.0079        4.56030        9.28122        1.67063                 NaN
  1294.87        2500.00                 NaN  0.899806        54.5800        29.0079        4.56032        9.28122        1.67073                 NaN
  1291.67        2500.00                 NaN  0.899829        54.5798        29.0080        4.56034        9.28123        1.67083                 NaN
  1288.46        2500.00                 NaN  0.899852        54.5796        29.0080        4.56037        9.28123        1.67092                 NaN
  1285.26        2500.00                 NaN  0.899876        54.5794        29.0081        4.56039        9.28123        1.67102                 NaN
  1282.05        2500.00                 NaN  0.931722        54.6350        28.9549        9.20075        4.45260        1.82503                 NaN
  1278.85        2500.00                 NaN  0.931746        54.6348        28.9550        9.20075        4.45262        1.82514                 NaN
  1275.64        2500.00                 NaN  0.931770        54.6346        28.9550        9.20075        4.45265        1.82525                 NaN
  1272.44        2500.00                 NaN  0.931794        54.6344        28.9551        9.20075        4.45267        1.82535                 NaN
  1269.23        2500.00                 NaN  0.931818        54.6342        28.9551        9.20075        4.45270        1.82546                 NaN
  1266.03        2500.00                 NaN  0.931842        54.6340        28.9552        9.20075        4.45272        1.82556                 NaN
  1262.82        2500.00                 NaN  0.931866        54.6338        28.9552        9.20075        4.45275        1.82567                 NaN
  1259.62        2500.00                 NaN  0.931889        54.6336        28.9553        9.20075        4.45277        1.82577                 NaN
  1256.41        2500.00                 NaN  0.966838        54.6731        28.9112        4.34811        9.13957        1.96118                 NaN
  1253.21        2500.00                 NaN  0.966862        54.6729        28.9112        4.34814        9.13957        1.96129                 NaN
  1250.00        2500.00                 NaN  0.966887        54.6727        28.9113        4.34816        9.13957        1.96140                 NaN
  1246.79        2500.00                 NaN  0.966912        54.6725        28.9113        4.34819        9.13957        1.96151                 NaN
  1243.59        2500.00                 NaN  0.966936        54.6723        28.9114        4.34821        9.13957        1.96163                 NaN
  1240.38        2500.00                 NaN  0.966961        54.6720        28.9114        4.34824        9.13957        1.96174                 NaN
  1237.18        2500.00                 NaN  0.966985        54.6718        28.9115        4.34826        9.13957        1.96185                 NaN
  1233.97        2500.00                 NaN  0.967009        54.6716        28.9116        4.34829        9.13957        1.96197                 NaN
  1230.77        2500.00                 NaN   1.00402        54.7028        28.8719        9.08711        4.24796        2.08627                 NaN
  1227.56        2500.00                 NaN   1.00404        54.7025        28.8719        9.08711        4.24798        2.08639                 NaN
  1224.36        2500.00                 NaN   1.00407        54.7023        28.8720        9.08711        4.24801        2.08651                 NaN
  1221.15        2500.00                 NaN   1.00409        54.7021        28.8721        9.08710        4.24804        2.08663                 NaN
  1217.95        2500.00                 NaN   1.00412        54.7019        28.8721        9.08710        4.24806        2.08674                 NaN
  1214.74        2500.00                 NaN   1.00414        54.7016        28.8722        9.08710        4.24809        2.08686                 NaN
  1211.54        2500.00                 NaN   1.00417        54.7014        28.8722        9.08710        4.24811        2.08698                 NaN
  1208.33        2500.00                 NaN   1.00419        54.7012        28.8723        9.08709        4.24814        2.08710                 NaN
  1205.13        2500.00                 NaN   1.04292        54.7256        28.8404        9.04334        4.14857        2.19924                 NaN
  1201.92        2500.00                 NaN   1.04294        54.7253        28.8404        9.04333        4.14860        2.19936                 NaN
  1198.72        2500.00                 NaN   1.04297        54.7251        28.8405        9.04333        4.14862        2.19949                 NaN
  1195.51        2500.00                 NaN   1.04300        54.7249        28.8405        9.04332        4.14865        2.19962                 NaN
  1192.31        2500.00                 NaN   1.04302        54.7246        28.8406        9.04332        4.14867        2.19974                 NaN
  1189.10        2500.00                 NaN   1.04305        54.7244        28.8407        9.04331        4.14870        2.19987                 NaN
  1185.90        2500.00                 NaN   1.04307        54.7242        28.8407        9.04331        4.14873        2.19999                 NaN
  1182.69        2500.00                 NaN   1.04310        54.7239        28.8408        9.04330        4.14875        2.20012                 NaN
  1179.49        2500.00                 NaN   1.08387        54.7437        28.8126        9.00842        4.05160        2.29979                 NaN
  1176.28        2500.00                 NaN   1.08389        54.7435        28.8127        9.00841        4.05163        2.29992                 NaN
  1173.08        2500.00                 NaN   1.08392        54.7432        28.8127        9.00841        4.05165        2.30005                 NaN
  1169.87        2500.00                 NaN   1.08395        54.7430        28.8128        9.00840        4.05168        2.30018                 NaN
  1166.67        2500.00                 NaN   1.08397        54.7428        28.8129        9.00840        4.05171        2.30031                 NaN
  1163.46        2500.00                 NaN   1.08400        54.7425        28.8129        9.00839        4.05173        2.30044                 NaN
  1160.26        2500.00                 NaN   1.08403        54.7423        28.8130        9.00838        4.05176        2.30057                 NaN
  1157.05        2500.00                 NaN   1.08405        54.7420        28.8131        9.00838        4.05179        2.30071                 NaN
  1153.85        2500.00                 NaN   1.12712        54.7508        28.7995        3.95514        8.97572        2.39167                 NaN
  1150.64        2500.00                 NaN   1.12715        54.7506        28.7996        3.95516        8.97571        2.39180                 NaN
  1147.44        2500.00                 NaN   1.12718        54.7503        28.7997        3.95519        8.97570        2.39194                 NaN
  1144.23        2500.00                 NaN   1.12721        54.7501        28.7997        3.95522        8.97569        2.39207                 NaN
  1141.03        2500.00                 NaN   1.12723        54.7498        28.7998        3.95525        8.97569        2.39221                 NaN
  1137.82        2500.00                 NaN   1.12726        54.7496        28.7999        3.95527        8.97568        2.39235                 NaN
  1134.62        2500.00                 NaN   1.12729        54.7493        28.7999        3.95530        8.97567        2.39248                 NaN
  1131.41        2500.00                 NaN   1.12732        54.7491        28.8000        3.95533        8.97566        2.39262                 NaN
  1128.21        2500.00                 NaN   1.17401        54.7467        28.8000        3.85813        8.95353        2.46768                 NaN
  1125.00        2500.00                 NaN   1.17404        54.7464        28.8001        3.85816        8.95352        2.46782                 NaN
  1121.79        2500.00                 NaN   1.17406        54.7461        28.8001        3.85819        8.95351        2.46796                 NaN
  1118.59        2500.00                 NaN   1.17409        54.7459        28.8002        3.85822        8.95350        2.46810                 NaN
  1115.38        2500.00                 NaN   1.17412        54.7456        28.8003        3.85824        8.95350        2.46824                 NaN
  1112.18        2500.00                 NaN   1.17415        54.7454        28.8003        3.85827        8.95349        2.46838                 NaN
  1108.97        2500.00                 NaN   1.17418        54.7451        28.8004        3.85830        8.95348        2.46852                 NaN
  1105.77        2500.00                 NaN   1.17421        54.7449        28.8005        3.85833        8.95347        2.46866                 NaN
  1102.56        2500.00                 NaN   1.22440        54.7312        28.8102        8.94505        3.76038        2.52868                 NaN
