|6.6.6
Archiving\03_Data\Deq/QFM_m1/WD94/WD94_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  2000.00        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2595                 NaN  0.740525                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.4446                 NaN   1.55544                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        97.6318                 NaN   2.36825                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.8189                 NaN   3.18107                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.0503                 NaN   3.94967                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.2652       0.114805E-002   4.73364                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        94.5027       0.171306E-001   5.48020                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        93.7401       0.331136E-001   6.22677                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        92.9775       0.490969E-001   6.97336                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        92.2150       0.650807E-001   7.71997                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        91.4523       0.810648E-001   8.46660                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.6897       0.970493E-001   9.21324                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.9271       0.113034        9.95991                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        89.1644       0.129020        10.7066                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        88.4337       0.145062        11.4212                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        87.7031       0.161104        12.1358                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        86.9723       0.177147        12.8505                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        86.2416       0.193190        13.5652                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        85.5109       0.209234        14.2799                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        84.7801       0.225278        14.9946                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        84.0494       0.241323        15.7093                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        83.3186       0.257368        16.4241                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        82.6503       0.271691        17.0780                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        81.9821       0.286014        17.7319                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        81.3139       0.300337        18.3858                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        80.6456       0.314661        19.0398                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        79.9773       0.328985        19.6937                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        79.3090       0.343309        20.3477                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        78.6407       0.357634        21.0017                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        77.9723       0.371959        21.6557                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        77.3027       0.385364        22.3119                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        76.6331       0.398769        22.9681                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        75.9635       0.412175        23.6243                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        75.2938       0.425581        24.2806                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        74.6241       0.438987        24.9369                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        73.9544       0.452394        25.5932                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        73.2847       0.465801        26.2495                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        72.6150       0.479208        26.9058                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        71.9791       0.491595        27.5293                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        71.3432       0.503983        28.1528                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        70.7073       0.516371        28.7763                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        70.0714       0.528759        29.3999                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        69.4354       0.541148        30.0235                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        68.7994       0.553537        30.6470                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        68.1634       0.565926        31.2706                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        67.5274       0.578316        31.8943                 NaN            NaN            NaN            NaN            NaN
