|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1426.28        500.000        94.1651        2.13432        3.70062                 NaN            NaN            NaN            NaN            NaN
  1425.21        500.000        99.3627       0.218803       0.418459                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3666       0.416290       0.217156                 NaN            NaN            NaN            NaN            NaN
  1423.07        500.000        99.3695       0.216586       0.413953                 NaN            NaN            NaN            NaN            NaN
  1422.01        500.000        99.3716       0.412874       0.215524                 NaN            NaN            NaN            NaN            NaN
  1420.94        500.000        99.3771       0.213416       0.409502                 NaN            NaN            NaN            NaN            NaN
  1419.87        500.000        99.3809       0.406742       0.212309                 NaN            NaN            NaN            NaN            NaN
  1418.80        500.000        99.3824       0.211269       0.406336                 NaN            NaN            NaN            NaN            NaN
  1417.73        500.000        99.0931       0.341944       0.438032       0.126885                 NaN            NaN            NaN            NaN
  1416.66        500.000        98.3320       0.522148       0.683905       0.461951                 NaN            NaN            NaN            NaN
  1415.60        500.000        98.3493       0.676836       0.516865       0.456955                 NaN            NaN            NaN            NaN
  1414.53        500.000        98.3753       0.666425       0.508685       0.449635                 NaN            NaN            NaN            NaN
  1413.46        500.000        98.2857       0.536986       0.702544       0.474436       0.285963E-003            NaN            NaN            NaN
  1412.39        500.000        98.5218       0.605390       0.464062       0.408780                 NaN            NaN            NaN            NaN
  1411.32        500.000        98.4362       0.490317       0.641234       0.432204       0.130779E-005            NaN            NaN            NaN
  1410.25        500.000        96.8161        1.04254        1.19166       0.888466       0.612598E-001            NaN            NaN            NaN
  1409.19        500.000        99.9866       0.303400E-002  0.485828E-002  0.374164E-002  0.173017E-002            NaN            NaN            NaN
  1408.12        500.000        98.6355       0.475274       0.368683       0.395086       0.125407                 NaN            NaN            NaN
  1407.05        500.000        98.5128       0.520431       0.394091       0.431859       0.140865                 NaN            NaN            NaN
  1405.98        500.000        98.5365       0.513229       0.385082       0.424587       0.140605                 NaN            NaN            NaN
  1404.91        500.000        98.5486       0.376610       0.510703       0.421466       0.142583                 NaN            NaN            NaN
  1403.84        500.000        98.5728       0.505555       0.364123       0.414527       0.142949                 NaN            NaN            NaN
  1402.78        500.000        98.5879       0.501879       0.355182       0.410577       0.144471                 NaN            NaN            NaN
  1401.71        500.000        98.6026       0.346706       0.498496       0.406521       0.145684                 NaN            NaN            NaN
  1400.64        500.000        98.6227       0.337227       0.493231       0.400788       0.146088                 NaN            NaN            NaN
  1399.57        500.000        98.6379       0.498100       0.296910       0.399745       0.167375                 NaN            NaN            NaN
  1398.50        500.000        98.6541       0.477775       0.350312       0.389323       0.128526                 NaN            NaN            NaN
  1397.43        500.000        98.6681       0.483112       0.310277       0.388482       0.150014                 NaN            NaN            NaN
  1396.37        500.000        98.6855       0.477483       0.301931       0.383890       0.151242                 NaN            NaN            NaN
  1395.30        500.000        98.7039       0.473858       0.292952       0.378186       0.151124                 NaN            NaN            NaN
  1394.23        500.000        98.7091       0.285895       0.474871       0.376867       0.153292                 NaN            NaN            NaN
  1393.16        500.000        98.7253       0.279482       0.466732       0.373273       0.155235                 NaN            NaN            NaN
  1392.09        500.000        98.5223       0.540195       0.325409       0.430007       0.182083                 NaN            NaN            NaN
  1391.02        500.000        98.9863       0.376574       0.213989       0.296254       0.126931                 NaN            NaN            NaN
  1389.96        500.000        98.7706       0.253941       0.459456       0.359764       0.156233                 NaN            NaN            NaN
  1388.89        500.000        98.7836       0.456510       0.245551       0.356304       0.158055                 NaN            NaN            NaN
  1387.82        500.000        98.7967       0.240704       0.453242       0.352316       0.157012                 NaN            NaN            NaN
  1386.75        500.000        98.8111       0.230905       0.450288       0.348636       0.159066                 NaN            NaN            NaN
  1385.68        500.000        98.8241       0.223997       0.447464       0.344806       0.159680                 NaN            NaN            NaN
  1384.61        500.000        98.8207       0.226550       0.445858       0.346354       0.160565                 NaN            NaN            NaN
  1383.55        500.000        98.8596       0.205822       0.439314       0.334212       0.161065                 NaN            NaN            NaN
  1382.48        500.000        98.8613       0.203296       0.439031       0.334300       0.162081                 NaN            NaN            NaN
  1381.41        500.000        98.8707       0.438241       0.195274       0.332005       0.163798                 NaN            NaN            NaN
  1380.34        500.000        98.8794       0.437906       0.187965       0.329577       0.165178                 NaN            NaN            NaN
  1379.27        500.000        98.9014       0.428453       0.186050       0.322442       0.161667                 NaN            NaN            NaN
  1378.20        500.000        98.9059       0.430583       0.177097       0.321647       0.164730                 NaN            NaN            NaN
  1377.13        500.000        98.9164       0.429077       0.169992       0.318757       0.165806                 NaN            NaN            NaN
  1376.07        500.000        97.6727       0.918124       0.379273       0.681035       0.348830                 NaN            NaN            NaN
  1375.00        500.000        99.8713       0.160746E-001  0.540766E-001  0.374654E-001  0.210505E-001            NaN            NaN            NaN
  1373.93        500.000        99.2461       0.302580       0.109965       0.221526       0.119822                 NaN            NaN            NaN
  1372.86        500.000        98.9593       0.145529       0.420126       0.306624       0.168429                 NaN            NaN            NaN
  1371.79        500.000        98.9677       0.357523       0.324995       0.289169       0.606495E-001            NaN            NaN            NaN
  1370.72        500.000        98.6501       0.608211       0.201100E-002  0.411777       0.327862                 NaN            NaN            NaN
  1369.66        500.000        99.3099       0.923880E-001  0.282228       0.202289       0.113215                 NaN            NaN            NaN
  1368.59        500.000        98.9987       0.125593       0.411440       0.295002       0.169221                 NaN            NaN            NaN
  1367.52        500.000        99.0079       0.410040       0.119828       0.292340       0.169890                 NaN            NaN            NaN
  1366.45        500.000        99.0179       0.116380       0.407114       0.289255       0.169369                 NaN            NaN            NaN
  1365.38        500.000        99.0266       0.110354       0.406435       0.286787       0.169854                 NaN            NaN            NaN
  1364.31        500.000        99.0358       0.105623       0.404518       0.284080       0.169990                 NaN            NaN            NaN
  1363.25        500.000        99.0451       0.402658       0.100372       0.281468       0.170428                 NaN            NaN            NaN
  1362.18        500.000        99.0531       0.401032       0.965577E-001  0.278971       0.170359                 NaN            NaN            NaN
  1361.11        500.000        99.0622       0.399226       0.916545E-001  0.276361       0.170558                 NaN            NaN            NaN
  1360.04        500.000        99.0701       0.874660E-001  0.397479       0.274119       0.170872                 NaN            NaN            NaN
  1358.97        500.000        99.0797       0.396078       0.829075E-001  0.271062       0.170300                 NaN            NaN            NaN
  1357.90        500.000        99.0876       0.393683       0.793872E-001  0.268743       0.170560                 NaN            NaN            NaN
  1356.84        500.000        99.1730       0.335071       0.134257       0.239071       0.118566                 NaN            NaN            NaN
  1355.77        500.000        99.0219       0.128605E-001  0.451135       0.292330       0.221790                 NaN            NaN            NaN
  1354.70        500.000        99.1110       0.389923       0.661571E-001  0.261884       0.171007                 NaN            NaN            NaN
  1353.63        500.000        99.1209       0.387145       0.639898E-001  0.258510       0.169422                 NaN            NaN            NaN
  1352.56        500.000        99.1265       0.604982E-001  0.386655       0.256870       0.169436                 NaN            NaN            NaN
  1351.49        500.000        99.1322       0.386149       0.571355E-001  0.255118       0.169383                 NaN            NaN            NaN
  1350.43        500.000        99.1427       0.382555       0.542692E-001  0.251983       0.168507                 NaN            NaN            NaN
  1349.36        500.000        99.1498       0.382150       0.494456E-001  0.249891       0.168717                 NaN            NaN            NaN
  1348.29        500.000        99.1558       0.380981       0.471843E-001  0.247914       0.168154                 NaN            NaN            NaN
  1347.22        500.000        99.1633       0.444796E-001  0.379003       0.245600       0.167570                 NaN            NaN            NaN
  1346.15        500.000        99.1703       0.412464E-001  0.377842       0.243478       0.167180                 NaN            NaN            NaN
  1345.08        500.000        99.1774       0.376678E-001  0.376885       0.241293       0.166797                 NaN            NaN            NaN
  1344.02        500.000        99.1841       0.360423E-001  0.374944       0.239100       0.165806                 NaN            NaN            NaN
  1342.95        500.000        99.1906       0.342072E-001  0.373000       0.237071       0.165133                 NaN            NaN            NaN
