|6.6.6
Archiving\03_Data\eqLP/QFM_m5/Y98/Y98_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1900.64        500.000        97.8136       0.785068        1.39295       0.842721E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.8037       0.785204        1.40263       0.842792E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        97.7943       0.785337        1.41191       0.842861E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        97.7849       0.785470        1.42120       0.842930E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        97.7755       0.785604        1.43049       0.843000E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        97.7660       0.785737        1.43979       0.843069E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        97.7566       0.785870        1.44908       0.843138E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        97.7472       0.786003        1.45838       0.843207E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        97.7378       0.786136        1.46768       0.843277E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        97.7283       0.786269        1.47698       0.843346E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        97.7193       0.786399        1.48590       0.843413E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        97.7102       0.786530        1.49482       0.843480E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        97.7012       0.786660        1.50374       0.843547E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        97.6921       0.786790        1.51266       0.843613E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        97.6831       0.786920        1.52159       0.843680E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        97.6740       0.787050        1.53052       0.843747E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        97.6649       0.787180        1.53945       0.843815E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        97.6559       0.787311        1.54838       0.843882E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        97.6472       0.787438        1.55693       0.843946E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        97.6385       0.787566        1.56549       0.844011E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        97.6298       0.787693        1.57404       0.844075E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        97.6211       0.787820        1.58260       0.844140E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        97.6124       0.787948        1.59116       0.844205E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        97.6038       0.788075        1.59972       0.844270E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        97.5951       0.788202        1.60829       0.844335E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        97.5864       0.788330        1.61685       0.844400E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        97.5781       0.788454        1.62505       0.844462E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        97.5697       0.788579        1.63324       0.844524E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        97.5614       0.788704        1.64144       0.844587E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        97.5531       0.788828        1.64964       0.844649E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        97.5448       0.788953        1.65784       0.844712E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        97.5364       0.789078        1.66604       0.844775E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        97.5281       0.789202        1.67424       0.844837E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        97.5198       0.789327        1.68245       0.844900E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        97.5118       0.789449        1.69029       0.844961E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        97.5039       0.789571        1.69813       0.845021E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        97.4959       0.789693        1.70597       0.845081E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        97.4879       0.789815        1.71381       0.845142E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        97.4800       0.789937        1.72166       0.845202E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        97.4720       0.790058        1.72950       0.845263E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        97.4640       0.790180        1.73735       0.845324E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        97.4560       0.790302        1.74520       0.845384E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        97.4484       0.790422        1.75269       0.845443E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        97.4408       0.790541        1.76018       0.845501E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        97.4332       0.790660        1.76767       0.845559E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        97.4256       0.790780        1.77516       0.845618E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        97.4180       0.790899        1.78265       0.845676E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        97.4104       0.791018        1.79015       0.845735E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        97.4028       0.791138        1.79764       0.845794E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        97.3951       0.791257        1.80514       0.845853E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        97.3879       0.791374        1.81228       0.845909E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        97.3806       0.791491        1.81942       0.845965E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        97.3734       0.791608        1.82656       0.846022E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        97.3661       0.791724        1.83370       0.846078E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        97.3589       0.791841        1.84085       0.846135E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        97.3516       0.791958        1.84799       0.846192E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        97.3443       0.792075        1.85514       0.846248E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        97.3371       0.792191        1.86229       0.846305E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        97.3302       0.792306        1.86908       0.846359E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        97.3232       0.792420        1.87587       0.846414E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        97.3163       0.792535        1.88267       0.846468E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        97.3094       0.792649        1.88946       0.846523E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        97.3025       0.792763        1.89626       0.846578E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        97.2956       0.792877        1.90305       0.846633E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        97.2887       0.792992        1.90985       0.846687E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        97.2818       0.793106        1.91665       0.846742E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        97.2751       0.793218        1.92319       0.846795E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        97.2685       0.793331        1.92973       0.846849E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        97.2618       0.793443        1.93627       0.846902E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        97.2552       0.793556        1.94281       0.846955E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        97.2486       0.793668        1.94923       0.847008E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        97.2421       0.793779        1.95564       0.847061E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        97.2357       0.793890        1.96197       0.847113E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        97.2165       0.794030        1.96972       0.847196E-002  0.113289E-001            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        97.2045       0.794144        1.97496       0.847251E-002  0.179524E-001            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        97.1925       0.794258        1.98020       0.847307E-002  0.245779E-001            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        97.1805       0.794372        1.98544       0.847363E-002  0.312055E-001            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        97.1685       0.794486        1.99068       0.847418E-002  0.378351E-001            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        97.1565       0.794600        1.99592       0.847474E-002  0.444668E-001            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        97.1445       0.794714        2.00117       0.847530E-002  0.511005E-001            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        97.1325       0.794828        2.00641       0.847586E-002  0.577363E-001            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        97.1205       0.794942        2.01166       0.847642E-002  0.643741E-001            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        97.1041       0.795061        2.01653       0.847703E-002  0.757893E-001            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        97.0877       0.795180        2.02139       0.847765E-002  0.872081E-001            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        97.0713       0.795299        2.02626       0.847827E-002  0.986306E-001            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        97.0549       0.795418        2.03112       0.847888E-002  0.110057                 NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        97.0389       0.795536        2.03588       0.847949E-002  0.121192                 NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        97.0229       0.795653        2.04064       0.848010E-002  0.132330                 NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        97.0071       0.795771        2.04534       0.848070E-002  0.143348                 NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        96.3198       0.795886        2.02295       0.819914E-002  0.155868       0.697299                 NaN            NaN            NaN            NaN
  1612.18        500.000        95.5862       0.795989        1.99678       0.789260E-002  0.168337        1.44478                 NaN            NaN            NaN            NaN
  1608.97        500.000        94.8525       0.796089        1.97059       0.758600E-002  0.180809        2.19242                 NaN            NaN            NaN            NaN
  1605.77        500.000        94.1186       0.796187        1.94440       0.727934E-002  0.193284        2.94021                 NaN            NaN            NaN            NaN
  1602.56        500.000        93.3846       0.796281        1.91819       0.697263E-002  0.205761        3.68816                 NaN            NaN            NaN            NaN
  1599.36        500.000        91.6987       0.797804        1.91611       0.693150E-002  0.196953        3.82890        1.55464                 NaN            NaN            NaN
  1596.15        500.000        89.8276       0.799636        1.92002       0.695704E-002  0.182606        3.81711        3.44605                 NaN            NaN            NaN
  1592.95        500.000        88.0518       0.801379        1.92331       0.698243E-002  0.167837        3.80305        5.24569                 NaN            NaN            NaN
  1589.74        500.000        86.2682       0.803127        1.92662       0.700792E-002  0.153002        3.78891        7.05311                 NaN            NaN            NaN
  1586.54        500.000        84.7523       0.804630        1.92823       0.703283E-002  0.136919        3.76959        8.60127                 NaN            NaN            NaN
  1583.33        500.000        83.2309       0.806137        1.92984       0.705782E-002  0.120774        3.75019        10.1551                 NaN            NaN            NaN
  1580.13        500.000        81.7038       0.807648        1.93145       0.708289E-002  0.104568        3.73071        11.7148                 NaN            NaN            NaN
  1576.92        500.000        80.1710       0.809163        1.93307       0.710804E-002  0.883002E-001   3.71115        13.2802                 NaN            NaN            NaN
  1573.72        500.000        78.6326       0.810681        1.93468       0.713326E-002  0.719710E-001   3.69151        14.8514                 NaN            NaN            NaN
  1570.51        500.000        77.0886       0.812203        1.93630       0.715855E-002  0.555798E-001   3.67178        16.4284                 NaN            NaN            NaN
  1567.31        500.000        75.5388       0.813728        1.93792       0.718393E-002  0.391265E-001   3.65198        18.0113                 NaN            NaN            NaN
  1564.10        500.000        73.9833       0.815258        1.93954       0.720938E-002  0.226109E-001   3.63209        19.6000                 NaN            NaN            NaN
  1560.90        500.000        72.6263       0.816605        1.93977       0.723343E-002  0.456994E-002   3.61082        20.9947                 NaN            NaN            NaN
  1557.69        500.000        71.3809       0.817790        1.93564       0.723376E-002            NaN   3.64241        22.2160                 NaN            NaN            NaN
  1554.49        500.000        70.1995       0.818902        1.92985       0.722886E-002            NaN   3.68434        23.3602                 NaN            NaN            NaN
  1551.28        500.000        69.0149       0.820015        1.92404       0.722393E-002            NaN   3.72637        24.5074                 NaN            NaN            NaN
  1548.08        500.000        67.9224       0.821037        1.91694       0.721713E-002            NaN   3.77119        25.5612                 NaN            NaN            NaN
  1544.87        500.000        66.8273       0.822060        1.90982       0.721030E-002            NaN   3.81612        26.6175                 NaN            NaN            NaN
  1541.67        500.000        65.7295       0.823085        1.90269       0.720344E-002            NaN   3.86115        27.6764                 NaN            NaN            NaN
  1538.46        500.000        64.6290       0.824110        1.89553       0.719655E-002            NaN   3.90628        28.7378                 NaN            NaN            NaN
  1535.26        500.000        63.6565       0.825019        1.88645       0.719026E-002            NaN   3.94720        29.6776                 NaN            NaN            NaN
  1532.05        500.000        62.6820       0.825928        1.87735       0.718395E-002            NaN   3.98819        30.6194                 NaN            NaN            NaN
  1528.85        500.000        61.7054       0.826839        1.86822       0.717761E-002            NaN   4.02927        31.5631                 NaN            NaN            NaN
  1525.64        500.000        60.7267       0.827750        1.85908       0.717125E-002            NaN   4.07044        32.5088                 NaN            NaN            NaN
  1522.44        500.000        59.7460       0.828662        1.84991       0.716488E-002            NaN   4.11169        33.4566                 NaN            NaN            NaN
  1519.23        500.000        58.7632       0.829575        1.84073       0.715848E-002            NaN   4.15302        34.4063                 NaN            NaN            NaN
  1516.03        500.000        57.7784       0.830488        1.83152       0.715205E-002            NaN   4.19444        35.3580                 NaN            NaN            NaN
  1512.82        500.000        56.7915       0.831403        1.82228       0.714561E-002            NaN   4.23594        36.3118                 NaN            NaN            NaN
  1509.62        500.000        55.8983       0.832227        1.81108       0.713662E-002            NaN   4.28177        37.1695                 NaN            NaN            NaN
  1506.41        500.000        55.0034       0.833053        1.79985       0.712760E-002            NaN   4.32768        38.0289                 NaN            NaN            NaN
  1503.21        500.000        54.1069       0.833879        1.78859       0.711856E-002            NaN   4.37368        38.8898                 NaN            NaN            NaN
  1500.00        500.000        53.2087       0.834706        1.77732       0.710950E-002            NaN   4.41976        39.7524                 NaN            NaN            NaN
  1496.79        500.000        52.3150       0.835537        1.76568       0.710672E-002            NaN   4.45058        40.4724       0.153670                 NaN            NaN
  1493.59        500.000        50.9654       0.836904        1.76414       0.717227E-002            NaN   4.32795        39.8494        2.24909                 NaN            NaN
  1490.38        500.000        49.6078       0.838295        1.76226       0.723537E-002            NaN   4.21162        39.2094        4.36338                 NaN            NaN
  1487.18        500.000        48.2460       0.839689        1.76037       0.729865E-002            NaN   4.09489        38.5671        6.48466                 NaN            NaN
  1483.97        500.000        46.8760       0.841112        1.75816       0.735850E-002            NaN   3.98647        37.9860        8.54490                 NaN            NaN
  1480.77        500.000        45.0506       0.843201        1.76912       0.744202E-002            NaN   3.83326        37.5473        9.95545       0.993623                 NaN
  1477.56        500.000        45.0490       0.843236        1.76912       0.744180E-002            NaN   3.83337        37.5484        9.95575       0.993650                 NaN
  1474.36        500.000        41.5052       0.847284        1.78902       0.759752E-002            NaN   3.55260        36.9109        3.10127        12.2861                 NaN
  1471.15        500.000        41.5037       0.847317        1.78902       0.759728E-002            NaN   3.55269        36.9119        3.10134        12.2865                 NaN
  1467.95        500.000        41.5022       0.847350        1.78901       0.759703E-002            NaN   3.55278        36.9128        3.10142        12.2868                 NaN
  1464.74        500.000        41.5007       0.847383        1.78901       0.759679E-002            NaN   3.55287        36.9138        3.10149        12.2872                 NaN
  1461.54        500.000        35.3390       0.854335        1.80279       0.782779E-002            NaN   3.16190        36.3301        15.5527        6.95133                 NaN
  1458.33        500.000        35.3377       0.854364        1.80278       0.782750E-002            NaN   3.16196        36.3309        15.5530        6.95147                 NaN
  1455.13        500.000        35.3363       0.854393        1.80276       0.782721E-002            NaN   3.16203        36.3316        15.5534        6.95161                 NaN
  1451.92        500.000        35.3350       0.854422        1.80275       0.782692E-002            NaN   3.16209        36.3324        15.5538        6.95175                 NaN
  1448.72        500.000        30.1821       0.860144        1.78392       0.796329E-002            NaN   2.97413        36.4772        17.3535        10.3610                 NaN
  1445.51        500.000        27.9507       0.862158        1.79411       0.799572E-002            NaN   2.94382        36.4385        18.2639        11.2213       0.517406     
  1442.31        500.000        25.1008       0.864471        1.81311       0.801781E-002            NaN   2.94623        36.2811        12.0260        19.5398        1.42044     
  1439.10        500.000        25.0998       0.864492        1.81308       0.801745E-002            NaN   2.94626        36.2815        12.0261        19.5401        1.42055     
  1435.90        500.000        20.7073       0.867823        1.81839       0.798957E-002            NaN   3.10057        35.8925        13.2434        21.5125        2.84954     
  1432.69        500.000        20.7064       0.867842        1.81836       0.798918E-002            NaN   3.10060        35.8928        13.2435        21.5128        2.84974     
  1429.49        500.000        20.7055       0.867860        1.81832       0.798880E-002            NaN   3.10062        35.8931        13.2436        21.5130        2.84994     
  1426.28        500.000        20.7046       0.867878        1.81829       0.798841E-002            NaN   3.10065        35.8935        13.2437        21.5133        2.85014     
  1423.08        500.000        20.7037       0.867897        1.81825       0.798802E-002            NaN   3.10067        35.8938        13.2438        21.5135        2.85034     
  1419.87        500.000        20.7029       0.867915        1.81822       0.798763E-002            NaN   3.10070        35.8941        13.2439        21.5138        2.85053     
  1416.67        500.000        20.7020       0.867933        1.81818       0.798724E-002            NaN   3.10072        35.8944        13.2440        21.5140        2.85073     
  1413.46        500.000        20.7011       0.867951        1.81815       0.798686E-002            NaN   3.10075        35.8948        13.2441        21.5143        2.85093     
  1410.26        500.000        11.2522       0.873141        1.60968       0.736013E-002            NaN   4.79839        33.9048        15.6598        25.6573        6.23745     
  1407.05        500.000        11.2517       0.873152        1.60964       0.735972E-002            NaN   4.79839        33.9048        15.6598        25.6573        6.23783     
  1403.85        500.000        11.2513       0.873163        1.60960       0.735930E-002            NaN   4.79839        33.9048        15.6597        25.6574        6.23821     
  1400.64        500.000        11.2508       0.873174        1.60955       0.735888E-002            NaN   4.79839        33.9048        15.6597        25.6575        6.23860     
  1397.44        500.000        11.2504       0.873185        1.60951       0.735847E-002            NaN   4.79839        33.9049        15.6597        25.6576        6.23898     
  1394.23        500.000        11.2499       0.873196        1.60946       0.735806E-002            NaN   4.79839        33.9049        15.6597        25.6577        6.23936     
  1391.03        500.000        11.2495       0.873207        1.60942       0.735764E-002            NaN   4.79839        33.9049        15.6597        25.6578        6.23974     
  1387.82        500.000        11.2490       0.873217        1.60938       0.735723E-002            NaN   4.79839        33.9050        15.6597        25.6579        6.24012     
  1384.62        500.000        6.58043       0.873193        1.20068       0.625311E-002            NaN   7.52560        31.3763        16.5666        27.5910        8.27996     
  1381.41        500.000        6.13255       0.872977        1.13486       0.608160E-002  0.148521E-001   7.93815        30.8610        16.6232        27.9127        8.50364     
  1378.21        500.000        5.70121       0.872701        1.06342       0.589883E-002  0.416774E-001   8.37443        30.1954        28.3552        16.6622        8.72785     
  1375.00        500.000        5.70102       0.872708        1.06339       0.589848E-002  0.416785E-001   8.37439        30.1953        28.3551        16.6621        8.72835     
  1371.79        500.000        4.89145       0.872036       0.911579       0.550964E-002  0.961937E-001   9.29838        28.8164        29.2331        16.7110        9.16430     
  1368.59        500.000        4.89130       0.872042       0.911550       0.550930E-002  0.961960E-001   9.29833        28.8163        29.2331        16.7109        9.16481     
  1365.38        500.000        4.89114       0.872048       0.911520       0.550896E-002  0.961984E-001   9.29829        28.8161        29.2330        16.7108        9.16533     
  1362.18        500.000        4.89099       0.872054       0.911491       0.550863E-002  0.962008E-001   9.29824        28.8160        29.2329        16.7107        9.16584     
  1358.97        500.000        3.44238       0.870270       0.569048       0.462797E-002  0.209752        11.3703        25.8345        16.7134        30.9872        9.99842     
  1355.77        500.000        3.44228       0.870275       0.569029       0.462768E-002  0.209757        11.3703        25.8344        16.7133        30.9871        9.99897     
  1352.56        500.000        3.44218       0.870280       0.569011       0.462739E-002  0.209761        11.3702        25.8342        16.7132        30.9870        9.99952     
  1349.36        500.000        3.44208       0.870285       0.568992       0.462711E-002  0.209766        11.3701        25.8341        16.7131        30.9869        10.0001     
  1346.15        500.000        2.15542       0.867911       0.167299       0.358625E-002  0.329982        13.7894        22.4985        32.7979        16.5882        10.8018     
  1342.95        500.000        1.85367       0.867220       0.559213E-001  0.329575E-002  0.361559        14.4586        21.5937        33.2676        16.5397        10.9988     
  1339.74        500.000        1.56432       0.866996                 NaN  0.314988E-002  0.378009        14.7917        21.1459        16.5149        33.5583        11.1767     
  1336.54        500.000        1.56428       0.866999                 NaN  0.314968E-002  0.378017        14.7916        21.1457        16.5147        33.5582        11.1773     
  1333.33        500.000        1.02106       0.867482                 NaN  0.315069E-002  0.380470        14.7796        21.1852        16.5178        33.7559        11.4893     
  1330.13        500.000        1.02104       0.867485                 NaN  0.315049E-002  0.380478        14.7795        21.1850        16.5177        33.7557        11.4899     
  1326.92        500.000        1.02101       0.867488                 NaN  0.315029E-002  0.380487        14.7794        21.1849        16.5175        33.7555        11.4905     
  1323.72        500.000        1.02099       0.867492                 NaN  0.315009E-002  0.380495        14.7793        21.1847        16.5174        33.7553        11.4911     
  1320.51        500.000       0.357532E-001  0.868392                 NaN  0.315482E-002  0.384302        14.7473        21.2797        16.5030        34.1069        12.0716     
  1317.31        500.000                 NaN  0.868416                 NaN  0.314690E-002  0.380805        14.7548        21.5084        16.5682        33.8114        12.1049     
  1314.10        500.000                 NaN  0.868398                 NaN  0.313732E-002  0.377401        14.7657        21.7512        16.6262        33.4860        12.1220     
  1310.90        500.000                 NaN  0.868400                 NaN  0.313712E-002  0.377409        14.7655        21.7510        16.6260        33.4858        12.1226     
  1307.69        500.000                 NaN  0.868365                 NaN  0.311729E-002  0.370038        14.7874        22.2472        32.8208        16.7484        12.1546     
  1304.49        500.000                 NaN  0.868368                 NaN  0.311709E-002  0.370046        14.7873        22.2471        32.8206        16.7483        12.1552     
  1301.28        500.000                 NaN  0.868370                 NaN  0.311690E-002  0.370053        14.7872        22.2469        32.8204        16.7481        12.1558     
  1298.08        500.000                 NaN  0.868372                 NaN  0.311670E-002  0.370061        14.7871        22.2467        32.8202        16.7480        12.1565     
  1294.87        500.000                 NaN  0.868375                 NaN  0.311650E-002  0.370068        14.7870        22.2465        32.8200        16.7478        12.1571     
  1291.67        500.000                 NaN  0.868377                 NaN  0.311631E-002  0.370076        14.7868        22.2463        32.8199        16.7477        12.1577     
  1288.46        500.000                 NaN  0.868379                 NaN  0.311611E-002  0.370084        14.7867        22.2462        32.8197        16.7475        12.1584     
  1285.26        500.000                 NaN  0.868381                 NaN  0.311591E-002  0.370091        14.7866        22.2460        32.8195        16.7474        12.1590     
  1282.05        500.000                 NaN  0.868254                 NaN  0.304237E-002  0.348041        14.8626        24.0593        30.4346        17.1493        12.2749     
  1278.85        500.000                 NaN  0.868256                 NaN  0.304218E-002  0.348048        14.8624        24.0591        30.4344        17.1492        12.2756     
  1275.64        500.000                 NaN  0.868258                 NaN  0.304199E-002  0.348055        14.8623        24.0589        30.4342        17.1490        12.2762     
  1272.44        500.000                 NaN  0.868260                 NaN  0.304180E-002  0.348062        14.8622        24.0587        30.4341        17.1488        12.2768     
