|6.6.6
Archiving\03_Data\Deq/QFM_m3.25/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.9858       0.141673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9858       0.141677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9858       0.141682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9858       0.141686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9858       0.141690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9858       0.141694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9858       0.141698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9858       0.141702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9858       0.141706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9858       0.141711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9858       0.141715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9858       0.141719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.9858       0.141724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.9858       0.141728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.9858       0.141732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.9858       0.141737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.9858       0.141741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.9858       0.141746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.9858       0.141750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.9858       0.141755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.9858       0.141759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.9858       0.141764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.9858       0.141768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.4835       0.131551E-001  0.503307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.7111       0.115765E-001   1.27736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.9654       0.999133E-002   2.02466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.2188       0.840464E-002   2.77276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.4715       0.681643E-002   3.52167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        95.7234       0.522674E-002   4.27138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.0077       0.363218E-002   4.98865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        94.2913       0.203619E-002   5.70665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        93.5783       0.437286E-003   6.41620       0.503657E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.9373                 NaN   7.04461       0.180657E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        92.3218                 NaN   7.64774       0.304324E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        91.7057                 NaN   8.25145       0.428116E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        91.0891                 NaN   8.85571       0.552033E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        90.4718                 NaN   9.46054       0.676073E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        89.8540                 NaN   10.0659       0.800237E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        89.2357                 NaN   10.6719       0.924524E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        88.6167                 NaN   11.2784       0.104893                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        87.9972                 NaN   11.8854       0.117346                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        87.3996                 NaN   12.4716       0.128791                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        86.8014                 NaN   13.0584       0.140245                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        86.2027                 NaN   13.6456       0.151711                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        85.6035                 NaN   14.2333       0.163188                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        85.0037                 NaN   14.8216       0.174675                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        84.4035                 NaN   15.4103       0.186173                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        83.8027                 NaN   15.9996       0.197681                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        83.2015                 NaN   16.5893       0.209201                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        82.6311                 NaN   17.1491       0.219833                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        82.0602                 NaN   17.7093       0.230475                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        81.4889                 NaN   18.2700       0.241126                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        80.9172                 NaN   18.8311       0.251786                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        80.3449                 NaN   19.3926       0.262455                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        79.7723                 NaN   19.9546       0.273134                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        79.1992                 NaN   20.5170       0.283821                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        78.6256                 NaN   21.0798       0.294517                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        78.0783                 NaN   21.6173       0.304423                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        77.5305                 NaN   22.1551       0.314338                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        76.9824                 NaN   22.6934       0.324260                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        76.4338                 NaN   23.2320       0.334189                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        75.8849                 NaN   23.7710       0.344127                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        75.3355                 NaN   24.3104       0.354072                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        74.7858                 NaN   24.8501       0.364025                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        74.2357                 NaN   25.3903       0.373985                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        73.7087                 NaN   25.9081       0.383262                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        73.1813                 NaN   26.4262       0.392545                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        72.6535                 NaN   26.9446       0.401835                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        72.1254                 NaN   27.4634       0.411131                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        71.5970                 NaN   27.9826       0.420434                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        71.0683                 NaN   28.5020       0.429743                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        70.5392                 NaN   29.0217       0.439058                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        70.0098                 NaN   29.5418       0.448380                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        69.5012                 NaN   30.0417       0.457152                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        68.9923                 NaN   30.5418       0.465930                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        68.4831                 NaN   31.0422       0.474713                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        67.9737                 NaN   31.5428       0.483501                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        67.4639                 NaN   32.0438       0.492295                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        66.9539                 NaN   32.5450       0.501094                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        66.4437                 NaN   33.0464       0.509899                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        65.9331                 NaN   33.5482       0.518708                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        65.4446                 NaN   34.0284       0.527039                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        64.9558                 NaN   34.5088       0.535375                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        64.4669                 NaN   34.9894       0.543715                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        63.9777                 NaN   35.4703       0.552059                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        63.4882                 NaN   35.9514       0.560408                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        62.9986                 NaN   36.4327       0.568761                 NaN            NaN            NaN            NaN            NaN            NaN
