|6.6.6
Archiving\03_Data\fracLP/QFM_m0.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        99.7295       0.270518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.7295       0.270532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.7295       0.270547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.7294       0.270561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.7294       0.270576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.7294       0.270590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.7294       0.270605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.7294       0.270620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.7294       0.270634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.7294       0.270649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.7293       0.270663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.7293       0.270678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.7293       0.270693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.7293       0.270707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.7293       0.270722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.7293       0.270736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.7292       0.270751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.7292       0.270766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.7292       0.270780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.7292       0.270795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.7292       0.270810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.7292       0.270824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.7292       0.270839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.7291       0.270854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.7291       0.270869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.7291       0.270883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.7291       0.270898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.7291       0.270913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.7291       0.270927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.7291       0.270942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.7290       0.270957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.7290       0.270972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.7290       0.270987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.7290       0.271002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.7290       0.271016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.7290       0.271031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.7290       0.271046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.7289       0.271060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.7289       0.271075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.7289       0.271090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.7289       0.271105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.7289       0.271120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.7289       0.271135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.7289       0.271149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.7288       0.271164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.7288       0.271179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.7288       0.271194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.7288       0.271209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.5579       0.271256       0.170819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4349                 NaN  0.565108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4342                 NaN  0.565805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4425                 NaN  0.557508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4422                 NaN  0.557777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4430                 NaN  0.557017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4492                 NaN  0.550822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1589                 NaN  0.839303       0.184099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.7426                 NaN  0.256411       0.100747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4416                 NaN  0.548314       0.100818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4510                 NaN  0.539189       0.985038E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4488                 NaN  0.541318       0.990117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4507                 NaN  0.539373       0.988558E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4540                 NaN  0.536170       0.981307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4524                 NaN  0.537785       0.983396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4556                 NaN  0.534584       0.977880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4572                 NaN  0.533018       0.976974E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5227                 NaN  0.468683       0.857898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3982                 NaN  0.590978       0.107989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4619                 NaN  0.528431       0.964085E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4601                 NaN  0.530217       0.967571E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4636                 NaN  0.526793       0.959463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4638                 NaN  0.526637       0.956612E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        98.7580                 NaN   1.21962       0.223826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.9999                 NaN  0.128309E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.8136                 NaN  0.183131       0.330807E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4456                 NaN  0.544599       0.980568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3068                 NaN  0.681061       0.121846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4760                 NaN  0.514811       0.919498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4667                 NaN  0.523922       0.936935E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
