|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/KHA22/KHA22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1548.08        500.000        99.6245       0.374064       0.141082E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.71        500.000        99.3730       0.626954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.33        500.000        99.3755       0.615934       0.857552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        500.000        99.3806       0.596520       0.228653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.59        500.000        99.3854       0.591842       0.227727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        500.000        99.3887       0.588615       0.226706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.84        500.000        99.3978       0.580613       0.216118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        99.3923       0.586969       0.207328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.09        500.000        99.4124       0.568070       0.195180E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.72        500.000        99.4089       0.572072       0.190118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.34        500.000        99.4116       0.571029       0.173571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.97        500.000        99.1205       0.854116       0.254311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.60        500.000        99.7209       0.270774       0.834713E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        500.000        99.4246       0.560575       0.148691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        99.4306       0.553806       0.156042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.48        500.000        99.4350       0.550662       0.143147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.10        500.000        99.4000       0.585672       0.143340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000        99.4806       0.507537       0.119079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.35        500.000        99.4471       0.539942       0.129243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000        99.4466       0.543743       0.965543E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.61        500.000        99.4484       0.540501       0.111350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        99.4677       0.521611       0.106888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.86        500.000        99.4630       0.526169       0.108446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.49        500.000        99.4649       0.526620       0.843298E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.11        500.000        99.4388       0.561216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.5028       0.480449       0.167488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.37        500.000        99.4774       0.515348       0.720521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.4784       0.514127       0.743437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        99.3701       0.569865       0.599879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.6108       0.389239       0.540262E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.87        500.000        99.4891       0.510922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.50        500.000        99.4929       0.507147       0.138083E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.12        500.000        99.4957       0.503262       0.102481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000        99.4998       0.500203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.5019       0.498047       0.358269E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        99.5071       0.475315       0.175878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.63        500.000        99.5059       0.488145       0.590829E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.26        500.000        99.5164       0.480141       0.344665E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.88        500.000        99.5151       0.484883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.51        500.000        99.5185       0.481461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.13        500.000        99.5195       0.480451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000        99.5247       0.474809       0.486673E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        500.000        99.5272       0.472818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000        99.5278       0.471451       0.736122E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.64        500.000        99.5321       0.467930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.5326       0.467400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.89        500.000        99.5369       0.463072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        500.000        99.5384       0.461527       0.793725E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.15        500.000        99.5421       0.457879       0.125389E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        99.5442       0.455752       0.359973E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.40        500.000        99.5471       0.452889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.02        500.000        99.5492       0.450783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.65        500.000        99.5526       0.447378       0.110964E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000        99.7782       0.122641       0.991650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.90        500.000        99.3511       0.648910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000        99.5586       0.441408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.16        500.000        99.5618       0.438232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.78        500.000        99.5639       0.436096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        500.000        99.5661       0.433935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.04        500.000        99.5686       0.431424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.66        500.000        99.5691       0.430900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.29        500.000        99.5726       0.427399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.91        500.000        99.5741       0.425875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        99.5791       0.420935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.17        500.000        99.5769       0.423069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.79        500.000        99.5806       0.419431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.42        500.000        99.5799       0.420056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.05        500.000        99.5844       0.415610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.67        500.000        99.5858       0.414171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.5873       0.412726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        500.000        99.5888       0.411197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        500.000        99.4123       0.362794                 NaN  0.224951                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.18        500.000        99.2111       0.307812                 NaN  0.481120                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.80        500.000        99.2187       0.304091                 NaN  0.477213                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.43        500.000        99.2244       0.301681                 NaN  0.473907                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.06        500.000        99.2174       0.201230                 NaN  0.123218       0.458122                 NaN            NaN            NaN            NaN            NaN
