|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/KHA22/KHA22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1548.08        500.000        99.6776       0.321245       0.118890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.71        500.000        99.4615       0.538476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.33        500.000        99.4639       0.528889       0.722425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        500.000        99.4686       0.512115       0.192527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.59        500.000        99.4730       0.507845       0.191628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        500.000        99.4760       0.504951       0.190731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.84        500.000        99.4839       0.497975       0.181742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        99.4792       0.503332       0.174319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.09        500.000        99.4967       0.486907       0.164008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.72        500.000        99.4938       0.490202       0.159677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.34        500.000        99.4963       0.489147       0.145707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.97        500.000        99.2469       0.731741       0.213537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.60        500.000        99.7613       0.231727       0.699897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        500.000        99.5077       0.479831       0.124691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        99.5130       0.473873       0.130793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.48        500.000        99.5170       0.471035       0.119945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.10        500.000        99.4868       0.501219       0.120096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        500.000        99.5562       0.433862       0.996805E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.35        500.000        99.5277       0.461461       0.108158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000        99.5272       0.464689       0.807723E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.61        500.000        99.5290       0.461678       0.931102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        99.5456       0.445438       0.893475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.86        500.000        99.5418       0.449146       0.906053E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.49        500.000        99.5435       0.449440       0.704279E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.11        500.000        99.5212       0.478831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.5763       0.409739       0.139770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.37        500.000        99.5546       0.439426       0.600945E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.5555       0.438271       0.620147E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        99.4641       0.485803       0.500504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.6684       0.331564       0.449998E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.87        500.000        99.5649       0.435136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.50        500.000        99.5682       0.431813       0.114938E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.12        500.000        99.5708       0.428374       0.852651E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000        99.5743       0.425684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.5763       0.423742       0.297804E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        99.5811       0.404304       0.146196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.63        500.000        99.5800       0.415054       0.490870E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.26        500.000        99.5890       0.408119       0.286201E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.88        500.000        99.5880       0.411979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.51        500.000        99.5910       0.408998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.13        500.000        99.5919       0.408081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000        99.5965       0.403110       0.403539E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        500.000        99.5986       0.401364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000        99.5993       0.400088       0.609808E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.64        500.000        99.6030       0.396984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.6036       0.396435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.89        500.000        99.6074       0.392648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        500.000        99.6087       0.391255       0.656496E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.15        500.000        99.6120       0.387983       0.103625E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        99.6139       0.386136       0.297532E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.40        500.000        99.6165       0.383521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.02        500.000        99.6183       0.381675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.65        500.000        99.6213       0.378695       0.915652E-006            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000        99.8146       0.103682       0.817325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.90        500.000        99.4509       0.549081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000        99.6268       0.373237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.16        500.000        99.6295       0.370473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.78        500.000        99.6314       0.368558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        500.000        99.6333       0.366682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.04        500.000        99.6356       0.364422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.66        500.000        99.6360       0.363971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.29        500.000        99.6392       0.360837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.91        500.000        99.6406       0.359357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        99.6449       0.355057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.17        500.000        99.6432       0.356810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.79        500.000        99.6463       0.353697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.42        500.000        99.6459       0.354090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.05        500.000        99.6497       0.350289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.67        500.000        99.6511       0.348871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.6524       0.347628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        500.000        99.6538       0.346247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        500.000        99.5035       0.305439                 NaN  0.191067                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.18        500.000        99.3323       0.259081                 NaN  0.408589                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.80        500.000        99.3391       0.255816                 NaN  0.405067                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.43        500.000        99.3443       0.253632                 NaN  0.402066                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.06        500.000        99.3382       0.169102                 NaN  0.104129       0.388523                 NaN            NaN            NaN            NaN            NaN
  1443.68        500.000        99.3254       0.566253E-001            NaN  0.245215       0.372792                 NaN            NaN            NaN            NaN            NaN
  1442.31        500.000        99.3319       0.534624E-001            NaN  0.369225       0.245412                 NaN            NaN            NaN            NaN            NaN
  1440.94        500.000        99.3034       0.243598                 NaN  0.834300E-001  0.369600                 NaN            NaN            NaN            NaN            NaN
  1439.56        500.000        99.3784                 NaN            NaN  0.251943       0.369666                 NaN            NaN            NaN            NaN            NaN
  1438.19        500.000        99.3513       0.943878E-001            NaN  0.192344       0.361995                 NaN            NaN            NaN            NaN            NaN
  1436.82        500.000        99.3551                 NaN            NaN  0.354322       0.290563                 NaN            NaN            NaN            NaN            NaN
  1435.44        500.000        99.3597                 NaN            NaN  0.352111       0.288180                 NaN            NaN            NaN            NaN            NaN
  1434.07        500.000        99.3670                 NaN            NaN  0.348315       0.284647                 NaN            NaN            NaN            NaN            NaN
  1432.69        500.000        99.3724       0.192697E-001            NaN  0.261557       0.346728                 NaN            NaN            NaN            NaN            NaN
  1431.32        500.000        99.4825       0.361988E-001            NaN  0.287597       0.193730                 NaN            NaN            NaN            NaN            NaN
  1429.95        500.000        99.2767       0.453011E-001            NaN  0.401197       0.276847                 NaN            NaN            NaN            NaN            NaN
