|6.6.6
Archiving\03_Data\eq/QFM_m0.25/Y98/Y98_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             pnt           
  2000.00        2500.00        99.2178       0.773825       0.834184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2178       0.773894       0.834181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2177       0.773963       0.834178E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2176       0.774032       0.834175E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2176       0.774102       0.834173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2175       0.774171       0.834171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2174       0.774241       0.834169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2173       0.774310       0.834167E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2173       0.774380       0.834166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2172       0.774449       0.834164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2171       0.774518       0.834162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2171       0.774588       0.834161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2170       0.774657       0.834160E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2169       0.774727       0.834159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2169       0.774796       0.834158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2168       0.774866       0.834158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2167       0.774936       0.834157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2167       0.775005       0.834157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2166       0.775075       0.834156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2165       0.775144       0.834156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2164       0.775214       0.834156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2164       0.775284       0.834156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2163       0.775354       0.834157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2162       0.775423       0.834157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2162       0.775493       0.834158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2161       0.775563       0.834158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2160       0.775633       0.834159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2160       0.775702       0.834160E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2159       0.775772       0.834161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2158       0.775842       0.834162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
