|6.6.6
Archiving\03_Data\eq/QFM_m0.25/Y98/Y98_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             pnt           
  2000.00        2500.00        99.0141       0.962329       0.236202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.0141       0.962327       0.236202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.0141       0.962325       0.236201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.0141       0.962323       0.236200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.0141       0.962321       0.236200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.0141       0.962319       0.236199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.0141       0.962316       0.236199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.0141       0.962314       0.236198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.0141       0.962312       0.236198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.0141       0.962310       0.236197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.0141       0.962307       0.236197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.0141       0.962305       0.236196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.0141       0.962303       0.236195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.0141       0.962300       0.236195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.0141       0.962298       0.236194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.0141       0.962296       0.236194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.0141       0.962293       0.236193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0141       0.962291       0.236193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.0141       0.962288       0.236192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.0141       0.962285       0.236191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.0141       0.962283       0.236191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.0141       0.962280       0.236190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.0141       0.962278       0.236189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.0141       0.962275       0.236189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.0141       0.962272       0.236188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.0141       0.962269       0.236187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.0141       0.962267       0.236187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.0141       0.962264       0.236186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.0141       0.962261       0.236185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.0141       0.962258       0.236185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.0141       0.962255       0.236184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.0141       0.962252       0.236183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.0141       0.962249       0.236182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.0141       0.962246       0.236182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.9300       0.962183                 NaN  0.107809                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        98.9290       0.962180                 NaN  0.108823                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        98.9280       0.962177                 NaN  0.109837                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        98.9269       0.962174                 NaN  0.110912                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        98.9258       0.962171                 NaN  0.111987                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        98.9248       0.962167                 NaN  0.113063                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        98.9237       0.962164                 NaN  0.114138                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        98.9225       0.962161                 NaN  0.115384                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        98.9212       0.962157                 NaN  0.116631                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        98.9200       0.962154                 NaN  0.117877                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        98.9187       0.962151                 NaN  0.119123                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        98.9175       0.962147                 NaN  0.120370                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        98.9162       0.962144                 NaN  0.121616                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        98.9150       0.962141                 NaN  0.122863                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        98.9138       0.962137                 NaN  0.124109                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        98.9122       0.962133                 NaN  0.125696                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        98.9106       0.962130                 NaN  0.127284                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        98.9090       0.962126                 NaN  0.128871                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        98.9074       0.962122                 NaN  0.130458                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        98.9058       0.962119                 NaN  0.132045                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        98.9043       0.962115                 NaN  0.133632                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        98.9027       0.962111                 NaN  0.135220                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        98.9011       0.962108                 NaN  0.136807                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        98.8991       0.962104                 NaN  0.138843                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        98.8970       0.962100                 NaN  0.140880                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        98.8950       0.962096                 NaN  0.142917                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        98.8930       0.962092                 NaN  0.144954                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        98.8909       0.962088                 NaN  0.146990                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        98.8889       0.962084                 NaN  0.149027                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        98.8869       0.962080                 NaN  0.151064                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        98.8848       0.962076                 NaN  0.153100                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        98.8819       0.962071                 NaN  0.156024                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        98.8790       0.962067                 NaN  0.158948                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        98.8761       0.962063                 NaN  0.161872                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        98.8731       0.962059                 NaN  0.164796                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        98.8702       0.962054                 NaN  0.167720                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        98.8673       0.962050                 NaN  0.170644                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        98.8644       0.962046                 NaN  0.173567                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        98.8615       0.962041                 NaN  0.176491                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        98.8574       0.962037                 NaN  0.180573                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        98.8533       0.962032                 NaN  0.184655                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        98.8492       0.962027                 NaN  0.188737                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        98.8452       0.962023                 NaN  0.192818                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        98.8411       0.962018                 NaN  0.196900                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        98.8370       0.962014                 NaN  0.200982                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        98.8329       0.962009                 NaN  0.205064                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        98.8289       0.962004                 NaN  0.209145                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        98.8223       0.961999                 NaN  0.215712                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        98.8157       0.961994                 NaN  0.222279                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        98.8092       0.961989                 NaN  0.228846                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        98.8026       0.961984                 NaN  0.235412                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        98.7960       0.961980                 NaN  0.241979                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        98.7895       0.961975                 NaN  0.248546                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        98.7829       0.961970                 NaN  0.255112                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        98.7764       0.961965                 NaN  0.261679                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        98.7669       0.961960                 NaN  0.271153                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        98.7560       0.961954                 NaN  0.280330       0.170327E-002            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        98.7265       0.961949                 NaN  0.290368       0.212234E-001            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        98.6969       0.961943                 NaN  0.300406       0.407434E-001            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        98.6635       0.961937                 NaN  0.314851       0.597584E-001            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        98.6300       0.961931                 NaN  0.329297       0.787731E-001            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        98.5965       0.961925                 NaN  0.343743       0.977877E-001            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        98.5631       0.961920                 NaN  0.358188       0.116802                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        98.5182       0.961914                 NaN  0.384959       0.134915                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        98.4733       0.961908                 NaN  0.411729       0.153029                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.4285       0.961903                 NaN  0.438499       0.171141                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        98.3836       0.961897                 NaN  0.465269       0.189254                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        98.3387       0.961891                 NaN  0.492039       0.207367                 NaN            NaN            NaN            NaN            NaN
