|6.6.6
Archiving\03_Data\Deq/QFM_m1/YM20/YM20_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  2000.00        2500.00        99.9608       0.392295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9608       0.392294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9608       0.392293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9608       0.392292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9608       0.392291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9608       0.392290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9608       0.392289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9608       0.392288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4252                 NaN  0.574790                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3798                 NaN  0.620177                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3344                 NaN  0.665564                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2890                 NaN  0.710950                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2437                 NaN  0.756337                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1983                 NaN  0.801723                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1529                 NaN  0.847109                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1075                 NaN  0.892495                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.0621                 NaN  0.937881                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9085                 NaN   1.09153                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.7548                 NaN   1.24518                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.6012                 NaN   1.39883                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.4475                 NaN   1.55248                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.2939                 NaN   1.70614                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.1402                 NaN   1.85979                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        97.9866                 NaN   2.01344                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.8329                 NaN   2.16709                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.4968                 NaN   2.50324                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.1606                 NaN   2.83940                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.7422                 NaN   3.25355       0.427059E-002            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.2692                 NaN   3.70657       0.241910E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.7075                 NaN   4.24918       0.433211E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.1457                 NaN   4.79181       0.624514E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        94.5840                 NaN   5.33444       0.815819E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        94.0222                 NaN   5.87708       0.100713                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        93.3888                 NaN   6.49276       0.118401                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        92.7555                 NaN   7.10846       0.136090                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        92.1221                 NaN   7.72416       0.153779                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        91.4887                 NaN   8.33988       0.171468                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        90.8552                 NaN   8.95560       0.189158                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.2218                 NaN   9.57134       0.206848                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.5884                 NaN   10.1871       0.224538                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        88.9549                 NaN   10.8028       0.242229                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        88.3254                 NaN   11.4161       0.258453                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        87.6959                 NaN   12.0294       0.274677                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        87.0664                 NaN   12.6427       0.290902                 NaN            NaN            NaN            NaN            NaN
