|6.6.6
Archiving\03_Data\Deq/QFM_m1/YM20/YM20_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  2000.00        2500.00        99.9859       0.141305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9859       0.141308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9859       0.141312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9859       0.141316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9859       0.141319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9859       0.141323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9859       0.141326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9859       0.141330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4825                 NaN  0.517528                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4400                 NaN  0.559985                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3975                 NaN  0.602453                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3551                 NaN  0.644932                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3126                 NaN  0.687421                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2701                 NaN  0.729921                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2276                 NaN  0.772431                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1850                 NaN  0.814952                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1425                 NaN  0.857484                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9988                 NaN   1.00119                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.8551                 NaN   1.14495                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.7112                 NaN   1.28876                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.5674                 NaN   1.43262                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.4235                 NaN   1.57654                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.2795                 NaN   1.72052                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.1355                 NaN   1.86454                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.9914                 NaN   2.00862                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.6766                 NaN   2.32341                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.3616                 NaN   2.63838                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.9707                 NaN   3.02632       0.293470E-002            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.5324                 NaN   3.45099       0.166312E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.0114                 NaN   3.95881       0.297695E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.4900                 NaN   4.46707       0.429199E-001            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        94.9681                 NaN   4.97577       0.560823E-001            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        94.4458                 NaN   5.48491       0.692566E-001            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        93.8582                 NaN   6.06036       0.813972E-001            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        93.2701                 NaN   6.63635       0.935498E-001            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        92.6814                 NaN   7.21288       0.105714                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        92.0922                 NaN   7.78995       0.117891                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        91.5024                 NaN   8.36754       0.130079                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.9120                 NaN   8.94567       0.142279                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        90.3212                 NaN   9.52433       0.154491                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        89.7298                 NaN   10.1035       0.166714                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        89.1455                 NaN   10.6767       0.177859                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        88.5606                 NaN   11.2503       0.189016                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        87.9753                 NaN   11.8245       0.200182                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        87.3894                 NaN   12.3992       0.211359                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        86.8030                 NaN   12.9744       0.222547                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        86.2161                 NaN   13.5502       0.233745                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        85.6287                 NaN   14.1264       0.244953                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        85.0407                 NaN   14.7031       0.256171                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        84.4785                 NaN   15.2549       0.266519                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        83.9159                 NaN   15.8072       0.276877                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        83.3528                 NaN   16.3600       0.287243                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        82.7892                 NaN   16.9132       0.297618                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        82.2251                 NaN   17.4669       0.308002                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        81.6606                 NaN   18.0210       0.318396                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        81.0956                 NaN   18.5756       0.328798                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        80.5302                 NaN   19.1306       0.339208                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        79.9881                 NaN   19.6631       0.348802                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        79.4455                 NaN   20.1961       0.358403                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        78.9025                 NaN   20.7295       0.368012                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        78.3592                 NaN   21.2632       0.377628                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        77.8154                 NaN   21.7974       0.387252                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        77.2712                 NaN   22.3319       0.396884                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        76.7266                 NaN   22.8669       0.406523                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        76.1816                 NaN   23.4022       0.416170                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        75.6561                 NaN   23.9186       0.425273                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        75.1303                 NaN   24.4353       0.434382                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        74.6041                 NaN   24.9524       0.443498                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        74.0776                 NaN   25.4698       0.452620                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        73.5507                 NaN   25.9876       0.461749                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        73.0234                 NaN   26.5057       0.470885                 NaN            NaN            NaN            NaN            NaN
