|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        San(TH)        ilm            q             
  1439.10        2500.00        88.1031                 NaN   7.73058        4.16632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00        99.8812                 NaN  0.407295E-001  0.780756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00        99.0047                 NaN  0.649452       0.345886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        2500.00        99.4460                 NaN  0.361793       0.192227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        2500.00        99.4490                 NaN  0.191210       0.359785       0.229268E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        99.4507                 NaN  0.358510       0.190741       0.179479E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        2500.00        99.4536                 NaN  0.356502       0.189933       0.253561E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        99.4555                 NaN  0.354714       0.189628       0.214581E-005  0.141120E-003            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.4465                 NaN  0.360849       0.192556       0.166499E-005  0.583344E-004            NaN            NaN            NaN            NaN            NaN
  1429.20        2500.00        99.4709                 NaN  0.184025       0.345065                 NaN  0.480157E-004            NaN            NaN            NaN            NaN            NaN
  1428.09        2500.00        99.4618                 NaN  0.350443       0.187462       0.276109E-005  0.245535E-003            NaN            NaN            NaN            NaN            NaN
  1426.99        2500.00        99.0859                 NaN  0.596189       0.317461                 NaN  0.406926E-003            NaN            NaN            NaN            NaN            NaN
  1425.89        2500.00        99.8585                 NaN  0.141454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        2500.00        99.4539                 NaN  0.239608       0.306193                 NaN  0.281239E-003            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00        99.4691                 NaN  0.345804       0.184897                 NaN  0.199449E-003            NaN            NaN            NaN            NaN            NaN
  1422.59        2500.00        99.4717                 NaN  0.344438       0.183702                 NaN  0.192834E-003            NaN            NaN            NaN            NaN            NaN
  1421.49        2500.00        99.4398                 NaN  0.365355       0.194690       0.322657E-005  0.183166E-003            NaN            NaN            NaN            NaN            NaN
  1420.39        2500.00        99.4298                 NaN  0.322422       0.205054                 NaN  0.528919E-004  0.427062E-001            NaN            NaN            NaN            NaN
  1419.29        2500.00        98.7440                 NaN  0.395892       0.378437       0.707646E-001            NaN  0.410860                 NaN            NaN            NaN            NaN
  1418.19        2500.00        98.7234                 NaN  0.415442       0.234492       0.183478                 NaN  0.443217                 NaN            NaN            NaN            NaN
  1417.09        2500.00        98.5748                 NaN  0.467575       0.254934       0.206962                 NaN  0.495717                 NaN            NaN            NaN            NaN
  1415.99        2500.00        98.9157                 NaN  0.354662       0.194046       0.158818                 NaN  0.376735                 NaN            NaN            NaN            NaN
  1414.89        2500.00        98.7665                 NaN  0.405073       0.216688       0.182640                 NaN  0.429066                 NaN            NaN            NaN            NaN
  1413.79        2500.00        98.7810                 NaN  0.401303       0.211060       0.182342                 NaN  0.424269                 NaN            NaN            NaN            NaN
  1412.69        2500.00        98.7942                 NaN  0.398334       0.205424       0.182094                 NaN  0.419954                 NaN            NaN            NaN            NaN
  1411.59        2500.00        98.8079                 NaN  0.199803       0.395061       0.181793                 NaN  0.415472                 NaN            NaN            NaN            NaN
  1410.49        2500.00        98.8200                 NaN  0.194395       0.392366       0.181637                 NaN  0.411614                 NaN            NaN            NaN            NaN
  1409.39        2500.00        98.8354                 NaN  0.388112       0.189479       0.180811                 NaN  0.406195                 NaN            NaN            NaN            NaN
  1408.29        2500.00        98.8469                 NaN  0.385588       0.184113       0.180897                 NaN  0.402465                 NaN            NaN            NaN            NaN
  1407.19        2500.00        98.8591                 NaN  0.382842       0.179028       0.180571                 NaN  0.398410                 NaN            NaN            NaN            NaN
  1406.08        2500.00        98.8711                 NaN  0.379838       0.174245       0.180410                 NaN  0.394414                 NaN            NaN            NaN            NaN
  1404.98        2500.00        98.8816                 NaN  0.168649       0.378734       0.180060                 NaN  0.390932                 NaN            NaN            NaN            NaN
  1403.88        2500.00        98.8959                 NaN  0.163603       0.374405       0.179846                 NaN  0.386205                 NaN            NaN            NaN            NaN
  1402.78        2500.00        98.9072                 NaN  0.371432       0.159645       0.179243                 NaN  0.382475                 NaN            NaN            NaN            NaN
  1401.68        2500.00        98.9172                 NaN  0.154915       0.369364       0.179383                 NaN  0.379112                 NaN            NaN            NaN            NaN
  1400.58        2500.00        98.9300                 NaN  0.366237       0.150465       0.178577                 NaN  0.374760                 NaN            NaN            NaN            NaN
  1399.48        2500.00        98.8084                 NaN  0.163367       0.409307       0.201126                 NaN  0.417796                 NaN            NaN            NaN            NaN
  1398.38        2500.00        99.0832                 NaN  0.315928       0.123436       0.155877                 NaN  0.321601                 NaN            NaN            NaN            NaN
  1397.28        2500.00        98.9625                 NaN  0.137076       0.358843       0.177650                 NaN  0.363954                 NaN            NaN            NaN            NaN
  1396.18        2500.00        98.9723                 NaN  0.356183       0.133068       0.177740                 NaN  0.360743                 NaN            NaN            NaN            NaN
  1395.08        2500.00        98.9123                 NaN  0.137363       0.378218       0.189837                 NaN  0.382305                 NaN            NaN            NaN            NaN
  1393.98        2500.00        99.0642                 NaN  0.326913       0.116255       0.164218                 NaN  0.328439                 NaN            NaN            NaN            NaN
  1392.88        2500.00        99.0019                 NaN  0.121100       0.349602       0.176745                 NaN  0.350611                 NaN            NaN            NaN            NaN
  1391.78        2500.00        99.0125                 NaN  0.346991       0.117232       0.176245                 NaN  0.347065                 NaN            NaN            NaN            NaN
  1390.68        2500.00        99.0199                 NaN  0.113482       0.346057       0.176062                 NaN  0.344477                 NaN            NaN            NaN            NaN
  1389.58        2500.00        99.0310                 NaN  0.342619       0.109390       0.175934                 NaN  0.341094                 NaN            NaN            NaN            NaN
  1388.48        2500.00        99.0305                 NaN  0.476212E-001  0.358721       0.213269                 NaN  0.349848                 NaN            NaN            NaN            NaN
  1387.38        2500.00        99.0615                 NaN  0.320252       0.161298       0.135798                 NaN  0.321153                 NaN            NaN            NaN            NaN
