|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        San(TH)        ilm            q             
  1439.10        2500.00        86.4667                 NaN   8.75442        4.77891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00        99.8623                 NaN  0.476029E-001  0.900713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00        98.8472                 NaN  0.748756       0.403997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        2500.00        99.3576                 NaN  0.417577       0.224788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        2500.00        99.3609                 NaN  0.223685       0.415385       0.286767E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        99.3626                 NaN  0.414105       0.223266       0.224531E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        2500.00        99.3656                 NaN  0.411954       0.222443       0.317482E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        99.3676                 NaN  0.410037       0.222183       0.268981E-005  0.213958E-003            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.3570                 NaN  0.417256       0.225702       0.208880E-005  0.883694E-004            NaN            NaN            NaN            NaN            NaN
  1429.20        2500.00        99.3849                 NaN  0.215821       0.399185                 NaN  0.727169E-004            NaN            NaN            NaN            NaN            NaN
  1428.09        2500.00        99.3741                 NaN  0.405587       0.219974       0.346771E-005  0.371677E-003            NaN            NaN            NaN            NaN            NaN
  1426.99        2500.00        98.9368                 NaN  0.690016       0.372575                 NaN  0.615456E-003            NaN            NaN            NaN            NaN            NaN
  1425.89        2500.00        99.8361                 NaN  0.163943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        2500.00        99.3633                 NaN  0.281556       0.354767                 NaN  0.424960E-003            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00        99.3815                 NaN  0.400825       0.217381                 NaN  0.301232E-003            NaN            NaN            NaN            NaN            NaN
  1422.59        2500.00        99.3842                 NaN  0.399433       0.216088                 NaN  0.291076E-003            NaN            NaN            NaN            NaN            NaN
  1421.49        2500.00        99.3467                 NaN  0.423857       0.229123       0.407045E-005  0.276305E-003            NaN            NaN            NaN            NaN            NaN
  1420.39        2500.00        99.3438                 NaN  0.374227       0.241472                 NaN  0.797686E-004  0.404671E-001            NaN            NaN            NaN            NaN
  1419.29        2500.00        98.6158                 NaN  0.466309       0.439278       0.894086E-001            NaN  0.389212                 NaN            NaN            NaN            NaN
  1418.19        2500.00        98.5889                 NaN  0.482535       0.276413       0.232153                 NaN  0.419967                 NaN            NaN            NaN            NaN
  1417.09        2500.00        98.4239                 NaN  0.543271       0.300645       0.262341                 NaN  0.469803                 NaN            NaN            NaN            NaN
  1415.99        2500.00        98.7994                 NaN  0.412606       0.229163       0.201594                 NaN  0.357265                 NaN            NaN            NaN            NaN
  1414.89        2500.00        98.6333                 NaN  0.471526       0.256079       0.232170                 NaN  0.406957                 NaN            NaN            NaN            NaN
  1413.79        2500.00        98.6482                 NaN  0.467456       0.249630       0.232131                 NaN  0.402546                 NaN            NaN            NaN            NaN
  1412.69        2500.00        98.6617                 NaN  0.464396       0.243184       0.232179                 NaN  0.398591                 NaN            NaN            NaN            NaN
  1411.59        2500.00        98.6757                 NaN  0.236741       0.460903       0.232131                 NaN  0.394478                 NaN            NaN            NaN            NaN
  1410.49        2500.00        98.6881                 NaN  0.230542       0.458119       0.232292                 NaN  0.390958                 NaN            NaN            NaN            NaN
  1409.39        2500.00        98.7041                 NaN  0.453427       0.224897       0.231586                 NaN  0.385956                 NaN            NaN            NaN            NaN
  1408.29        2500.00        98.7158                 NaN  0.450864       0.218720       0.232075                 NaN  0.382556                 NaN            NaN            NaN            NaN
  1407.19        2500.00        98.7283                 NaN  0.448000       0.212869       0.232025                 NaN  0.378848                 NaN            NaN            NaN            NaN
  1406.08        2500.00        98.7404                 NaN  0.444838       0.207371       0.232180                 NaN  0.375196                 NaN            NaN            NaN            NaN
  1404.98        2500.00        98.7511                 NaN  0.200886       0.443913       0.232074                 NaN  0.372033                 NaN            NaN            NaN            NaN
  1403.88        2500.00        98.7659                 NaN  0.195046       0.439182       0.232164                 NaN  0.367685                 NaN            NaN            NaN            NaN
  1402.78        2500.00        98.7775                 NaN  0.436014       0.190502       0.231738                 NaN  0.364285                 NaN            NaN            NaN            NaN
  1401.68        2500.00        98.7875                 NaN  0.185039       0.433961       0.232280                 NaN  0.361234                 NaN            NaN            NaN            NaN
  1400.58        2500.00        98.8007                 NaN  0.430600       0.179874       0.231627                 NaN  0.357240                 NaN            NaN            NaN            NaN
  1399.48        2500.00        98.6633                 NaN  0.195462       0.481604       0.261257                 NaN  0.398396                 NaN            NaN            NaN            NaN
  1398.38        2500.00        98.9703                 NaN  0.372105       0.147848       0.202827                 NaN  0.306885                 NaN            NaN            NaN            NaN
  1397.28        2500.00        98.8338                 NaN  0.164314       0.422971       0.231500                 NaN  0.347398                 NaN            NaN            NaN            NaN
  1396.18        2500.00        98.8437                 NaN  0.420162       0.159662       0.231978                 NaN  0.344489                 NaN            NaN            NaN            NaN
  1395.08        2500.00        98.7752                 NaN  0.164962       0.446519       0.248093                 NaN  0.365229                 NaN            NaN            NaN            NaN
  1393.98        2500.00        98.9450                 NaN  0.386290       0.139764       0.215025                 NaN  0.313961                 NaN            NaN            NaN            NaN
  1392.88        2500.00        98.8738                 NaN  0.145718       0.413458       0.231765                 NaN  0.335283                 NaN            NaN            NaN            NaN
  1391.78        2500.00        98.8846                 NaN  0.410695       0.141196       0.231466                 NaN  0.332052                 NaN            NaN            NaN            NaN
  1390.68        2500.00        98.8919                 NaN  0.136802       0.409968       0.231583                 NaN  0.329736                 NaN            NaN            NaN            NaN
  1389.58        2500.00        98.9034                 NaN  0.406172       0.131976       0.231805                 NaN  0.326658                 NaN            NaN            NaN            NaN
  1388.48        2500.00        98.9001                 NaN  0.575287E-001  0.425674       0.281432                 NaN  0.335217                 NaN            NaN            NaN            NaN
  1387.38        2500.00        98.9373                 NaN  0.380363       0.194998       0.179489                 NaN  0.307878                 NaN            NaN            NaN            NaN
  1386.28        2500.00        98.8636                 NaN  0.427880       0.124710       0.246090                 NaN  0.337755                 NaN            NaN            NaN            NaN
  1385.18        2500.00        99.0053                 NaN  0.110422       0.372767       0.215832                 NaN  0.295657                 NaN            NaN            NaN            NaN
  1384.07        2500.00        98.8491                 NaN  0.559272                 NaN  0.265954                 NaN  0.325649                 NaN            NaN            NaN            NaN
  1382.97        2500.00        99.0581                 NaN  0.244099       0.207625       0.193975                 NaN  0.296156                 NaN            NaN            NaN            NaN
  1381.87        2500.00        98.9653                 NaN  0.104548       0.392727       0.230196                 NaN  0.307207                 NaN            NaN            NaN            NaN
  1380.77        2500.00        98.9744                 NaN  0.390373       0.101192       0.229682                 NaN  0.304395                 NaN            NaN            NaN            NaN
  1379.67        2500.00        98.9823                 NaN  0.388596       0.972325E-001  0.229752                 NaN  0.302133                 NaN            NaN            NaN            NaN
  1378.57        2500.00        98.9905                 NaN  0.944033E-001  0.386727       0.229011                 NaN  0.299336                 NaN            NaN            NaN            NaN
  1377.47        2500.00        98.9980                 NaN  0.384879       0.906630E-001  0.229248                 NaN  0.297223                 NaN            NaN            NaN            NaN
  1376.37        2500.00        99.0070                 NaN  0.383254       0.876522E-001  0.228012                 NaN  0.294126                 NaN            NaN            NaN            NaN
  1375.27        2500.00        99.0144                 NaN  0.840623E-001  0.381513       0.228023                 NaN  0.291996                 NaN            NaN            NaN            NaN
  1374.17        2500.00        99.0224                 NaN  0.379433       0.809402E-001  0.227721                 NaN  0.289525                 NaN            NaN            NaN            NaN
  1373.07        2500.00        99.0295                 NaN  0.782907E-001  0.377925       0.227153                 NaN  0.287118                 NaN            NaN            NaN            NaN
  1371.97        2500.00        99.0356                 NaN  0.748682E-001  0.377080       0.227193                 NaN  0.285249                 NaN            NaN            NaN            NaN
  1370.87        2500.00        99.0456                 NaN  0.373888       0.728384E-001  0.225717                 NaN  0.281982                 NaN            NaN            NaN            NaN
  1369.77        2500.00        99.0503                 NaN  0.698590E-001  0.373218       0.226048                 NaN  0.280567                 NaN            NaN            NaN            NaN
  1368.67        2500.00        99.0593                 NaN  0.672413E-001  0.371357       0.224569                 NaN  0.277546                 NaN            NaN            NaN            NaN
  1367.57        2500.00        99.0654                 NaN  0.640337E-001  0.370219       0.224658                 NaN  0.275715                 NaN            NaN            NaN            NaN
  1366.47        2500.00        99.0692                 NaN  0.370184       0.579957E-001  0.227468                 NaN  0.275182                 NaN            NaN            NaN            NaN
  1365.37        2500.00        99.0832                 NaN  0.639195E-001  0.363729       0.219839                 NaN  0.269268                 NaN            NaN            NaN            NaN
  1364.27        2500.00        99.0857                 NaN  0.575403E-001  0.365124       0.222535                 NaN  0.269121                 NaN            NaN            NaN            NaN
  1363.17        2500.00        99.0894                 NaN  0.550089E-001  0.364999       0.222719                 NaN  0.267913                 NaN            NaN            NaN            NaN
  1362.06        2500.00        99.1009                 NaN  0.361697       0.533948E-001  0.220093                 NaN  0.263952                 NaN            NaN            NaN            NaN
  1360.96        2500.00        99.1004                 NaN  0.789700E-001  0.353442       0.205025                 NaN  0.262115                 NaN            NaN            NaN            NaN
  1359.86        2500.00        99.1136                 NaN  0.367528       0.224773E-001  0.234609                 NaN  0.261775                 NaN            NaN            NaN            NaN
  1358.76        2500.00        99.1177                 NaN  0.358264       0.463767E-001  0.218969                 NaN  0.258653                 NaN            NaN            NaN            NaN
  1357.66        2500.00        99.1222                 NaN  0.453658E-001  0.357424       0.217957                 NaN  0.257064                 NaN            NaN            NaN            NaN
  1356.56        2500.00        99.1311                 NaN  0.442212E-001  0.354504       0.216188                 NaN  0.254013                 NaN            NaN            NaN            NaN
  1355.46        2500.00        99.1351                 NaN  0.353821       0.432532E-001  0.215333                 NaN  0.252541                 NaN            NaN            NaN            NaN
  1354.36        2500.00        99.1407                 NaN  0.410921E-001  0.352965       0.214599                 NaN  0.250667                 NaN            NaN            NaN            NaN
  1353.26        2500.00        99.1467                 NaN  0.395985E-001  0.350651       0.214162                 NaN  0.248857                 NaN            NaN            NaN            NaN
  1352.16        2500.00        99.1539                 NaN  0.389231E-001  0.348878       0.212031                 NaN  0.246268                 NaN            NaN            NaN            NaN
  1351.06        2500.00        99.1581                 NaN  0.348254       0.373321E-001  0.211496                 NaN  0.244832                 NaN            NaN            NaN            NaN
  1349.96        2500.00        99.1639                 NaN  0.366604E-001  0.346562       0.210056                 NaN  0.242803                 NaN            NaN            NaN            NaN
  1348.86        2500.00        99.1687                 NaN  0.345498       0.352841E-001  0.209244                 NaN  0.241225                 NaN            NaN            NaN            NaN
