|6.6.6
Archiving\03_Data\eqLP/QFM/Y98/Y98_1.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.0144       0.962002       0.236122E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0144       0.962000       0.236121E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0144       0.961998       0.236121E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0144       0.961995       0.236120E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0144       0.961993       0.236119E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0144       0.961991       0.236119E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0144       0.961988       0.236118E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0144       0.961986       0.236118E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0144       0.961983       0.236117E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0144       0.961981       0.236117E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0144       0.961978       0.236116E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0144       0.961976       0.236115E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0144       0.961973       0.236115E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.9486       0.961910                 NaN  0.894628E-001            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.9480       0.961907                 NaN  0.900586E-001            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.9474       0.961905                 NaN  0.906487E-001            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.9469       0.961902                 NaN  0.912387E-001            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.9462       0.961899                 NaN  0.918601E-001            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.9456       0.961896                 NaN  0.924814E-001            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.9450       0.961893                 NaN  0.931027E-001            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.9444       0.961891                 NaN  0.937241E-001            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.9438       0.961888                 NaN  0.943454E-001            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.9431       0.961885                 NaN  0.949667E-001            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9425       0.961882                 NaN  0.955880E-001            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.9419       0.961879                 NaN  0.962093E-001            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.9412       0.961876                 NaN  0.969534E-001            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.9404       0.961873                 NaN  0.976975E-001            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.9397       0.961870                 NaN  0.984415E-001            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.9389       0.961867                 NaN  0.991856E-001            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.9382       0.961863                 NaN  0.999297E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        98.9375       0.961860                 NaN  0.100674                 NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        98.9367       0.961857                 NaN  0.101418                 NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        98.9360       0.961854                 NaN  0.102162                 NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        98.9350       0.961851                 NaN  0.103109                 NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.9341       0.961847                 NaN  0.104056                 NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.9332       0.961844                 NaN  0.105002                 NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.9322       0.961840                 NaN  0.105949                 NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        98.9313       0.961837                 NaN  0.106896                 NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        98.9303       0.961834                 NaN  0.107843                 NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        98.9294       0.961830                 NaN  0.108790                 NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        98.9284       0.961827                 NaN  0.109736                 NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        98.9273       0.961823                 NaN  0.110832                 NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        98.9263       0.961819                 NaN  0.111927                 NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        98.9252       0.961815                 NaN  0.113023                 NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        98.9241       0.961812                 NaN  0.114118                 NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        98.9230       0.961808                 NaN  0.115214                 NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        98.9219       0.961804                 NaN  0.116309                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        98.9208       0.961800                 NaN  0.117404                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        98.9197       0.961797                 NaN  0.118500                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        98.9183       0.961793                 NaN  0.119904                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        98.9169       0.961789                 NaN  0.121309                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        98.9155       0.961785                 NaN  0.122713                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        98.9141       0.961780                 NaN  0.124118                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        98.9127       0.961776                 NaN  0.125522                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        98.9113       0.961772                 NaN  0.126927                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        98.9099       0.961768                 NaN  0.128331                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        98.9085       0.961764                 NaN  0.129735                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        98.9067       0.961760                 NaN  0.131548                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        98.9049       0.961755                 NaN  0.133362                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        98.9031       0.961751                 NaN  0.135175                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        98.9013       0.961747                 NaN  0.136988                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        98.8995       0.961742                 NaN  0.138801                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        98.8976       0.961738                 NaN  0.140614                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        98.8958       0.961733                 NaN  0.142427                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        98.8940       0.961729                 NaN  0.144240                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        98.8916       0.961724                 NaN  0.146667                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        98.8892       0.961719                 NaN  0.149094                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        98.8868       0.961715                 NaN  0.151521                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        98.8843       0.961710                 NaN  0.153948                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        98.8819       0.961705                 NaN  0.156375                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        98.8795       0.961700                 NaN  0.158802                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        98.8771       0.961695                 NaN  0.161228                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        98.8747       0.961691                 NaN  0.163655                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        98.8712       0.961685                 NaN  0.167085                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        98.8678       0.961680                 NaN  0.170514                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        98.8644       0.961675                 NaN  0.173944                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        98.8610       0.961670                 NaN  0.177373                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        98.8575       0.961665                 NaN  0.180802                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        98.8541       0.961660                 NaN  0.184231                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        98.8507       0.961655                 NaN  0.187661                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        98.8473       0.961649                 NaN  0.191090                 NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        98.8421       0.961644                 NaN  0.196283                 NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        98.8369       0.961638                 NaN  0.201476                 NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        98.8317       0.961633                 NaN  0.206669                 NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        98.8265       0.961627                 NaN  0.211862                 NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        98.8213       0.961622                 NaN  0.217055                 NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        98.8161       0.961616                 NaN  0.222248                 NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        98.8109       0.961611                 NaN  0.227441                 NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        98.8058       0.961605                 NaN  0.232634                 NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        98.7987       0.961600                 NaN  0.239705                 NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        98.7916       0.961594                 NaN  0.246776                 NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        98.7846       0.961588                 NaN  0.253847                 NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        98.7775       0.961582                 NaN  0.260917                 NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        98.7681       0.961577                 NaN  0.270291                 NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        98.7588       0.961571                 NaN  0.279664                 NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        98.7350       0.961564                 NaN  0.291354       0.120740E-001            NaN            NaN            NaN            NaN
  1692.31        500.000        98.7047       0.961557                 NaN  0.301648       0.320916E-001            NaN            NaN            NaN            NaN
  1689.10        500.000        98.6678       0.961551                 NaN  0.319318       0.513779E-001            NaN            NaN            NaN            NaN
