|6.6.6
Archiving\03_Data\Deq/QFM_m5/WD94/WD94_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        93.3202        6.67982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        93.2947        6.70531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        93.2692        6.73081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        93.2437        6.75631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        93.2182        6.78181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        93.1927        6.80732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        93.1672        6.83283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        93.1417        6.85834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        93.1161        6.88386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        93.0913        6.90868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        93.0665        6.93351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        93.0417        6.95834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        93.0168        6.98317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        92.9920        7.00800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        92.9672        7.03284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        92.9423        7.05768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        92.9175        7.08253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        92.8933        7.10670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        92.8691        7.13087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        92.8450        7.15504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        92.8208        7.17921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        92.7966        7.20339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.7724        7.22758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        92.7482        7.25176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.7240        7.27595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.7004        7.29964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        92.6767        7.32334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        92.6530        7.34703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        92.6293        7.37073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        92.6058        7.39417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        92.5824        7.41761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        91.8186        7.40947       0.771976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        91.5585        7.42532        1.01622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        90.9591        7.41977        1.62113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        90.3597        7.41422        2.22603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        89.7604        7.40868        2.83090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        89.1611        7.40313        3.43576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        88.5618        7.39759        4.04060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        87.9625        7.39204        4.64542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        87.3633        7.38650        5.25022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        86.7640        7.38095        5.85500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        86.2045        7.36727        6.42819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        85.6451        7.35359        7.00134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        85.0856        7.33991        7.57445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        84.5263        7.32623        8.14751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        83.9669        7.31255        8.72053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        83.4076        7.29887        9.29350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        82.8484        7.28519        9.86643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        82.2892        7.27152        10.4393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        81.7469        7.25278        11.0003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        81.2047        7.23404        11.5613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        80.6669        7.21439        12.1187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        80.1262        7.19093        12.6817       0.120461E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        79.5770        7.16363        13.2419       0.175181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        79.0279        7.13633        13.8019       0.338291E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        78.4789        7.10903        14.3620       0.501377E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        77.9299        7.08174        14.9219       0.664437E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        77.3859        7.04709        15.4848       0.821768E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        76.8420        7.01243        16.0477       0.979068E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        76.2982        6.97779        16.6104       0.113634                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        75.7545        6.94315        17.1730       0.129358                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        75.2109        6.90852        17.7355       0.145079                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        74.6674        6.87390        18.2979       0.160797                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        74.1240        6.83928        18.8602       0.176511                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        73.5807        6.80467        19.4224       0.192223                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        73.0293        6.75788        20.0056       0.207219                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        72.4779        6.71110        20.5887       0.222212                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        71.9268        6.66434        21.1717       0.237200                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        71.3757        6.61758        21.7545       0.252184                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        70.8249        6.57084        22.3371       0.267165                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        70.2741        6.52411        22.9196       0.282142                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        69.7235        6.47740        23.5020       0.297114                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        69.1731        6.43070        24.0841       0.312083                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        68.6076        6.37157        24.6942       0.326605                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        68.0423        6.31246        25.3041       0.341123                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        67.4772        6.25337        25.9138       0.355635                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        66.9123        6.19430        26.5233       0.370143                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        66.3476        6.13524        27.1325       0.384646                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        65.7831        6.07621        27.7416       0.399144                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        65.2187        6.01720        28.3505       0.413637                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        64.6545        5.95821        28.9591       0.428126                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        64.0686        5.88431        29.6049       0.442181                 NaN            NaN            NaN            NaN            NaN            NaN
